event_serial	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	whole_plant_owner	owner_status	owner_confidence	exact_literal_card_formal_exemplar_layer	v69_support_class	concrete_german_meaning_in_context	meaning_in_context_confidence	strongest_alternative	strongest_contradiction	unsupported_nouns	image_geometry_guard	terminal_status	semantic_ceiling
32	H2	f10r	f10r.9	F005	H2-S003	27d97af8c96eb056c2e6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:27d97af8c96eb056c2e6] > [CONTEXT_EXEMPLAR:CONTAINER_ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Gib sie in ein glasiertes Gefäß.	0.25	Technischer Pflanzenmaterial-Rivale: späte Erntefraktion dem lokalen Posten eröffnen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind glasiertes Gefäß.	glasiertes Gefäß	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
33	H2	f10r	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:PREPARATION]	EXACT_WORKING_MNEMONIC	Führe die Mischung als Salbenansatz.	0.46	Technischer Pflanzenmaterial-Rivale: dem lokalen Posten als ersten aktiven Ansatz führen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Salbenansatz.	Salbenansatz	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
34	H2	f10r	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:PREPARATION]	EXACT_WORKING_MNEMONIC	Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten.	0.46	Technischer Pflanzenmaterial-Rivale: späte Teilcharge dem lokalen Posten als zweiten aktiven Ansatz führen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Salbenansatz.	Salbenansatz	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
35	H2	f10r	f10r.9	F005	H2-S003	b921a237be883a820352	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:ACTION_CONDITION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Rühre bei kleinem Feuer.	0.30	Technischer Pflanzenmaterial-Rivale: beide Ernteauszüge in getrennten Gefäßen umrühren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Feuer.	Feuer	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
36	H2	f10r	f10r.9	F005	H2-S003	409de02322e7b2ca0c62	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:409de02322e7b2ca0c62] > [CONTEXT_EXEMPLAR:STATE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Bis eine weiche Salbe entsteht.	0.31	Technischer Pflanzenmaterial-Rivale: beide durch dasselbe Tuch seihen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Salbe.	Salbe	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
37	H2	f10r	f10r.9	F005	H2-S003	b921a237be883a820352	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:STORAGE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Bewahre sie bedeckt.	0.28	Technischer Pflanzenmaterial-Rivale: Farbe und Bodensatz als Vergleichsmerkmale notieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Vorratsgefäß.	Vorratsgefäß	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
38	H2	f10r	f10r.9	F005	H2-S003	834825c61d048a6b5628	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	0.76	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:834825c61d048a6b5628] > [CONTEXT_EXEMPLAR:INDICATION_AND_USE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	0.18	Technischer Pflanzenmaterial-Rivale: Vergleichspaar dem lokalen Posten/dem lokalen Posten verschlossen lagern.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Geschwür, Schwellung.	Geschwür|Schwellung	one connected broad-leaved flowering plant with red root swellings; no vessel or drawn liquid	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
39	H3	f11r	f11r.1	F006	H3-S001	953ad19b79517fc8a211	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:953ad19b79517fc8a211] > [CONTEXT_EXEMPLAR:PLANT_PART_AND_CONDITION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze.	0.32	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H3 als Blüten-Kraut-Los dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Blüten, junge Blätter; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Frühjahr.	Frühjahr|Blüten|junge Blätter	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
40	H3	f11r	f11r.1	F006	H3-S001	428a5e3662aa57b4b256	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:428a5e3662aa57b4b256] > [CONTEXT_EXEMPLAR:MEDIUM_ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Koche sie in reinem Wein.	0.25	Technischer Pflanzenmaterial-Rivale: junge oberirdische Teile sammeln.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wein.	Wein	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
41	H3	f11r	f11r.1	F006	H3-S001	bdad9f9ea8b80f141496	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:bdad9f9ea8b80f141496] > [CONTEXT_EXEMPLAR:ACTION_IMPLEMENT]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Wring den Ansatz durch ein feines Tuch.	0.28	Technischer Pflanzenmaterial-Rivale: Blütenköpfe und Blätter in zwei Schalen sortieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Tuch.	Tuch	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
42	H3	f11r	f11r.1	F006	H3-S001	a8af08e69edab8e54f15	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:a8af08e69edab8e54f15] > [CONTEXT_EXEMPLAR:PREPARATION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Lass den Auszug stehen.	0.29	Technischer Pflanzenmaterial-Rivale: Krautfraktion quetschen und in Wasser mazerieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug.	Auszug	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
43	H3	f11r	f11r.1	F006	H3-S001	deb377381ceaf55ea310	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:deb377381ceaf55ea310] > [CONTEXT_EXEMPLAR:ACTION_IMPLEMENT]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Seihe ihn nochmals durch ein Tuch.	0.28	Technischer Pflanzenmaterial-Rivale: Auszug zuerst grob, dann durch Tuch seihen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Tuch.	Tuch	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
44	H3	f11r	f11r.1	F006	H3-S001	b5df9126607030b95175	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b5df9126607030b95175] > [CARD:KLAR?] > [CONTEXT_EXEMPLAR:STATE]	EXACT_WORKING_MNEMONIC	Warte, bis der örtlich verlangte klare Zustand erreicht ist.	0.46	Technischer Pflanzenmaterial-Rivale: Klarheitszustand des Filtrats dem lokalen Posten prüfen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Klarzustand.	Klarzustand	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
45	H3	f11r	f11r.1	F006	H3-S001	2e2027b1951d79911e24	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:2e2027b1951d79911e24] > [CONTEXT_EXEMPLAR:ACTION_CONDITION] > [CLOSE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Lass ihn abkühlen; damit endet der erste Posten.	0.40	Technischer Pflanzenmaterial-Rivale: klares Filtrat absetzen lassen und Feld schließen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Abkühlung.	Abkühlung	one dense many-stemmed blue-flowered crown plant with crossed root complex	TERMINAL	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
46	H3	f11r	f11r.1	F007	H3-S002	577c03a928d674d420d7	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:577c03a928d674d420d7] > [CONTEXT_EXEMPLAR:PLANT_PART_AND_STORAGE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	0.31	Technischer Pflanzenmaterial-Rivale: einen Blütenkopf als Referenzfraktion dem lokalen Posten zurücklegen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Blüten; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind zweite Arznei.	Blüten|zweite Arznei	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
47	H3	f11r	f11r.4	F008	H3-S003	d665560c8ff80799a82c	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:d665560c8ff80799a82c] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Nimm den ersten Auszug wieder auf.	0.34	Technischer Pflanzenmaterial-Rivale: Filtrat dem lokalen Posten wieder aufnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind erster Auszug.	erster Auszug	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
48	H3	f11r	f11r.4	F008	H3-S003	b921a237be883a820352	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:DOSE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Nimm davon einen Anteil.	0.31	Technischer Pflanzenmaterial-Rivale: drei gleiche Probengläser bereitstellen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Anteil.	Anteil	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
49	H3	f11r	f11r.4	F008	H3-S003	b2812c8283c3a62438bd	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b2812c8283c3a62438bd] > [CONTEXT_EXEMPLAR:USE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Gib ihn als Trank.	0.25	Technischer Pflanzenmaterial-Rivale: Filtrat auf die Probengläser verteilen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Trank.	Trank	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
50	H3	f11r	f11r.4	F008	H3-S003	b921a237be883a820352	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:INDICATION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust.	0.18	Technischer Pflanzenmaterial-Rivale: Farbton und Niederschlag je Glas vermerken.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gemütsbeschwerde, Brustbeschwerde.	Gemütsbeschwerde|Brustbeschwerde	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
51	H3	f11r	f11r.4	F008	H3-S003	2f1c5e56e8f0ff459065	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [FORMAL:VORGABEPARAMETER?] > [CONTEXT_EXEMPLAR:DOSE]	EXACT_MNEMONIC_AND_STRICT_FORMAL_PROMPT	Gib ein kleines örtliches Maß.	0.46	Technischer Pflanzenmaterial-Rivale: Sollmenge je Probenglas buchen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	Dosis	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
52	H3	f11r	f11r.7	F009	H3-S004	a48efd6c4491a046ba78	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:a48efd6c4491a046ba78] > [CONTEXT_EXEMPLAR:PLANT_PART]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Nimm die zurückbehaltenen Blüten.	0.36	Technischer Pflanzenmaterial-Rivale: Blattfraktion dem lokalen Posten als neue Charge eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Blüten.	Blüten	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
53	H3	f11r	f11r.7	F009	H3-S004	322281bd391aa621f568	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:322281bd391aa621f568] > [CONTEXT_EXEMPLAR:MEDIUM_ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Erwärme sie in Olivenöl.	0.25	Technischer Pflanzenmaterial-Rivale: Blätter warm in Wasser ausziehen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Olivenöl.	Olivenöl	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
54	H3	f11r	f11r.7	F009	H3-S004	e0b630cb1b5df5e7105b	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:e0b630cb1b5df5e7105b] > [CARD:BEREIT?] > [CONTEXT_EXEMPLAR:STATE]	EXACT_WORKING_MNEMONIC	Warte, bis der örtliche Bereitschaftszustand erreicht ist.	0.46	Technischer Pflanzenmaterial-Rivale: Arbeitsstand dem lokalen Posten als bereit markieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gebrauchsreife.	Gebrauchsreife	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
55	H3	f11r	f11r.7	F009	H3-S004	b921a237be883a820352	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	0.72	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:INDICATION_AND_USE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	0.18	Technischer Pflanzenmaterial-Rivale: Blattauszug und Referenzblüte getrennt verwahren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Lider, Auge, äußerliches Öl.	Lider|Auge|äußerliches Öl	one dense many-stemmed blue-flowered crown plant with crossed root complex	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
56	H4	f55v	f55v.5	F010	H4-S001	b5fcea1eaed06b2f2291	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:b5fcea1eaed06b2f2291] > [FORMAL:STANDARDSLOT_SETZEN] > [CONTEXT_EXEMPLAR:FORMAL_START]	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	Setze den ersten Posten an.	0.46	Technischer Pflanzenmaterial-Rivale: formalen Standardslot für Blattposten dem lokalen Posten setzen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Posten.	Posten	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
57	H4	f55v	f55v.5	F010	H4-S001	2f1c5e56e8f0ff459065	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [CONTEXT_EXEMPLAR:DOSE]	EXACT_WORKING_MNEMONIC	Nimm ein örtlich vorgeschriebenes Maß.	0.46	Technischer Pflanzenmaterial-Rivale: Sollmenge frischer breiter Blätter buchen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	Dosis	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
58	H4	f55v	f55v.5	F010	H4-S001	403c1592f918c8f23b88	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:403c1592f918c8f23b88] > [CONTEXT_EXEMPLAR:PLANT_PART_AND_ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Zerstoße breite Blätter der unbenannten Pflanze.	0.34	Technischer Pflanzenmaterial-Rivale: Blätter waschen und grob schneiden.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Blätter.	Blätter	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
59	H4	f55v	f55v.5	F010	H4-S001	d929a14ec45749b2e805	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:d929a14ec45749b2e805] > [CONTEXT_EXEMPLAR:MEDIUM]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Gib Weißwein hinzu.	0.24	Technischer Pflanzenmaterial-Rivale: Schnittgut in Wasser mazerieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Weißwein.	Weißwein	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
60	H4	f55v	f55v.5	F010	H4-S001	97cc9ac109148723c472	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:97cc9ac109148723c472] > [CONTEXT_EXEMPLAR:STORAGE_AND_CLOSE] > [CLOSE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	0.40	Technischer Pflanzenmaterial-Rivale: erste Blattflotte absetzen lassen und Feld schließen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gefäß, kühler Lagerort.	Gefäß|kühler Lagerort	one broad-leaf plant with branched crown and mnemonic asymmetric root	TERMINAL	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
61	H4	f55v	f55v.5	F011	H4-S002	2f1c5e56e8f0ff459065	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [FORMAL:VORGABEPARAMETER?] > [CONTEXT_EXEMPLAR:DOSE]	EXACT_MNEMONIC_AND_STRICT_FORMAL_PROMPT	Miss eine Portion des Ansatzes ab.	0.46	Technischer Pflanzenmaterial-Rivale: Sollmenge aus dem lokalen Posten abteilen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	Dosis	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
62	H4	f55v	f55v.5	F011	H4-S002	6f7ff8287eddf4da9fdb	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:6f7ff8287eddf4da9fdb] > [CONTEXT_EXEMPLAR:ACTION_IMPLEMENT]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Wring sie durch Leinwand und lass sie klar absetzen.	0.28	Technischer Pflanzenmaterial-Rivale: weichen Blattrest aus der Flotte heben.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Leinwand, Klarstand.	Leinwand|Klarstand	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
