state_edition_ordinal	event_id	statement_id	physical_page	register	owner_id	cohort	surface	final_context_recipe	state_marker_sequence	effective_action_roots	effective_argument_roots	context_mode_card_id	context_mode	action_carry	action_source_type	action_source_event_id	action_source_card_distance	action_scope_frame_id	action_scope_kind	action_scope_phrase_de	argument_carry	argument_source_type	inherited_argument_root	explicit_argument_phrase_de	carried_argument_phrase_de	carried_argument_realization_count	control_prior_marker_count	control_action_context_witness	gdt568_action_voice_clause_de	context_voice_working_clause_de	owner_bound_control_clause_de	gdt568_owner_action_chain_de	context_voice_action_chain_de	context_voice_changed	state_atom_alignment	guard
310	G407-E1361	G407-S077	f72r	CELESTIAL	Tierkreis-Ringgruppe H	OLD26_GDT407	ykeeoly	Y+K+OL+Y	OL	K	Y|Y	GDT569-C01	LOCAL_EXPLICIT	NO	VISIBLE_ACTION_IN_CARD	G407-E1361	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	die beiden Positionsposten	NOT_APPLICABLE	0	0	NOT_APPLICABLE	Weiter: ordne die beiden Positionsposten zu.	Weiter: ordne die beiden Positionsposten zu.	Weiter ordne den Positionsposten [außen] und den Positionsposten [innen] zu.	ordne die beiden Positionsposten zu	ordne die beiden Positionsposten zu	NO	1:Y=den Posten | 2:K=geben | 3:OL=weiter | 4:Y=den Posten	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
311	G407-E1362	G407-S077	f72r	CELESTIAL	Tierkreis-Ringgruppe H	OLD26_GDT407	otaiin	OT+AIIN	OT	K	AIIN	GDT569-C03	ACTION_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1361	1	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den Positionswert	NOT_APPLICABLE	0	0	YES	Danach: ordne den Positionswert zu.	Danach im laufenden Gang: ordne den Positionswert zu.	Danach im laufenden Gang ordne den Positionswert zu.	ordne den Positionswert zu	ordne den Positionswert zu	YES	1:OT=danach | 2:AIIN=den Wert	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
312	G407-E1369	G407-S077	f72r	CELESTIAL	Tierkreis-Ringgruppe H	OLD26_GDT407	oteody	OT+E+O+Y	OT	OK	Y	GDT569-C03	ACTION_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1368	1	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den Positionsposten	NOT_APPLICABLE	0	0	YES	Danach: setze den Positionsposten; auf Grad I; zur Ausführung.	Danach im laufenden Gang: setze den Positionsposten; auf Grad I; zur Ausführung.	Danach im laufenden Gang setze den Positionsposten; auf Grad I und als Ausführung.	setze den Positionsposten	setze den Positionsposten	YES	1:OT=danach | 2:E=auf Grad I | 3:O=zur Ausführung | 4:Y=den Posten	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
313	G407-E1371	G407-S077	f72r	CELESTIAL	Tierkreis-Ringgruppe H	OLD26_GDT407	otees	OT+EE+S	OT	S	Y	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E1371	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	Y	den Positionsposten	denselben Positionsposten	1	1	NOT_APPLICABLE	Danach: wähle den Positionsposten; auf Grad II.	Danach: wähle denselben Positionsposten; auf Grad II.	Danach wähle den Positionsposten [wie zuvor]; auf Grad II.	wähle den Positionsposten	wähle denselben Positionsposten	YES	1:OT=danach | 2:EE=auf Grad II | 3:S=wählen	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
314	G407-E1373	G407-S077	f72r	CELESTIAL	Tierkreis-Ringgruppe H	OLD26_GDT407	doteey	D_ADDR+OT+EE+Y	OT	S	Y	GDT569-C03	ACTION_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1372	1	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den Positionsposten	NOT_APPLICABLE	0	0	YES	Danach: wähle den Positionsposten; an der bezeichneten Stelle; auf Grad II.	Danach im laufenden Gang: wähle den Positionsposten; an der bezeichneten Stelle; auf Grad II.	Danach im laufenden Gang wähle den Positionsposten; auf Grad II; an der bezeichneten Stelle.	wähle den Positionsposten	wähle den Positionsposten	YES	1:D_ADDR=hier | 2:OT=danach | 3:EE=auf Grad II | 4:Y=den Posten	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
315	G407-E1375	G407-S077	f72r	CELESTIAL	Tierkreis-Ringgruppe H	OLD26_GDT407	oteol	OT+E+OL	OT+OL	S	OR	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1374	1	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	YES	CONTEXT_CARRY	OR	die Positionseinheit	dieselbe Positionseinheit	1	1	YES	Danach: wähle die Positionseinheit; auf Grad I; weiterführen.	Danach im laufenden Gang: wähle dieselbe Positionseinheit; auf Grad I; weiterführen.	Danach und weiter im laufenden Gang wähle die Positionseinheit [wie zuvor]; auf Grad I.	wähle die Positionseinheit	wähle dieselbe Positionseinheit	YES	1:OT=danach | 2:E=auf Grad I | 3:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
316	G407-E1376	G407-S077	f72r	CELESTIAL	Tierkreis-Ringgruppe H	OLD26_GDT407	shol	SH+OL	OL	SH	OR	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E1376	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	OR	die Positionseinheit	dieselbe Positionseinheit	1	1	NOT_APPLICABLE	Weiter: halte die Positionseinheit.	Weiter: halte dieselbe Positionseinheit.	Weiter halte die Positionseinheit [wie zuvor].	halte die Positionseinheit	halte dieselbe Positionseinheit	YES	1:SH=halten | 2:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
317	G407-E1379	G407-S077	f72r	CELESTIAL	Tierkreis-Ringgruppe H	OLD26_GDT407	eol	E+OL	OL	OK	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1378	1	GDT569-S01	WEITER	Weiter im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den Positionsposten	denselben Positionsposten	1	1	YES	Weiter: setze den Positionsposten; auf Grad I.	Weiter im laufenden Gang: setze denselben Positionsposten; auf Grad I.	Weiter im laufenden Gang setze den Positionsposten [wie zuvor]; auf Grad I.	setze den Positionsposten	setze denselben Positionsposten	YES	1:E=auf Grad I | 2:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
318	G407-E1382	G407-S077	f72r	CELESTIAL	Tierkreis-Ringgruppe H	OLD26_GDT407	shoteey	SH+OT+EE+Y	OT	SH	Y	GDT569-C01	LOCAL_EXPLICIT	NO	VISIBLE_ACTION_IN_CARD	G407-E1382	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den Positionsposten	NOT_APPLICABLE	0	0	NOT_APPLICABLE	Danach: halte den Positionsposten; auf Grad II.	Danach: halte den Positionsposten; auf Grad II.	Danach halte den Positionsposten; auf Grad II.	halte den Positionsposten	halte den Positionsposten	NO	1:SH=halten | 2:OT=danach | 3:EE=auf Grad II | 4:Y=den Posten	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
319	G407-E1385	G407-S077	f72r	CELESTIAL	Tierkreis-Ringgruppe H	OLD26_GDT407	okeeol	OK+EE+OL	OL	OK	Y	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E1385	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	Y	den Positionsposten	denselben Positionsposten	1	1	NOT_APPLICABLE	Weiter: setze den Positionsposten; auf Grad II.	Weiter: setze denselben Positionsposten; auf Grad II.	Weiter setze den Positionsposten [wie zuvor]; auf Grad II.	setze den Positionsposten	setze denselben Positionsposten	YES	1:OK=setzen | 2:EE=auf Grad II | 3:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
320	G407-E1388	G407-S077	f72r	CELESTIAL	Tierkreis-Ringgruppe H	OLD26_GDT407	ykoly	Y+K+OL+Y	OL	K	Y|Y	GDT569-C01	LOCAL_EXPLICIT	NO	VISIBLE_ACTION_IN_CARD	G407-E1388	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	die beiden Positionsposten	NOT_APPLICABLE	0	0	NOT_APPLICABLE	Weiter: ordne die beiden Positionsposten zu.	Weiter: ordne die beiden Positionsposten zu.	Weiter ordne den Positionsposten [außen] und den Positionsposten [innen] zu.	ordne die beiden Positionsposten zu	ordne die beiden Positionsposten zu	NO	1:Y=den Posten | 2:K=geben | 3:OL=weiter | 4:Y=den Posten	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
321	G407-E1389	G407-S078	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	oteey	OT+EE+Y	OT	NONE	Y	GDT569-C01	LOCAL_EXPLICIT	NO	NO_ACTION	G407-E1389	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den Positionsposten	NOT_APPLICABLE	0	0	NOT_APPLICABLE	Danach: Bezug auf den Positionsposten; auf Grad II.	Danach: Bezug auf den Positionsposten; auf Grad II.	Danach Bezug: den Positionsposten; auf Grad II.	NONE	NONE	NO	1:OT=danach | 2:EE=auf Grad II | 3:Y=den Posten	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
322	G407-E1391	G407-S078	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	eeer	EEE+DY	DY	P	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1390	1	GDT569-S03	BARE	Im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den Positionsposten	denselben Positionsposten	1	1	YES	Setze den Positionsposten ein; auf Grad III; schließe den Schritt.	Im laufenden Gang: Setze denselben Positionsposten ein; auf Grad III; schließe den Schritt.	Im laufenden Gang setze den Positionsposten [wie zuvor] ein; auf Grad III; schließe den Schritt.	setze den Positionsposten ein	setze denselben Positionsposten ein	YES	1:EEE=auf Grad III | 2:DY=abschließen	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
323	G407-E1394	G407-S079	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	opcholalaiin	O+P+CH+OL+AL+AIIN	OL	P|CH	AIIN	GDT569-C01	LOCAL_EXPLICIT	NO	VISIBLE_ACTION_IN_CARD	G407-E1394	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den Positionswert	NOT_APPLICABLE	0	0	NOT_APPLICABLE	Weiter: setze den Positionswert ein und nimm den Positionswert auf; zur Ausführung; zur Zielposition.	Weiter: setze den Positionswert ein und nimm den Positionswert auf; zur Ausführung; zur Zielposition.	Weiter setze den Positionswert ein und nimm den Positionswert auf; zur Zielposition; als Ausführung.	setze den Positionswert ein und nimm den Positionswert auf	setze den Positionswert ein und nimm den Positionswert auf	NO	1:O=zur Ausführung | 2:P=einsetzen | 3:CH=nehmen | 4:OL=weiter | 5:AL=zum Zielort | 6:AIIN=den Wert	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
324	G407-E1395	G407-S079	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	oteeor	OT+EE+OR	OT	CH	OR	GDT569-C03	ACTION_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1394	1	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	die Positionseinheit	NOT_APPLICABLE	0	0	YES	Danach: nimm die Positionseinheit auf; auf Grad II.	Danach im laufenden Gang: nimm die Positionseinheit auf; auf Grad II.	Danach im laufenden Gang nimm die Positionseinheit auf; auf Grad II.	nimm die Positionseinheit auf	nimm die Positionseinheit auf	YES	1:OT=danach | 2:EE=auf Grad II | 3:OR=die Einheit	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
325	G407-E1399	G407-S079	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	oteees	OT+EEE+S_ADDR	OT	CH	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1398	1	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den Positionsposten	denselben Positionsposten	1	1	YES	Danach: nimm den Positionsposten auf; auf Grad III; an der bezeichneten Stelle.	Danach im laufenden Gang: nimm denselben Positionsposten auf; auf Grad III; an der bezeichneten Stelle.	Danach im laufenden Gang nimm den Positionsposten [wie zuvor] auf; auf Grad III; an der bezeichneten Stelle.	nimm den Positionsposten auf	nimm denselben Positionsposten auf	YES	1:OT=danach | 2:EEE=auf Grad III | 3:S_ADDR=hier	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
326	G407-E1402	G407-S079	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	olaiin	OL+AIIN	OL	CH	AIIN	GDT569-C03	ACTION_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1398	4	GDT569-S01	WEITER	Weiter im laufenden Gang: {clause}	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den Positionswert	NOT_APPLICABLE	0	0	YES	Weiter: nimm den Positionswert auf.	Weiter im laufenden Gang: nimm den Positionswert auf.	Weiter im laufenden Gang nimm den Positionswert auf.	nimm den Positionswert auf	nimm den Positionswert auf	YES	1:OL=weiter | 2:AIIN=den Wert	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
327	G407-E1403	G407-S079	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	otedar	OT+E+D_ADDR+AR	OT	CH	AIIN	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1398	5	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	YES	CONTEXT_CARRY	AIIN	den Positionswert	denselben Positionswert	1	1	YES	Danach: nimm den Positionswert auf; auf Grad I; an der bezeichneten Stelle; von der Ausgangsposition.	Danach im laufenden Gang: nimm denselben Positionswert auf; auf Grad I; an der bezeichneten Stelle; von der Ausgangsposition.	Danach im laufenden Gang nimm den Positionswert [wie zuvor] auf; von der Ausgangsposition; auf Grad I; an der bezeichneten Stelle.	nimm den Positionswert auf	nimm denselben Positionswert auf	YES	1:OT=danach | 2:E=auf Grad I | 3:D_ADDR=hier | 4:AR=vom Ausgang	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
328	G407-E1404	G407-S079	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	olol	OL+OL	OL+OL	CH	AIIN	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1398	6	GDT569-S01	WEITER	Weiter im laufenden Gang: {clause}	YES	CONTEXT_CARRY	AIIN	den Positionswert	denselben Positionswert	1	1	YES	Weiter: nimm den Positionswert auf; nochmals weiterführen.	Weiter im laufenden Gang: nimm denselben Positionswert auf; nochmals weiterführen.	Weiter und weiter im laufenden Gang nimm den Positionswert [wie zuvor] auf.	nimm den Positionswert auf	nimm denselben Positionswert auf	YES	1:OL=weiter | 2:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
329	G407-E1405	G407-S079	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	choty	CH+OT+Y	OT	CH	Y	GDT569-C01	LOCAL_EXPLICIT	NO	VISIBLE_ACTION_IN_CARD	G407-E1405	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den Positionsposten	NOT_APPLICABLE	0	0	NOT_APPLICABLE	Danach: nimm den Positionsposten auf.	Danach: nimm den Positionsposten auf.	Danach nimm den Positionsposten auf.	nimm den Positionsposten auf	nimm den Positionsposten auf	NO	1:CH=nehmen | 2:OT=danach | 3:Y=den Posten	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
330	G407-E1406	G407-S079	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	oteol	OT+E+OL	OT+OL	CH	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1405	1	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den Positionsposten	denselben Positionsposten	1	1	YES	Danach: nimm den Positionsposten auf; auf Grad I; weiterführen.	Danach im laufenden Gang: nimm denselben Positionsposten auf; auf Grad I; weiterführen.	Danach und weiter im laufenden Gang nimm den Positionsposten [wie zuvor] auf; auf Grad I.	nimm den Positionsposten auf	nimm denselben Positionsposten auf	YES	1:OT=danach | 2:E=auf Grad I | 3:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
331	G407-E1412	G407-S079	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	eedy	EE+DY	DY	S	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1411	1	GDT569-S03	BARE	Im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den Positionsposten	denselben Positionsposten	1	1	YES	Wähle den Positionsposten; auf Grad II; schließe den Schritt.	Im laufenden Gang: Wähle denselben Positionsposten; auf Grad II; schließe den Schritt.	Im laufenden Gang wähle den Positionsposten [wie zuvor]; auf Grad II; schließe den Schritt.	wähle den Positionsposten	wähle denselben Positionsposten	YES	1:EE=auf Grad II | 2:DY=abschließen	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
332	G407-E1413	G407-S080	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	sheol	SH+E+OL	OL	SH	Y	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E1413	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	Y	den Positionsposten	denselben Positionsposten	1	1	NOT_APPLICABLE	Weiter: halte den Positionsposten; auf Grad I.	Weiter: halte denselben Positionsposten; auf Grad I.	Weiter halte den Positionsposten [wie zuvor]; auf Grad I.	halte den Positionsposten	halte denselben Positionsposten	YES	1:SH=halten | 2:E=auf Grad I | 3:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
333	G407-E1415	G407-S080	f72r	CELESTIAL	Tierkreis-Ringgruppe I	OLD26_GDT407	ckhol	CH+K+OL	OL	CH|K	Y	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E1415	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	Y	den Positionsposten	denselben Positionsposten	2	2	NOT_APPLICABLE	Weiter: nimm den Positionsposten auf und ordne den Positionsposten zu.	Weiter: nimm denselben Positionsposten auf und ordne denselben Positionsposten zu.	Weiter nimm den Positionsposten [wie zuvor] auf und ordne den Positionsposten [wie zuvor] zu.	nimm den Positionsposten auf und ordne den Positionsposten zu	nimm denselben Positionsposten auf und ordne denselben Positionsposten zu	YES	1:CH=nehmen | 2:K=geben | 3:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
334	G407-E1418	G407-S081	f72r	CELESTIAL	Tierkreis-Ringgruppe J	OLD26_GDT407	olaiin	OL+AIIN	OL	S	AIIN	GDT569-C03	ACTION_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1416	2	GDT569-S01	WEITER	Weiter im laufenden Gang: {clause}	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den Positionswert	NOT_APPLICABLE	0	0	YES	Weiter: wähle den Positionswert.	Weiter im laufenden Gang: wähle den Positionswert.	Weiter im laufenden Gang wähle den Positionswert.	wähle den Positionswert	wähle den Positionswert	YES	1:OL=weiter | 2:AIIN=den Wert	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
335	G407-E1420	G407-S081	f72r	CELESTIAL	Tierkreis-Ringgruppe J	OLD26_GDT407	octheolarl	O+CH+T+E+OL+AR+L	OL	CH|T	AIIN	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E1420	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	AIIN	den Positionswert	denselben Positionswert	2	2	NOT_APPLICABLE	Weiter: nimm den Positionswert auf und stelle den Positionswert ein; zur Ausführung; auf Grad I; von der Ausgangsposition; über die Ringverbindung.	Weiter: nimm denselben Positionswert auf und stelle denselben Positionswert ein; zur Ausführung; auf Grad I; von der Ausgangsposition; über die Ringverbindung.	Weiter nimm den Positionswert [wie zuvor] auf und stelle den Positionswert [wie zuvor] ein; von der Ausgangsposition und über die Ringverbindung; als Ausführung und auf Grad I.	nimm den Positionswert auf und stelle den Positionswert ein	nimm denselben Positionswert auf und stelle denselben Positionswert ein	YES	1:O=zur Ausführung | 2:CH=nehmen | 3:T=einstellen | 4:E=auf Grad I | 5:OL=weiter | 6:AR=vom Ausgang | 7:L=über die Verbindung	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
336	G407-E1422	G407-S081	f72r	CELESTIAL	Tierkreis-Ringgruppe J	OLD26_GDT407	oteos	OT+E+O+S_ADDR	OT	OK	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1421	1	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den Positionsposten	denselben Positionsposten	1	1	YES	Danach: setze den Positionsposten; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang: setze denselben Positionsposten; auf Grad I; zur Ausführung; an der bezeichneten Stelle.	Danach im laufenden Gang setze den Positionsposten [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	setze den Positionsposten	setze denselben Positionsposten	YES	1:OT=danach | 2:E=auf Grad I | 3:O=zur Ausführung | 4:S_ADDR=hier	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
337	G407-E1424	G407-S081	f72r	CELESTIAL	Tierkreis-Ringgruppe J	OLD26_GDT407	koly	K+OL+Y	OL	K	Y	GDT569-C01	LOCAL_EXPLICIT	NO	VISIBLE_ACTION_IN_CARD	G407-E1424	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NO	VISIBLE_ARGUMENT_IN_CARD	NONE	den Positionsposten	NOT_APPLICABLE	0	0	NOT_APPLICABLE	Weiter: ordne den Positionsposten zu.	Weiter: ordne den Positionsposten zu.	Weiter ordne den Positionsposten zu.	ordne den Positionsposten zu	ordne den Positionsposten zu	NO	1:K=geben | 2:OL=weiter | 3:Y=den Posten	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
338	G407-E1430	G407-S082	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	OLD26_GDT407	qotar	OT+AR	OT	CHD	Y	GDT569-C04	ACTION_AND_ARGUMENT_CARRY	YES	SAME_STATEMENT_VISIBLE_ACTION	G407-E1429	1	GDT569-S02	DANACH	Danach im laufenden Gang: {clause}	YES	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	1	1	YES	Danach: bearbeite den Stationsposten; von der Ausgangsstation.	Danach im laufenden Gang: bearbeite denselben Stationsposten; von der Ausgangsstation.	Danach im laufenden Gang bearbeite den Stationsposten [wie zuvor]; von der Ausgangsstation.	bearbeite den Stationsposten	bearbeite denselben Stationsposten	YES	1:OT=danach | 2:AR=vom Ausgang	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
339	G407-E1431	G407-S082	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	OLD26_GDT407	shedy	SH+E+DY	DY	SH	Y	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E1431	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	1	1	NOT_APPLICABLE	Halte den Stationsposten; auf Grad I; schließe den Schritt.	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	halte den Stationsposten	halte denselben Stationsposten	YES	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
340	G407-E1435	G407-S083	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	OLD26_GDT407	ssheol	S+SH+E+OL	OL	S|SH	Y	GDT569-C02	ARGUMENT_CARRY	NO	VISIBLE_ACTION_IN_CARD	G407-E1435	0	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	2	2	NOT_APPLICABLE	Weiter: wähle den Stationsposten und halte den Stationsposten; auf Grad I.	Weiter: wähle denselben Stationsposten und halte denselben Stationsposten; auf Grad I.	Weiter wähle den Stationsposten [wie zuvor] und halte den Stationsposten [wie zuvor]; auf Grad I.	wähle den Stationsposten und halte den Stationsposten	wähle denselben Stationsposten und halte denselben Stationsposten	YES	1:S=wählen | 2:SH=halten | 3:E=auf Grad I | 4:OL=weiter	CONTEXT_VOICE_ONLY__ROOTS_RECIPES_AND_BOUNDARY_UNCHANGED
