gdt751_occurrence_id	pair_id	pair_side	surface	paired_surface	page	physical_folio	locus	token_ordinal	line_token_count	normalized_position	line_position	line_first	line_last	paragraph_start_line	paragraph_end_line	paragraph_first_token	paragraph_last_token	section	language	hand	left_surface	right_surface	direct_pair_contact	canonical_axes_inherited	written_line_eva	literal_identity	confirmed_lexeme	component_export_credit
G751-O0684	G751-Q011	Q_SIDE	qokain	okain	f80v	f80	f80v.16	8	11	0.700000	MIDDLE	0	0	0	0	0	0	B	B	2	keedy	oty	0	HOT|LEVEL_II	cheol key qotar dy qotal dy keedy qokain oty loldy tal	OPEN	0	0
G751-O0685	G751-Q011	Q_SIDE	qokain	okain	f80v	f80	f80v.25	5	10	0.444444	MIDDLE	0	0	0	0	0	0	B	B	2	cheey	okalchy	0	HOT|LEVEL_II	lshedy qoty olol cheey qokain okalchy tal or checthy sar	OPEN	0	0
G751-O0686	G751-Q011	Q_SIDE	qokain	okain	f80v	f80	f80v.27	5	10	0.444444	MIDDLE	0	0	1	0	0	0	B	B	2	shey	dal	0	HOT|LEVEL_II	pshol kain olkar shey qokain dal oltaiin okain shal qoty	OPEN	0	0
G751-O0687	G751-Q011	Q_SIDE	qokain	okain	f80v	f80	f80v.28	2	11	0.100000	MIDDLE	0	0	0	0	0	0	B	B	2	olcheol	or	0	HOT|LEVEL_II	olcheol qokain or al chain qokain ol kaiin okeedy qokey ly	OPEN	0	0
G751-O0688	G751-Q011	Q_SIDE	qokain	okain	f80v	f80	f80v.28	6	11	0.500000	MIDDLE	0	0	0	0	0	0	B	B	2	chain	ol	0	HOT|LEVEL_II	olcheol qokain or al chain qokain ol kaiin okeedy qokey ly	OPEN	0	0
G751-O0689	G751-Q011	Q_SIDE	qokain	okain	f80v	f80	f80v.29	1	5	0.000000	FIRST	1	0	0	1	0	0	B	B	2	EDGE	olkain	0	HOT|LEVEL_II	qokain olkain olkain ol keeol	OPEN	0	0
G751-O0690	G751-Q011	Q_SIDE	qokain	okain	f80v	f80	f80v.31	7	9	0.750000	MIDDLE	0	0	0	0	0	0	B	B	2	chedy	olshey	0	HOT|LEVEL_II	qol ol oiin olkain ol chedy qokain olshey qokain	OPEN	0	0
G751-O0691	G751-Q011	Q_SIDE	qokain	okain	f80v	f80	f80v.31	9	9	1.000000	LAST	0	1	0	0	0	0	B	B	2	olshey	EDGE	0	HOT|LEVEL_II	qol ol oiin olkain ol chedy qokain olshey qokain	OPEN	0	0
G751-O0692	G751-Q011	Q_SIDE	qokain	okain	f80v	f80	f80v.39	4	10	0.333333	MIDDLE	0	0	0	0	0	0	B	B	2	chey	ches	0	HOT|LEVEL_II	sol aiin chey qokain ches ol chckhy qokeedy tchdy aral	OPEN	0	0
G751-O0693	G751-Q011	Q_SIDE	qokain	okain	f80v	f80	f80v.40	1	10	0.000000	FIRST	1	0	0	0	0	0	B	B	2	EDGE	ol	0	HOT|LEVEL_II	qokain ol cheeor olar chey tchar ol chedy qotal olchedy	OPEN	0	0
G751-O0694	G751-Q011	Q_SIDE	qokain	okain	f80v	f80	f80v.41	8	10	0.777778	MIDDLE	0	0	0	0	0	0	B	B	2	chedy	chckhy	0	HOT|LEVEL_II	tor arol ar shckhy lkol otol chedy qokain chckhy qokal	OPEN	0	0
G751-O0695	G751-Q011	Q_SIDE	qokain	okain	f81r	f81	f81r.4	2	7	0.166667	MIDDLE	0	0	0	0	0	0	B	B	2	dchedy	ol	0	HOT|LEVEL_II	dchedy qokain ol ol chcthy ykeedy al	OPEN	0	0
G751-O0696	G751-Q011	Q_SIDE	qokain	okain	f81v	f81	f81v.6	1	11	0.000000	FIRST	1	0	0	0	0	0	B	B	2	EDGE	okaiin	0	HOT|LEVEL_II	qokain okaiin ol chedy cheol lky l s aiin okain daldy	OPEN	0	0
G751-O0697	G751-Q011	Q_SIDE	qokain	okain	f81v	f81	f81v.17	6	9	0.625000	MIDDLE	0	0	0	0	0	0	B	B	2	qolchedy	ckhy	0	HOT|LEVEL_II	sshkchdy chedy ol shedy qolchedy qokain ckhy dl ral	OPEN	0	0
G751-O0698	G751-Q011	Q_SIDE	qokain	okain	f82r	f82	f82r.2	3	8	0.285714	MIDDLE	0	0	0	0	0	0	B	B	2	qolchedy	dy	0	HOT|LEVEL_II	dchedy qolchedy qokain dy qokeedy qokal lcheckhy lched	OPEN	0	0
G751-O0699	G751-Q011	Q_SIDE	qokain	okain	f82r	f82	f82r.14	5	9	0.500000	MIDDLE	0	0	0	0	0	0	B	B	2	chey	deeedy	0	HOT|LEVEL_II	r olchy qokal chey qokain deeedy qokeey qokaiin olchedy	OPEN	0	0
G751-O0700	G751-Q011	Q_SIDE	qokain	okain	f82v	f82	f82v.8	1	10	0.000000	FIRST	1	0	0	0	0	0	B	B	2	EDGE	sheol	0	HOT|LEVEL_II	qokain sheol qoteedy chedy qokey qokedy qokol chedy chedy lchy	OPEN	0	0
G751-O0701	G751-Q011	Q_SIDE	qokain	okain	f82v	f82	f82v.13	5	8	0.571429	MIDDLE	0	0	0	0	0	0	B	B	2	chckhy	cholkaiin	0	HOT|LEVEL_II	tchedy qocthes qokar chckhy qokain cholkaiin chckhdy qokoldy	OPEN	0	0
G751-O0702	G751-Q011	Q_SIDE	qokain	okain	f82v	f82	f82v.15	4	10	0.333333	MIDDLE	0	0	1	0	0	0	B	B	2	qokal	cheol	0	HOT|LEVEL_II	tar sheckhy qokal qokain cheol tedy rchedy pchedy rsheol dal	OPEN	0	0
G751-O0703	G751-Q011	Q_SIDE	qokain	okain	f82v	f82	f82v.16	7	10	0.666667	MIDDLE	0	0	0	0	0	0	B	B	2	qokchey	okal	0	HOT|LEVEL_II	qokedy lchey cheey raiin shes qokchey qokain okal dy lchedam	OPEN	0	0
G751-O0704	G751-Q011	Q_SIDE	qokain	okain	f82v	f82	f82v.22	1	9	0.000000	FIRST	1	0	0	0	0	0	B	B	2	EDGE	chedy	0	HOT|LEVEL_II	qokain chedy qolkshey qotal shey qokain ol checkhy ly	OPEN	0	0
G751-O0705	G751-Q011	Q_SIDE	qokain	okain	f82v	f82	f82v.22	6	9	0.625000	MIDDLE	0	0	0	0	0	0	B	B	2	shey	ol	0	HOT|LEVEL_II	qokain chedy qolkshey qotal shey qokain ol checkhy ly	OPEN	0	0
G751-O0706	G751-Q011	Q_SIDE	qokain	okain	f82v	f82	f82v.27	1	6	0.000000	FIRST	1	0	0	1	0	0	B	B	2	EDGE	sheal	0	HOT|LEVEL_II	qokain sheal qolchedy qokaiir olkaiin shedy	OPEN	0	0
G751-O0707	G751-Q011	Q_SIDE	qokain	okain	f82v	f82	f82v.28	7	8	0.857143	MIDDLE	0	0	1	0	0	0	B	B	2	shey	otshedy	0	HOT|LEVEL_II	tchal olkair sheeky qolchey qokar shey qokain otshedy	OPEN	0	0
G751-O0708	G751-Q011	Q_SIDE	qokain	okain	f82v	f82	f82v.30	4	10	0.333333	MIDDLE	0	0	0	0	0	0	B	B	2	chey	shedy	0	HOT|LEVEL_II	pol olor chey qokain shedy qokaiin olchesy ol r aindar	OPEN	0	0
G751-O0709	G751-Q011	Q_SIDE	qokain	okain	f82v	f82	f82v.32	5	7	0.666667	MIDDLE	0	0	0	1	0	0	B	B	2	chey	o	0	HOT|LEVEL_II	sar al loraiin chey qokain o roiiin	OPEN	0	0
G751-O0710	G751-Q011	Q_SIDE	qokain	okain	f82v	f82	f82v.34	2	9	0.125000	MIDDLE	0	0	0	0	0	0	B	B	2	yckhey	cheky	0	HOT|LEVEL_II	yckhey qokain cheky otaiin olor okain qolkeey qotar olkain	OPEN	0	0
G751-O0711	G751-Q011	Q_SIDE	qokain	okain	f82v	f82	f82v.35	5	10	0.444444	MIDDLE	0	0	0	0	0	0	B	B	2	qokeey	otain	0	HOT|LEVEL_II	cthor chey qsain qokeey qokain otain otal okeedy qokal dym	OPEN	0	0
G751-O0712	G751-Q011	Q_SIDE	qokain	okain	f83r	f83	f83r.16	6	8	0.714286	MIDDLE	0	0	0	0	0	0	B	B	2	chedy	checthy	0	HOT|LEVEL_II	tchedy qokchdy cheedar chldaiin chedy qokain checthy chealror	OPEN	0	0
G751-O0713	G751-Q011	Q_SIDE	qokain	okain	f83r	f83	f83r.39	1	4	0.000000	FIRST	1	0	0	0	0	0	B	B	2	EDGE	shey	0	HOT|LEVEL_II	qokain shey kain chckhal	OPEN	0	0
G751-O0714	G751-Q011	Q_SIDE	qokain	okain	f83v	f83	f83v.12	10	11	0.900000	MIDDLE	0	0	0	0	0	0	B	B	2	sheedy	olal	0	HOT|LEVEL_II	daiin shckhy qoeeo lldar cheey qoal qokeedy olkar sheedy qokain olal	OPEN	0	0
G751-O0715	G751-Q011	Q_SIDE	qokain	okain	f83v	f83	f83v.24	4	7	0.500000	MIDDLE	0	0	0	0	0	0	B	B	2	qokeedy	dalshal	0	HOT|LEVEL_II	ol cheedy qokeedy qokain dalshal shldy lor	OPEN	0	0
G751-O0716	G751-Q011	Q_SIDE	qokain	okain	f83v	f83	f83v.26	6	7	0.833333	MIDDLE	0	0	0	0	0	0	B	B	2	shedy	ollchy	0	HOT|LEVEL_II	sal chear shey qokar shedy qokain ollchy	OPEN	0	0
G751-O0717	G751-Q011	Q_SIDE	qokain	okain	f83v	f83	f83v.28	6	7	0.833333	MIDDLE	0	0	0	0	0	0	B	B	2	oqo	olsheam	0	HOT|LEVEL_II	qol shol cheedy qol oqo qokain olsheam	OPEN	0	0
G751-O0718	G751-Q011	Q_SIDE	qokain	okain	f86v6	f86	f86v6.15	6	11	0.500000	MIDDLE	0	0	0	0	0	0	T	B	2	chdy	odaiiin	0	HOT|LEVEL_II	shol shotaiin shckhor olaiin chdy qokain odaiiin cheor ol kaiin chey	OPEN	0	0
G751-O0719	G751-Q011	Q_SIDE	qokain	okain	f86v6	f86	f86v6.16	9	10	0.888889	MIDDLE	0	0	0	0	0	0	T	B	2	qokar	okaiin	0	HOT|LEVEL_II	taiin okaiin qokaiin ykeey otain chey okam qokar qokain okaiin	OPEN	0	0
G751-O0720	G751-Q011	Q_SIDE	qokain	okain	f86v6	f86	f86v6.39	5	12	0.363636	MIDDLE	0	0	0	0	0	0	T	B	2	otol	qoky	0	HOT|LEVEL_II	y aiin dar otol qokain qoky lkor dal oraiin cheoty qotaiin olkam	OPEN	0	0
G751-O0721	G751-Q011	Q_SIDE	qokain	okain	f86v6	f86	f86v6.42	2	10	0.111111	MIDDLE	0	0	0	0	0	0	T	B	2	otaiin	otal	0	HOT|LEVEL_II	otaiin qokain otal otal lt al lkar chdy qotol qokain	OPEN	0	0
G751-O0722	G751-Q011	Q_SIDE	qokain	okain	f86v6	f86	f86v6.42	10	10	1.000000	LAST	0	1	0	0	0	0	T	B	2	qotol	EDGE	0	HOT|LEVEL_II	otaiin qokain otal otal lt al lkar chdy qotol qokain	OPEN	0	0
G751-O0723	G751-Q011	Q_SIDE	qokain	okain	f86v3	f86	f86v3.13	4	11	0.300000	MIDDLE	0	0	0	0	0	0	C	B	2	tcheody	qodaiin	0	HOT|LEVEL_II	osheey orsheey tcheody qokain qodaiin olkar chedaiin y chedy qokady cholkain	OPEN	0	0
G751-O0724	G751-Q011	Q_SIDE	qokain	okain	f89r1	f89	f89r1.9	8	9	0.875000	MIDDLE	0	0	0	0	0	0	P	A	1	ckhol	cheamy	0	HOT|LEVEL_II	yshor s oiiin daiin qokeey daiin ckhol qokain cheamy	OPEN	0	0
G751-O0725	G751-Q011	Q_SIDE	qokain	okain	f95v1	f95	f95v1.2	4	11	0.300000	MIDDLE	0	0	0	0	0	0	H	B	3	qoksh	otar	0	HOT|LEVEL_II	okshy tshor qoksh qokain otar oty qokedy otal ytchdy qokar am	OPEN	0	0
G751-O0726	G751-Q011	Q_SIDE	qokain	okain	f95v1	f95	f95v1.11	10	10	1.000000	LAST	0	1	1	0	0	0	H	B	3	tshes	EDGE	0	HOT|LEVEL_II	pshedar shedy kshedy qotches or aiin shekaiin otain tshes qokain	OPEN	0	0
G751-O0727	G751-Q011	Q_SIDE	qokain	okain	f103r	f103	f103r.13	7	12	0.545455	MIDDLE	0	0	1	0	0	0	S	B	3	checkhy	chedy	0	HOT|LEVEL_II	podar sheor qotedy okeey qokar checkhy qokain chedy pchdy tshdy dal kasol	OPEN	0	0
G751-O0728	G751-Q011	Q_SIDE	qokain	okain	f103r	f103	f103r.18	7	9	0.750000	MIDDLE	0	0	1	0	0	0	S	B	3	okain	qokalshedy	1	HOT|LEVEL_II	polchedy qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys	OPEN	0	0
G751-O0729	G751-Q011	Q_SIDE	qokain	okain	f103r	f103	f103r.19	7	12	0.545455	MIDDLE	0	0	0	0	0	0	S	B	3	chedy	oteol	0	HOT|LEVEL_II	okaiin chey qoy shey qokaiin chedy qokain oteol lkar okaral lkldy lr	OPEN	0	0
G751-O0730	G751-Q011	Q_SIDE	qokain	okain	f103r	f103	f103r.25	3	12	0.181818	MIDDLE	0	0	0	0	0	0	S	B	3	shey	chckhey	0	HOT|LEVEL_II	dar shey qokain chckhey chey kain chedal okeeey qoodain okain oteey ol	OPEN	0	0
G751-O0731	G751-Q011	Q_SIDE	qokain	okain	f103r	f103	f103r.38	2	9	0.125000	MIDDLE	0	0	0	0	0	0	S	B	3	otechedy	shcthy	0	HOT|LEVEL_II	otechedy qokain shcthy chckhy lokeedy checkhy lokain shedy okeey	OPEN	0	0
G751-O0732	G751-Q011	Q_SIDE	qokain	okain	f103r	f103	f103r.50	9	11	0.800000	MIDDLE	0	0	0	0	0	0	S	B	3	okeey	cheey	0	HOT|LEVEL_II	ssheey l shey qol cheey chey qokeey okeey qokain cheey qotain	OPEN	0	0
G751-O0733	G751-Q011	Q_SIDE	qokain	okain	f103v	f103	f103v.3	12	12	1.000000	LAST	0	1	0	0	0	0	S	B	3	qokeey	EDGE	0	HOT|LEVEL_II	qok or chedy qokey dar chcthy char qoty shdy okeedy qokeey qokain	OPEN	0	0
G751-O0734	G751-Q011	Q_SIDE	qokain	okain	f103v	f103	f103v.14	9	12	0.727273	MIDDLE	0	0	1	0	0	0	S	B	3	oteedy	otar	0	HOT|LEVEL_II	teeol sheol sho qokeedy shedy qokey oshedy oteedy qokain otar aiin otam	OPEN	0	0
G751-O0735	G751-Q011	Q_SIDE	qokain	okain	f103v	f103	f103v.22	6	8	0.714286	MIDDLE	0	0	0	0	0	0	S	B	3	oleeedy	shedy	0	HOT|LEVEL_II	olshey qokshy qotalsheey oloiin oleeedy qokain shedy qokey	OPEN	0	0
G751-O0736	G751-Q011	Q_SIDE	qokain	okain	f103v	f103	f103v.33	3	10	0.222222	MIDDLE	0	0	1	0	0	0	S	B	3	lkeey	okey	0	HOT|LEVEL_II	yshey lkeey qokain okey okaiin cheody otey shdpchy opchey oly	OPEN	0	0
G751-O0737	G751-Q011	Q_SIDE	qokain	okain	f103v	f103	f103v.37	2	9	0.125000	MIDDLE	0	0	1	0	0	0	S	B	3	olshey	ol	0	HOT|LEVEL_II	olshey qokain ol shey qokeshe lsheok shdy qcphey chetydar	OPEN	0	0
G751-O0738	G751-Q011	Q_SIDE	qokain	okain	f103v	f103	f103v.46	3	9	0.250000	MIDDLE	0	0	0	1	0	0	S	B	3	shol	chckhy	0	HOT|LEVEL_II	tain shol qokain chckhy rorol chdy raly osaiin chary	OPEN	0	0
G751-O0739	G751-Q011	Q_SIDE	qokain	okain	f104r	f104	f104r.18	2	6	0.200000	MIDDLE	0	0	0	1	0	0	S	B	3	dcheeokeody	qolar	0	HOT|LEVEL_II	dcheeokeody qokain qolar or chockhar otalkshedy	OPEN	0	0
G751-O0740	G751-Q011	Q_SIDE	qokain	okain	f104r	f104	f104r.41	8	10	0.777778	MIDDLE	0	0	0	0	0	0	S	B	3	yteedy	oqockhy	0	HOT|LEVEL_II	qoteey qokeor soiir qoty qokl lkaiin yteedy qokain oqockhy dar	OPEN	0	0
G751-O0741	G751-Q011	Q_SIDE	qokain	okain	f104r	f104	f104r.43	8	11	0.700000	MIDDLE	0	0	1	0	0	0	S	B	3	oteey	oteo	0	HOT|LEVEL_II	tsheodl qokaiin qokchedy ykchdy pchedy qokeedy oteey qokain oteo l dal	OPEN	0	0
G751-O0742	G751-Q011	Q_SIDE	qokain	okain	f104v	f104	f104v.16	11	12	0.909091	MIDDLE	0	0	0	0	0	0	S	B	3	olkchy	dadam	0	HOT|LEVEL_II	dcheedy qockheey chdor as aiin chy dchdar chdy qokchedy olkchy qokain dadam	OPEN	0	0
G751-O0743	G751-Q011	Q_SIDE	qokain	okain	f104v	f104	f104v.38	5	13	0.333333	MIDDLE	0	0	0	0	0	0	S	B	3	qotain	chey	0	HOT|LEVEL_II	okechey chedy chchy qotain qokain chey or aiin cheo or aiin chedain okam	OPEN	0	0
G751-O0744	G751-Q011	Q_SIDE	qokain	okain	f106r	f106	f106r.9	3	7	0.333333	MIDDLE	0	0	0	1	0	0	S	B	3	chol	chocphol	0	HOT|LEVEL_II	ychor chol qokain chocphol lchedy qocheo qokar	OPEN	0	0
G751-O0745	G751-Q011	Q_SIDE	qokain	okain	f106r	f106	f106r.10	3	9	0.250000	MIDDLE	0	0	1	0	0	0	S	B	3	lkeeshedy	cheoly	0	HOT|LEVEL_II	pshoair lkeeshedy qokain cheoly qokedy lchedy qokedy otedy qotoky	OPEN	0	0
G751-O0746	G751-Q011	Q_SIDE	qokain	okain	f106r	f106	f106r.25	9	11	0.800000	MIDDLE	0	0	0	0	0	0	S	B	3	shear	chees	0	HOT|LEVEL_II	soraiin cheeo lo lchey qokaiin shedy okain shear qokain chees ykarain	OPEN	0	0
G751-O0747	G751-Q011	Q_SIDE	qokain	okain	f106r	f106	f106r.32	4	10	0.333333	MIDDLE	0	0	1	0	0	0	S	B	3	keeody	chckhy	0	HOT|LEVEL_II	poral sho keeody qokain chckhy olteeedy qopcher al karchy qotedary	OPEN	0	0
G751-O0748	G751-Q011	Q_SIDE	qokain	okain	f106r	f106	f106r.43	5	11	0.400000	MIDDLE	0	0	0	0	0	0	S	B	3	otedy	okar	0	HOT|LEVEL_II	daiiral sheol daiin otedy qokain okar cheor al taiin chekal otaras	OPEN	0	0
G751-O0749	G751-Q011	Q_SIDE	qokain	okain	f106r	f106	f106r.46	7	9	0.750000	MIDDLE	0	0	0	0	0	0	S	B	3	ykar	cheedy	0	HOT|LEVEL_II	sotchdaiin shodaiin otedy qokeedy qokaiin ykar qokain cheedy lol	OPEN	0	0
G751-O0750	G751-Q011	Q_SIDE	qokain	okain	f106r	f106	f106r.47	3	6	0.400000	MIDDLE	0	0	0	1	0	0	S	B	3	okain	char	1	HOT|LEVEL_II	ycheoar okain qokain char oky cheokam	OPEN	0	0
G751-O0751	G751-Q011	Q_SIDE	qokain	okain	f106v	f106	f106v.5	3	12	0.181818	MIDDLE	0	0	1	0	0	0	S	B	3	oeey	shypchedy	0	HOT|LEVEL_II	tshoar oeey qokain shypchedy opched qopchedy otaiin chepar aiin octhy dair ry	OPEN	0	0
G751-O0752	G751-Q011	Q_SIDE	qokain	okain	f106v	f106	f106v.6	9	10	0.888889	MIDDLE	0	0	0	0	0	0	S	B	3	talshdy	kararo	0	HOT|LEVEL_II	daiin shody kchedy sheody olkaiin shkar chody talshdy qokain kararo	OPEN	0	0
G751-O0753	G751-Q011	Q_SIDE	qokain	okain	f106v	f106	f106v.23	13	13	1.000000	LAST	0	1	0	0	0	0	S	B	3	okeedy	EDGE	0	HOT|LEVEL_II	ol kalol shar chor okal chdy chol chedy qotaiin or aiin okeedy qokain	OPEN	0	0
G751-O0754	G751-Q011	Q_SIDE	qokain	okain	f107r	f107	f107r.5	9	10	0.888889	MIDDLE	0	0	0	0	0	0	S	B	3	chokchedy	ar	0	HOT|LEVEL_II	olkchedy tedy oteeey okchedy qokeed qokear chedy chokchedy qokain ar	OPEN	0	0
G751-O0755	G751-Q011	Q_SIDE	qokain	okain	f107v	f107	f107v.4	4	7	0.500000	MIDDLE	0	0	0	1	0	0	S	B	3	okechy	shocthy	0	HOT|LEVEL_II	dain cheky okechy qokain shocthy otaiin alkaiin	OPEN	0	0
G751-O0756	G751-Q011	Q_SIDE	qokain	okain	f107v	f107	f107v.7	4	4	1.000000	LAST	0	1	0	1	0	1	S	B	3	chain	EDGE	0	HOT|LEVEL_II	taiin cheockhy chain qokain	OPEN	0	0
G751-O0757	G751-Q011	Q_SIDE	qokain	okain	f107v	f107	f107v.9	4	12	0.272727	MIDDLE	0	0	0	0	0	0	S	B	3	kedy	qokedy	0	HOT|LEVEL_II	saiin shey kedy qokain qokedy qokaiin y lkaiin qoky lkal tar aty	OPEN	0	0
G751-O0758	G751-Q011	Q_SIDE	qokain	okain	f107v	f107	f107v.13	2	10	0.111111	MIDDLE	0	0	0	0	0	0	S	B	3	ycheey	ockheody	0	HOT|LEVEL_II	ycheey qokain ockheody qokair otal qokaiin otal shoy qokaiin dalam	OPEN	0	0
G751-O0759	G751-Q011	Q_SIDE	qokain	okain	f107v	f107	f107v.14	8	10	0.777778	MIDDLE	0	0	0	0	0	0	S	B	3	cheody	okchdy	0	HOT|LEVEL_II	daiin shaiin okaiin qokar qokal qokal cheody qokain okchdy dlkal	OPEN	0	0
G751-O0760	G751-Q011	Q_SIDE	qokain	okain	f107v	f107	f107v.18	1	10	0.000000	FIRST	1	0	0	0	0	0	S	B	3	EDGE	qokchey	0	HOT|LEVEL_II	qokain qokchey qekchdy okaiin lkl chol raiin otaiin alkaiin dal	OPEN	0	0
G751-O0761	G751-Q011	Q_SIDE	qokain	okain	f107v	f107	f107v.26	3	12	0.181818	MIDDLE	0	0	0	0	0	0	S	B	3	sheor	cheody	0	HOT|LEVEL_II	oraiin sheor qokain cheody qokain otal okaiin olkeeo r ar al oldy	OPEN	0	0
G751-O0762	G751-Q011	Q_SIDE	qokain	okain	f107v	f107	f107v.26	5	12	0.363636	MIDDLE	0	0	0	0	0	0	S	B	3	cheody	otal	0	HOT|LEVEL_II	oraiin sheor qokain cheody qokain otal okaiin olkeeo r ar al oldy	OPEN	0	0
G751-O0763	G751-Q011	Q_SIDE	qokain	okain	f107v	f107	f107v.42	4	4	1.000000	LAST	0	1	0	1	0	1	S	B	3	oloeeey	EDGE	0	HOT|LEVEL_II	or ain oloeeey qokain	OPEN	0	0
G751-O0764	G751-Q011	Q_SIDE	qokain	okain	f108v	f108	f108v.16	10	11	0.900000	MIDDLE	0	0	0	0	0	0	S	B	3	chedy	teedu	0	HOT|LEVEL_II	okeey lshey qokeeal lkeey okeol okedy qotal sholkeedy chedy qokain teedu	OPEN	0	0
G751-O0765	G751-Q011	Q_SIDE	qokain	okain	f108v	f108	f108v.36	4	12	0.272727	MIDDLE	0	0	0	0	0	0	S	B	3	qokedy	chor	0	HOT|LEVEL_II	daiin shechy qokedy qokain chor chal chal chedy dain alal keedy otalys	OPEN	0	0
G751-O0766	G751-Q011	Q_SIDE	qokain	okain	f108v	f108	f108v.37	10	11	0.900000	MIDDLE	0	0	0	0	0	0	S	B	3	shedy	dalam	0	HOT|LEVEL_II	sain sheor sheey sheckhey qokey okey shey lkain shedy qokain dalam	OPEN	0	0
G751-O0767	G751-Q011	Q_SIDE	qokain	okain	f111r	f111	f111r.34	8	12	0.636364	MIDDLE	0	0	0	0	0	0	S	B	3	akeom	al	0	HOT|LEVEL_II	teo olkeeo al lkeeey olain ar akeom qokain al qokeeod lkedlkey teedar	OPEN	0	0
G751-O0768	G751-Q011	Q_SIDE	qokain	okain	f111r	f111	f111r.50	9	11	0.800000	MIDDLE	0	0	0	1	0	0	S	B	3	keel	chckhal	0	HOT|LEVEL_II	okeey l chedy cheekain qokeeokain chckhy cheal keel qokain chckhal lkal	OPEN	0	0
G751-O0769	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.8	10	13	0.750000	MIDDLE	0	0	0	0	0	0	S	B	3	keey	checkhy	0	HOT|LEVEL_II	sho otchey cheol kechy chcthey okain ol l keey qokain checkhy chedar am	OPEN	0	0
G751-O0770	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.9	11	12	0.909091	MIDDLE	0	0	0	0	0	0	S	B	3	qokey	am	0	HOT|LEVEL_II	lshey shedal okear l kedy cheolkeey lkey okeey qokeey qokey qokain am	OPEN	0	0
G751-O0771	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.10	9	13	0.666667	MIDDLE	0	0	0	0	0	0	S	B	3	shey	chear	0	HOT|LEVEL_II	soiin shed qoksheo lor cheo lol aiin shey qokain chear qoteol shcthy ldy	OPEN	0	0
G751-O0772	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.11	8	11	0.700000	MIDDLE	0	0	0	0	0	0	S	B	3	otedy	chedkain	0	HOT|LEVEL_II	y lcheey shear aiin sheear otain otedy qokain chedkain shedaitain shalg	OPEN	0	0
G751-O0773	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.14	2	12	0.090909	MIDDLE	0	0	0	0	0	0	S	B	3	qocheol	chear	0	HOT|LEVEL_II	qocheol qokain chear ol oin shedy qotaiin qokeechy olkeey lkain lal gm	OPEN	0	0
G751-O0774	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.15	11	15	0.714286	MIDDLE	0	0	0	0	0	0	S	B	3	lchedy	chtal	0	HOT|LEVEL_II	sar shey l otain qokaiin al kain chedy otal lchedy qokain chtal otain l s	OPEN	0	0
G751-O0775	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.16	1	13	0.000000	FIRST	1	0	0	0	0	0	S	B	3	EDGE	sheol	0	HOT|LEVEL_II	qokain sheol qokain shckhey lchedy okar al qotal shedy otain far aiin am	OPEN	0	0
G751-O0776	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.16	3	13	0.166667	MIDDLE	0	0	0	0	0	0	S	B	3	sheol	shckhey	0	HOT|LEVEL_II	qokain sheol qokain shckhey lchedy okar al qotal shedy otain far aiin am	OPEN	0	0
G751-O0777	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.17	5	12	0.363636	MIDDLE	0	0	0	0	0	0	S	B	3	sheey	chkal	0	HOT|LEVEL_II	solkain shey okaiin sheey qokain chkal chckhy saiin ar lchal she otain	OPEN	0	0
G751-O0778	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.19	4	11	0.300000	MIDDLE	0	0	0	0	0	0	S	B	3	tain	shey	0	HOT|LEVEL_II	qokaiin cheal tain qokain shey qokain char shcthey qoky chy qokaiin	OPEN	0	0
G751-O0779	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.19	6	11	0.500000	MIDDLE	0	0	0	0	0	0	S	B	3	shey	char	0	HOT|LEVEL_II	qokaiin cheal tain qokain shey qokain char shcthey qoky chy qokaiin	OPEN	0	0
G751-O0780	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.21	13	15	0.857143	MIDDLE	0	0	0	0	0	0	S	B	3	qo	chear	0	HOT|LEVEL_II	sair air ain qol rar ain cheey lkeey lkain cheokain sheo qo qokain chear alam	OPEN	0	0
G751-O0781	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.22	6	11	0.500000	MIDDLE	0	0	0	0	0	0	S	B	3	chedy	okain	1	HOT|LEVEL_II	saiin ychear olsheey chetain chedy qokain okain al chan okalchey lkeeey	OPEN	0	0
G751-O0782	G751-Q011	Q_SIDE	qokain	okain	f111v	f111	f111v.23	8	11	0.700000	MIDDLE	0	0	0	0	0	0	S	B	3	okaiin	cheol	0	HOT|LEVEL_II	qokaiin sheckhy qokar chalkain chckhedy lcheol okaiin qokain cheol daiin lam	OPEN	0	0
