event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	atomic_card_value_de	product_or_job	complete_workshop_expansion_de	visible_owner	terminal_status
108	B1-S002	B1	f81v	olkain	MC097	weiterer Anteil	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
109	B1-S002	B1	f81v	al	MC154	dorthin	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
110	B1-S002	B1	f81v	ol	MC153	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
111	B1-S002	B1	f81v	rol	MC016	Anschluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
112	B1-S002	B1	f81v	dl	MC012	Zusatz	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
113	B1-S002	B1	f81v	olor	MC157	derselbe Ansatz	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
114	B1-S002	B1	f81v	ol	MC153	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
115	B1-S002	B1	f81v	sheckhal	MC058	Kurze Zielpassage	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
116	B1-S002	B1	f81v	daiin	MC039	Sollmaß	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
117	B1-S002	B1	f81v	qokeedal	MC096	Langer Zieleinsatz	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
118	B1-S002	B1	f81v	daiin	MC039	Sollmaß	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
119	B1-S002	B1	f81v	chckhy	MC035	durchleiten	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
120	B1-S002	B1	f81v	schedy	MC025	überführen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
121	B1-S003	B1	f81v	qol	MC153	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: weiter — Haltetransfer; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
122	B1-S003	B1	f81v	sshkchdy	MC061	Haltetransfer; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: weiter — Haltetransfer; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
123	B1-S004	B1	f81v	chedy	MC074	überführen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — weiter — kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
124	B1-S004	B1	f81v	ol	MC153	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — weiter — kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
125	B1-S004	B1	f81v	shedy	MC128	kurz absetzen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — weiter — kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
126	B1-S005	B1	f81v	qolchedy	MC028	weiterführen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: weiterführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
127	B1-S006	B1	f81v	qokain	MC017	Anteil zugeben	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Zielmarke.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
128	B1-S006	B1	f81v	shckhy	MC035	durchleiten	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Zielmarke.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
129	B1-S006	B1	f81v	dl	MC012	Zusatz	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Zielmarke.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
130	B1-S006	B1	f81v	ral	MC056	Zielmarke	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Zielmarke.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
131	B1-S007	B1	f81v	qokchdy	MC088	einführen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: am offenen Ziel in die Überführung weiter: einführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
132	B1-S008	B1	f81v	chey	MC123	dies	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
133	B1-S008	B1	f81v	ol	MC153	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
134	B1-S008	B1	f81v	cheky	MC147	kurz wärmen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
135	B1-S008	B1	f81v	ol	MC153	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
136	B1-S008	B1	f81v	shedy	MC128	kurz absetzen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
137	B1-S009	B1	f81v	qokedy	MC083	kurz einwirken; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz einwirken; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
138	B1-S010	B1	f81v	qokedy	MC083	kurz einwirken; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz einwirken; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
139	B1-S011	B1	f81v	chckhy	MC035	durchleiten	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: durchleiten — einsetzen.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
140	B1-S011	B1	f81v	qoky	MC026	einsetzen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: durchleiten — einsetzen.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
141	B1-S012	B1	f81v	lsho	MC130	Waschgang	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: mit dem eingesetzten Posten am selben Besitzer weiter: Waschgang — kurz einwirken — Waschgang; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
142	B1-S012	B1	f81v	qokey	MC007	kurz einwirken	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: mit dem eingesetzten Posten am selben Besitzer weiter: Waschgang — kurz einwirken — Waschgang; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
143	B1-S012	B1	f81v	lshedy	MC038	Waschgang; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: mit dem eingesetzten Posten am selben Besitzer weiter: Waschgang — kurz einwirken — Waschgang; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
144	B1-S013	B1	f81v	lshedy	MC038	Waschgang; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Waschgang; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
145	B1-S014	B1	f81v	chedy	MC074	überführen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — Weitergang — Zielabführung — weiter — Folgequelle.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
146	B1-S014	B1	f81v	qolky	MC134	Weitergang	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — Weitergang — Zielabführung — weiter — Folgequelle.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
147	B1-S014	B1	f81v	lchedal	MC051	Zielabführung	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — Weitergang — Zielabführung — weiter — Folgequelle.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
148	B1-S014	B1	f81v	qol	MC153	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — Weitergang — Zielabführung — weiter — Folgequelle.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
149	B1-S014	B1	f81v	otar	MC121	Folgequelle	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — Weitergang — Zielabführung — weiter — Folgequelle.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
150	B1-S015	B1	f81v	ytey	MC109	Kurzteil	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: von der eben gesetzten Quelle weiter: Kurzteil — einführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
151	B1-S015	B1	f81v	okchedy	MC005	einführen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: von der eben gesetzten Quelle weiter: Kurzteil — einführen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
152	B1-S016	B1	f81v	qokal	MC040	dorthin einsetzen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dorthin einsetzen — lange einwirken — weiter — kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
153	B1-S016	B1	f81v	okeey	MC002	lange einwirken	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dorthin einsetzen — lange einwirken — weiter — kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
154	B1-S016	B1	f81v	qol	MC153	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dorthin einsetzen — lange einwirken — weiter — kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
155	B1-S016	B1	f81v	cheedy	MC128	kurz absetzen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dorthin einsetzen — lange einwirken — weiter — kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
156	B1-S017	B1	f81v	sal	MC154	dorthin	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dorthin — Kurzfortsetzung — Transfer; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
157	B1-S017	B1	f81v	teol	MC106	Kurzfortsetzung	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dorthin — Kurzfortsetzung — Transfer; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
158	B1-S017	B1	f81v	dchdy	MC139	Transfer; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dorthin — Kurzfortsetzung — Transfer; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
159	B1-S018	B1	f81v	ly	MC118	Abführposten	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Abführposten — Kurzhalt — Arbeitsstufe — lange sammeln; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
160	B1-S018	B1	f81v	dsheol	MC076	Kurzhalt	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Abführposten — Kurzhalt — Arbeitsstufe — lange sammeln; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
161	B1-S018	B1	f81v	oiiin	MC033	Arbeitsstufe	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Abführposten — Kurzhalt — Arbeitsstufe — lange sammeln; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
162	B1-S018	B1	f81v	olkeedy	MC045	lange sammeln; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Abführposten — Kurzhalt — Arbeitsstufe — lange sammeln; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
163	B1-S019	B1	f81v	tedy	MC128	kurz absetzen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz absetzen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
164	B1-S020	B1	f81v	cheky	MC147	kurz wärmen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz wärmen — durchlassen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
165	B1-S020	B1	f81v	shckhedy	MC143	durchlassen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz wärmen — durchlassen; Schluss.	gemeinsames zweireihiges Figuren-/Beckenfeld	TERMINAL
166	B1-S021	B1	f81v	chal	MC154	dorthin	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dorthin.	gemeinsames zweireihiges Figuren-/Beckenfeld	NONCLOSE
167	B2-S001	B2	f82r	dchedy	MC025	überführen; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Besitzer »obere Paarbecken-/Zylinderstation«: überführen; Schluss.	obere Paarbecken-/Zylinderstation	TERMINAL
168	B2-S002	B2	f82r	qolchedy	MC028	weiterführen; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: weiterführen; Schluss.	obere Paarbecken-/Zylinderstation	TERMINAL
169	B2-S003	B2	f82r	qokain	MC017	Anteil zugeben	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Anteil zugeben — dies — lange einwirken; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
170	B2-S003	B2	f82r	dy	MC123	dies	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Anteil zugeben — dies — lange einwirken; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
171	B2-S003	B2	f82r	qokeedy	MC082	lange einwirken; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Anteil zugeben — dies — lange einwirken; Schluss.	obere Paarbecken-/Zylinderstation	TERMINAL
172	B2-S004	B2	f82r	qokal	MC040	dorthin einsetzen	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin einsetzen — Abführpassage — Abführung — lange einwirken — Trennabzug; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
173	B2-S004	B2	f82r	lcheckhy	MC168	Abführpassage	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin einsetzen — Abführpassage — Abführung — lange einwirken — Trennabzug; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
174	B2-S004	B2	f82r	lched	MC127	Abführung	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin einsetzen — Abführpassage — Abführung — lange einwirken — Trennabzug; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
175	B2-S004	B2	f82r	qokeey	MC002	lange einwirken	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin einsetzen — Abführpassage — Abführung — lange einwirken — Trennabzug; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
176	B2-S004	B2	f82r	lcheckhedy	MC133	Trennabzug; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin einsetzen — Abführpassage — Abführung — lange einwirken — Trennabzug; Schluss.	obere Paarbecken-/Zylinderstation	TERMINAL
177	B2-S005	B2	f82r	qokaly	MC054	Zieleinsatz	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Zieleinsatz — Sollsammlung — durchleiten — bemessen — bemessen — Fortsetzung vorbereiten — Langwärmen — abziehen; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
178	B2-S005	B2	f82r	solkaiin	MC036	Sollsammlung	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Zieleinsatz — Sollsammlung — durchleiten — bemessen — bemessen — Fortsetzung vorbereiten — Langwärmen — abziehen; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
179	B2-S005	B2	f82r	chckhy	MC035	durchleiten	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Zieleinsatz — Sollsammlung — durchleiten — bemessen — bemessen — Fortsetzung vorbereiten — Langwärmen — abziehen; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
180	B2-S005	B2	f82r	qokaiin	MC120	bemessen	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Zieleinsatz — Sollsammlung — durchleiten — bemessen — bemessen — Fortsetzung vorbereiten — Langwärmen — abziehen; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
181	B2-S005	B2	f82r	qokaiin	MC120	bemessen	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Zieleinsatz — Sollsammlung — durchleiten — bemessen — bemessen — Fortsetzung vorbereiten — Langwärmen — abziehen; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
182	B2-S005	B2	f82r	octheol	MC112	Fortsetzung vorbereiten	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Zieleinsatz — Sollsammlung — durchleiten — bemessen — bemessen — Fortsetzung vorbereiten — Langwärmen — abziehen; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
183	B2-S005	B2	f82r	chkeey	MC166	Langwärmen	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Zieleinsatz — Sollsammlung — durchleiten — bemessen — bemessen — Fortsetzung vorbereiten — Langwärmen — abziehen; Schluss.	obere Paarbecken-/Zylinderstation	NONCLOSE
184	B2-S005	B2	f82r	ldy	MC004	abziehen; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Zieleinsatz — Sollsammlung — durchleiten — bemessen — bemessen — Fortsetzung vorbereiten — Langwärmen — abziehen; Schluss.	obere Paarbecken-/Zylinderstation	TERMINAL
185	B2-S006	B2	f82r	oteey	MC063	Langfolge	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Langfolge — dorthin einsetzen — Kurzpassage — einsetzen.	obere Paarbecken-/Zylinderstation	NONCLOSE
186	B2-S006	B2	f82r	qokal	MC040	dorthin einsetzen	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Langfolge — dorthin einsetzen — Kurzpassage — einsetzen.	obere Paarbecken-/Zylinderstation	NONCLOSE
187	B2-S006	B2	f82r	sheckhy	MC132	Kurzpassage	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Langfolge — dorthin einsetzen — Kurzpassage — einsetzen.	obere Paarbecken-/Zylinderstation	NONCLOSE
188	B2-S006	B2	f82r	qoky	MC026	einsetzen	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Langfolge — dorthin einsetzen — Kurzpassage — einsetzen.	obere Paarbecken-/Zylinderstation	NONCLOSE
189	B2-S007	B2	f82r	dshedy	MC138	Kurzabsetzen; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Besitzer »mittlere linke Geräte-/Inline-Knotenstation«: Kurzabsetzen; Schluss.	mittlere linke Geräte-/Inline-Knotenstation	TERMINAL
190	B2-S008	B2	f82r	sotaiin	MC060	Folgemaß	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Folgemaß — Quelleinsatz — kurz absetzen; Schluss.	mittlere linke Geräte-/Inline-Knotenstation	NONCLOSE
191	B2-S008	B2	f82r	qokar	MC044	Quelleinsatz	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Folgemaß — Quelleinsatz — kurz absetzen; Schluss.	mittlere linke Geräte-/Inline-Knotenstation	NONCLOSE
192	B2-S008	B2	f82r	shedy	MC128	kurz absetzen; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Folgemaß — Quelleinsatz — kurz absetzen; Schluss.	mittlere linke Geräte-/Inline-Knotenstation	TERMINAL
193	B2-S009	B2	f82r	solshedy	MC149	Folgeabsetzen; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Folgeabsetzen; Schluss.	mittlere linke Geräte-/Inline-Knotenstation	TERMINAL
194	B2-S010	B2	f82r	qokeey	MC002	lange einwirken	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: lange einwirken — einsetzen — Auslass — Klarauszug.	mittlere linke Geräte-/Inline-Knotenstation	NONCLOSE
