edge_id	batch_id	source_row_id	page	physical_folio	locus	predecessor_ordinal	right_ordinal	predecessor_surface	right_surface	head_id	body	register_id	score_eligible	component_export_credit
G776-E0195	GDT776_H4_CONTROL	G776-C0160	f111r	f111	f111r.5	6	7	lkey	otain	H4	key	S|B|3	0	0
G776-E0196	GDT776_H4_CONTROL	G776-C0161	f111r	f111	f111r.7	5	6	lchedy	chol	H4	chedy	S|B|3	0	0
G776-E0197	GDT776_H3_CONTROL	G776-C0162	f111r	f111	f111r.7	9	10	raiin	otedy	H3	aiin	S|B|3	0	0
G776-E0198	GDT776_H4_CONTROL	G776-C0163	f111r	f111	f111r.8	11	12	lkeey	qotchdy	H4	keey	S|B|3	0	0
G776-E0199	GDT776_H4_CONTROL	G776-C0164	f111r	f111	f111r.9	4	5	lchedy	qokeey	H4	chedy	S|B|3	0	0
G776-E0200	GDT776_H4_CONTROL	G776-C0165	f111v	f111	f111v.10	4	5	lor	cheo	H4	or	S|B|3	0	0
G776-E0201	GDT776_H4_CONTROL	G776-C0166	f111v	f111	f111v.16	5	6	lchedy	okar	H4	chedy	S|B|3	0	0
G776-E0202	GDT776_H4_CONTROL	G776-C0167	f111v	f111	f111v.17	10	11	lchal	she	H4	chal	S|B|3	0	0
G776-E0203	GDT776_H3_CONTROL	G776-C0168	f111v	f111	f111v.21	5	6	rar	ain	H3	ar	S|B|3	0	0
G776-E0204	GDT776_H4_CONTROL	G776-C0169	f111v	f111	f111v.21	8	9	lkeey	lkain	H4	keey	S|B|3	0	0
G776-E0205	GDT776_H4_CONTROL	G776-C0170	f111v	f111	f111v.21	9	10	lkain	cheokain	H4	kain	S|B|3	0	0
G776-E0206	GDT776_H4_CONTROL	G776-C0171	f111v	f111	f111v.23	6	7	lcheol	okaiin	H4	cheol	S|B|3	0	0
G776-E0207	GDT776_H4_CONTROL	G776-C0172	f111v	f111	f111v.24	5	6	lkain	chey	H4	kain	S|B|3	0	0
G776-E0208	GDT776_H4_CONTROL	G776-C0173	f111v	f111	f111v.27	12	13	ldar	llo	H4	dar	S|B|3	0	0
G776-E0209	GDT776_H4_CONTROL	G776-C0174	f111v	f111	f111v.30	10	11	lkain	lky	H4	kain	S|B|3	0	0
G776-E0210	GDT776_H4_CONTROL	G776-C0175	f111v	f111	f111v.31	5	6	lain	chey	H4	ain	S|B|3	0	0
G776-E0211	GDT776_H4_CONTROL	G776-C0176	f111v	f111	f111v.31	9	10	lkain	chal	H4	kain	S|B|3	0	0
G776-E0212	GDT776_H4_CONTROL	G776-C0177	f111v	f111	f111v.35	4	5	lkain	lchey	H4	kain	S|B|3	0	0
G776-E0213	GDT776_H4_CONTROL	G776-C0178	f111v	f111	f111v.35	5	6	lchey	lshekain	H4	chey	S|B|3	0	0
G776-E0214	GDT776_H4_CONTROL	G776-C0179	f111v	f111	f111v.35	11	12	lkain	y	H4	kain	S|B|3	0	0
G776-E0215	GDT776_H4_CONTROL	G776-C0180	f111v	f111	f111v.39	7	8	lkeey	shey	H4	keey	S|B|3	0	0
G776-E0216	GDT776_H4_CONTROL	G776-C0181	f111v	f111	f111v.40	2	3	lkain	chckhy	H4	kain	S|B|3	0	0
G776-E0217	GDT776_H4_CONTROL	G776-C0182	f111v	f111	f111v.41	5	6	lkeey	oteedy	H4	keey	S|B|3	0	0
G776-E0218	GDT776_H4_CONTROL	G776-C0183	f111v	f111	f111v.46	3	4	lkeey	rolkeey	H4	keey	S|B|3	0	0
G776-E0219	GDT776_H4_CONTROL	G776-C0184	f111v	f111	f111v.46	7	8	lchedy	lkeain	H4	chedy	S|B|3	0	0
G776-E0220	GDT776_H4_CONTROL	G776-C0185	f111v	f111	f111v.49	5	6	lor	sheey	H4	or	S|B|3	0	0
G776-E0221	GDT776_TARGET_MEDIAL	G776-T0036	f111v	f111	f111v.50	9	10	ol	loeees	TARGET_OL	NONE	S|B|3	0	0
G776-E0222	GDT776_H4_CONTROL	G776-C0186	f111v	f111	f111v.6	6	7	lkeey	chol	H4	keey	S|B|3	0	0
G776-E0223	GDT776_H4_CONTROL	G776-C0187	f111v	f111	f111v.9	7	8	lkey	okeey	H4	key	S|B|3	0	0
G776-E0224	GDT776_H3_CONTROL	G776-C0188	f112r	f112	f112r.17	7	8	ral	cheey	H3	al	S|B|3	0	0
G776-E0225	GDT776_TARGET_MEDIAL	G776-T0037	f112r	f112	f112r.2	5	6	ol	olaiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0226	GDT776_H3_CONTROL	G776-C0189	f112r	f112	f112r.21	3	4	raiin	chcthey	H3	aiin	S|B|3	0	0
G776-E0227	GDT776_H4_CONTROL	G776-C0190	f112r	f112	f112r.27	7	8	lky	shty	H4	ky	S|B|3	0	0
G776-E0228	GDT776_TARGET_MEDIAL	G776-T0038	f112r	f112	f112r.30	6	7	ol	chedy	TARGET_OL	NONE	S|B|3	0	0
G776-E0229	GDT776_H4_CONTROL	G776-C0191	f112r	f112	f112r.31	7	8	lchedy	okeeor	H4	chedy	S|B|3	0	0
G776-E0230	GDT776_H4_CONTROL	G776-C0192	f112v	f112	f112v.11	6	7	lody	chcfhy	H4	ody	S|B|3	0	0
G776-E0231	GDT776_TARGET_MEDIAL	G776-T0039	f112v	f112	f112v.23	5	6	ol	cheedaiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0232	GDT776_H4_CONTROL	G776-C0193	f112v	f112	f112v.38	10	11	lkain	cheo	H4	kain	S|B|3	0	0
G776-E0233	GDT776_H4_CONTROL	G776-C0194	f112v	f112	f112v.40	3	4	lchedy	chckhy	H4	chedy	S|B|3	0	0
G776-E0234	GDT776_H4_CONTROL	G776-C0195	f112v	f112	f112v.46	2	3	lor	chaiin	H4	or	S|B|3	0	0
G776-E0235	GDT776_H3_CONTROL	G776-C0196	f113r	f113	f113r.25	7	8	rair	shedy	H3	air	S|B|3	0	0
G776-E0236	GDT776_H4_CONTROL	G776-C0197	f113r	f113	f113r.26	9	10	loaiin	okeedy	H4	oaiin	S|B|3	0	0
G776-E0237	GDT776_H3_CONTROL	G776-C0198	f113r	f113	f113r.34	9	10	rchedy	ldy	H3	chedy	S|B|3	0	0
G776-E0238	GDT776_H3_CONTROL	G776-C0199	f113r	f113	f113r.39	11	12	rair	aly	H3	air	S|B|3	0	0
G776-E0239	GDT776_H4_CONTROL	G776-C0200	f113r	f113	f113r.4	9	10	lkar	ar	H4	kar	S|B|3	0	0
G776-E0240	GDT776_H4_CONTROL	G776-C0201	f113r	f113	f113r.43	3	4	lkar	ar	H4	kar	S|B|3	0	0
G776-E0241	GDT776_TARGET_MEDIAL	G776-T0040	f113r	f113	f113r.43	9	10	ol	chedy	TARGET_OL	NONE	S|B|3	0	0
G776-E0242	GDT776_H4_CONTROL	G776-C0202	f113r	f113	f113r.43	11	12	lchey	lkar	H4	chey	S|B|3	0	0
G776-E0243	GDT776_H4_CONTROL	G776-C0203	f113r	f113	f113r.43	12	13	lkar	am	H4	kar	S|B|3	0	0
G776-E0244	GDT776_H4_CONTROL	G776-C0204	f113r	f113	f113r.50	4	5	lkaiin	chey	H4	kaiin	S|B|3	0	0
G776-E0245	GDT776_H3_CONTROL	G776-C0205	f113v	f113	f113v.1	10	11	rol	lkar	H3	ol	S|B|3	0	0
G776-E0246	GDT776_H3_CONTROL	G776-C0206	f113v	f113	f113v.13	10	11	roral	fchee	H3	oral	S|B|3	0	0
G776-E0247	GDT776_H4_CONTROL	G776-C0207	f113v	f113	f113v.17	3	4	lcheey	olkar	H4	cheey	S|B|3	0	0
G776-E0248	GDT776_H4_CONTROL	G776-C0208	f113v	f113	f113v.18	5	6	lky	lkches	H4	ky	S|B|3	0	0
G776-E0249	GDT776_H4_CONTROL	G776-C0209	f113v	f113	f113v.19	10	11	lchal	qckham	H4	chal	S|B|3	0	0
G776-E0250	GDT776_H4_CONTROL	G776-C0210	f113v	f113	f113v.2	8	9	lkchdy	oteol	H4	kchdy	S|B|3	0	0
G776-E0251	GDT776_H3_CONTROL	G776-C0211	f113v	f113	f113v.22	4	5	raiin	olal	H3	aiin	S|B|3	0	0
G776-E0252	GDT776_H4_CONTROL	G776-C0212	f113v	f113	f113v.24	2	3	lcheey	loar	H4	cheey	S|B|3	0	0
G776-E0253	GDT776_H4_CONTROL	G776-C0213	f113v	f113	f113v.24	3	4	loar	cheos	H4	oar	S|B|3	0	0
G776-E0254	GDT776_TARGET_MEDIAL	G776-T0041	f113v	f113	f113v.25	9	10	ol	keeor	TARGET_OL	NONE	S|B|3	0	0
G776-E0255	GDT776_H4_CONTROL	G776-C0214	f113v	f113	f113v.29	11	12	lor	air	H4	or	S|B|3	0	0
G776-E0256	GDT776_H4_CONTROL	G776-C0215	f113v	f113	f113v.31	5	6	lchedy	okaiin	H4	chedy	S|B|3	0	0
G776-E0257	GDT776_H4_CONTROL	G776-C0216	f113v	f113	f113v.37	5	6	lchedy	qokair	H4	chedy	S|B|3	0	0
G776-E0258	GDT776_H4_CONTROL	G776-C0217	f113v	f113	f113v.45	7	8	lkeey	opchedy	H4	keey	S|B|3	0	0
G776-E0259	GDT776_H4_CONTROL	G776-C0218	f113v	f113	f113v.46	4	5	lain	al	H4	ain	S|B|3	0	0
G776-E0260	GDT776_H4_CONTROL	G776-C0219	f113v	f113	f113v.47	3	4	lkaiin	tair	H4	kaiin	S|B|3	0	0
G776-E0261	GDT776_H4_CONTROL	G776-C0220	f113v	f113	f113v.48	10	11	lkaiin	okal	H4	kaiin	S|B|3	0	0
G776-E0262	GDT776_H4_CONTROL	G776-C0221	f113v	f113	f113v.49	8	9	lkeey	ltal	H4	keey	S|B|3	0	0
G776-E0263	GDT776_H4_CONTROL	G776-C0222	f113v	f113	f113v.6	2	3	lcheol	chockhy	H4	cheol	S|B|3	0	0
G776-E0264	GDT776_H4_CONTROL	G776-C0223	f113v	f113	f113v.7	3	4	lkeeody	oteedy	H4	keeody	S|B|3	0	0
G776-E0265	GDT776_TARGET_MEDIAL	G776-T0042	f114r	f114	f114r.12	2	3	ol	air	TARGET_OL	NONE	S|B|3	0	0
G776-E0266	GDT776_H4_CONTROL	G776-C0224	f114r	f114	f114r.12	8	9	lair	sheod	H4	air	S|B|3	0	0
G776-E0267	GDT776_TARGET_MEDIAL	G776-T0043	f114r	f114	f114r.2	11	12	ol	keeed	TARGET_OL	NONE	S|B|3	0	0
G776-E0268	GDT776_H4_CONTROL	G776-C0225	f114r	f114	f114r.21	3	4	lcheo	dkair	H4	cheo	S|B|3	0	0
G776-E0269	GDT776_TARGET_MEDIAL	G776-T0044	f114r	f114	f114r.37	8	9	ol	kaiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0270	GDT776_TARGET_MEDIAL	G776-T0045	f114v	f114	f114v.16	4	5	ol	aiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0271	GDT776_TARGET_MEDIAL	G776-T0046	f114v	f114	f114v.34	2	3	ol	oaiin	TARGET_OL	NONE	S|B|3	0	0
G776-E0272	GDT776_H3_CONTROL	G776-C0226	f115r	f115	f115r.11	8	9	rain	cheo	H3	ain	S|B|@	0	0
G776-E0273	GDT776_H4_CONTROL	G776-C0227	f115r	f115	f115r.14	4	5	lkain	cheey	H4	kain	S|B|@	0	0
G776-E0274	GDT776_H4_CONTROL	G776-C0228	f115r	f115	f115r.14	9	10	lodar	chtar	H4	odar	S|B|@	0	0
G776-E0275	GDT776_H4_CONTROL	G776-C0229	f115r	f115	f115r.15	11	12	lkar	air	H4	kar	S|B|@	0	0
G776-E0276	GDT776_H4_CONTROL	G776-C0230	f115r	f115	f115r.18	2	3	lcheey	okcho	H4	cheey	S|B|@	0	0
G776-E0277	GDT776_H3_CONTROL	G776-C0231	f115r	f115	f115r.21	7	8	rodaiin	cheockhy	H3	odaiin	S|B|@	0	0
G776-E0278	GDT776_H4_CONTROL	G776-C0232	f115r	f115	f115r.24	10	11	lor	ol	H4	or	S|B|@	0	0
G776-E0279	GDT776_TARGET_MEDIAL	G776-T0047	f115r	f115	f115r.24	11	12	ol	otlaiin	TARGET_OL	NONE	S|B|@	0	0
G776-E0280	GDT776_H4_CONTROL	G776-C0233	f115r	f115	f115r.27	2	3	los	ar	H4	os	S|B|@	0	0
G776-E0281	GDT776_H3_CONTROL	G776-C0234	f115r	f115	f115r.29	7	8	ror	pchodar	H3	or	S|B|@	0	0
G776-E0282	GDT776_H3_CONTROL	G776-C0235	f115r	f115	f115r.31	10	11	raiin	dlchd	H3	aiin	S|B|@	0	0
G776-E0283	GDT776_H4_CONTROL	G776-C0236	f115r	f115	f115r.32	10	11	laiin	chedy	H4	aiin	S|B|@	0	0
G776-E0284	GDT776_H3_CONTROL	G776-C0237	f115r	f115	f115r.34	5	6	raiin	cheky	H3	aiin	S|B|@	0	0
G776-E0285	GDT776_H3_CONTROL	G776-C0238	f115r	f115	f115r.38	7	8	raiin	shey	H3	aiin	S|B|@	0	0
G776-E0286	GDT776_H4_CONTROL	G776-C0239	f115r	f115	f115r.40	3	4	lchy	qokchedy	H4	chy	S|B|@	0	0
G776-E0287	GDT776_H3_CONTROL	G776-C0240	f115r	f115	f115r.42	2	3	raiin	chkar	H3	aiin	S|B|@	0	0
G776-E0288	GDT776_H4_CONTROL	G776-C0241	f115r	f115	f115r.8	6	7	lor	aiin	H4	or	S|B|@	0	0
G776-E0289	GDT776_H3_CONTROL	G776-C0242	f115v	f115	f115v.13	3	4	rar	tcheody	H3	ar	S|B|3	0	0
G776-E0290	GDT776_H3_CONTROL	G776-C0243	f115v	f115	f115v.13	8	9	rchees	cphor	H3	chees	S|B|3	0	0
G776-E0291	GDT776_H4_CONTROL	G776-C0244	f115v	f115	f115v.15	6	7	lr	chdain	H4	r	S|B|3	0	0
G776-E0292	GDT776_H4_CONTROL	G776-C0245	f115v	f115	f115v.20	3	4	lkeey	raiin	H4	keey	S|B|3	0	0
G776-E0293	GDT776_H3_CONTROL	G776-C0246	f115v	f115	f115v.20	4	5	raiin	cheo	H3	aiin	S|B|3	0	0
G776-E0294	GDT776_H4_CONTROL	G776-C0247	f115v	f115	f115v.20	6	7	lor	otal	H4	or	S|B|3	0	0
G776-E0295	GDT776_H4_CONTROL	G776-C0248	f115v	f115	f115v.21	5	6	lor	eees	H4	or	S|B|3	0	0
G776-E0296	GDT776_H4_CONTROL	G776-C0249	f115v	f115	f115v.26	3	4	lcheey	ror	H4	cheey	S|B|3	0	0
G776-E0297	GDT776_H3_CONTROL	G776-C0250	f115v	f115	f115v.26	4	5	ror	al	H3	or	S|B|3	0	0
G776-E0298	GDT776_H4_CONTROL	G776-C0251	f115v	f115	f115v.29	11	12	lky	raram	H4	ky	S|B|3	0	0
G776-E0299	GDT776_TARGET_MEDIAL	G776-T0048	f115v	f115	f115v.30	2	3	ol	chlor	TARGET_OL	NONE	S|B|3	0	0
G776-E0300	GDT776_H3_CONTROL	G776-C0252	f115v	f115	f115v.30	5	6	rchedar	oteedal	H3	chedar	S|B|3	0	0
G776-E0301	GDT776_H4_CONTROL	G776-C0253	f115v	f115	f115v.34	4	5	ldar	shdar	H4	dar	S|B|3	0	0
G776-E0302	GDT776_H3_CONTROL	G776-C0254	f115v	f115	f115v.35	10	11	rain	checthey	H3	ain	S|B|3	0	0
G776-E0303	GDT776_H4_CONTROL	G776-C0255	f115v	f115	f115v.39	6	7	lkaiin	lkchey	H4	kaiin	S|B|3	0	0
G776-E0304	GDT776_H4_CONTROL	G776-C0256	f115v	f115	f115v.39	8	9	lkain	lror	H4	kain	S|B|3	0	0
G776-E0305	GDT776_H4_CONTROL	G776-C0257	f115v	f115	f115v.4	8	9	lched	otchd	H4	ched	S|B|3	0	0
G776-E0306	GDT776_H4_CONTROL	G776-C0258	f115v	f115	f115v.42	9	10	lkar	lkl	H4	kar	S|B|3	0	0
G776-E0307	GDT776_H3_CONTROL	G776-C0259	f115v	f115	f115v.44	6	7	ral	rchos	H3	al	S|B|3	0	0
G776-E0308	GDT776_H3_CONTROL	G776-C0260	f115v	f115	f115v.44	7	8	rchos	oty	H3	chos	S|B|3	0	0
G776-E0309	GDT776_H4_CONTROL	G776-C0261	f115v	f115	f115v.9	9	10	lchey	ror	H4	chey	S|B|3	0	0
G776-E0310	GDT776_H3_CONTROL	G776-C0262	f116r	f116	f116r.10	7	8	rain	sheedy	H3	ain	S|B|3	0	0
G776-E0311	GDT776_H4_CONTROL	G776-C0263	f116r	f116	f116r.17	5	6	lain	okeey	H4	ain	S|B|3	0	0
G776-E0312	GDT776_H4_CONTROL	G776-C0264	f116r	f116	f116r.18	7	8	lor	oiin	H4	or	S|B|3	0	0
G776-E0313	GDT776_H3_CONTROL	G776-C0265	f116r	f116	f116r.19	9	10	rain	otey	H3	ain	S|B|3	0	0
G776-E0314	GDT776_H4_CONTROL	G776-C0266	f116r	f116	f116r.2	7	8	lar	ar	H4	ar	S|B|3	0	0
G776-E0315	GDT776_H4_CONTROL	G776-C0267	f116r	f116	f116r.23	3	4	lkar	shedy	H4	kar	S|B|3	0	0
G776-E0316	GDT776_H4_CONTROL	G776-C0268	f116r	f116	f116r.27	4	5	lshedy	orain	H4	shedy	S|B|3	0	0
G776-E0317	GDT776_H4_CONTROL	G776-C0269	f116r	f116	f116r.27	7	8	lkain	chy	H4	kain	S|B|3	0	0
G776-E0318	GDT776_H4_CONTROL	G776-C0270	f116r	f116	f116r.27	10	11	lshedy	qoky	H4	shedy	S|B|3	0	0
G776-E0319	GDT776_H4_CONTROL	G776-C0271	f116r	f116	f116r.28	2	3	lchey	lkeey	H4	chey	S|B|3	0	0
G776-E0320	GDT776_H4_CONTROL	G776-C0272	f116r	f116	f116r.28	3	4	lkeey	sheal	H4	keey	S|B|3	0	0
G776-E0321	GDT776_H4_CONTROL	G776-C0273	f116r	f116	f116r.29	3	4	lkeeal	lshey	H4	keeal	S|B|3	0	0
G776-E0322	GDT776_H4_CONTROL	G776-C0274	f116r	f116	f116r.29	4	5	lshey	chl	H4	shey	S|B|3	0	0
G776-E0323	GDT776_H4_CONTROL	G776-C0275	f116r	f116	f116r.29	7	8	lkain	chear	H4	kain	S|B|3	0	0
G776-E0324	GDT776_H3_CONTROL	G776-C0276	f116r	f116	f116r.29	13	14	raraiin	ory	H3	araiin	S|B|3	0	0
G776-E0325	GDT776_H4_CONTROL	G776-C0277	f116r	f116	f116r.3	3	4	lshey	cthy	H4	shey	S|B|3	0	0
G776-E0326	GDT776_H4_CONTROL	G776-C0278	f116r	f116	f116r.3	5	6	lshedy	oteor	H4	shedy	S|B|3	0	0
G776-E0327	GDT776_H3_CONTROL	G776-C0279	f116r	f116	f116r.31	4	5	rain	alolfchy	H3	ain	S|B|3	0	0
G776-E0328	GDT776_H3_CONTROL	G776-C0280	f116r	f116	f116r.31	6	7	rpchey	shfy	H3	pchey	S|B|3	0	0
G776-E0329	GDT776_H3_CONTROL	G776-C0281	f116r	f116	f116r.32	2	3	rain	shey	H3	ain	S|B|3	0	0
G776-E0330	GDT776_H4_CONTROL	G776-C0282	f116r	f116	f116r.32	8	9	lchedy	rshey	H4	chedy	S|B|3	0	0
G776-E0331	GDT776_H3_CONTROL	G776-C0283	f116r	f116	f116r.32	9	10	rshey	qokeedy	H3	shey	S|B|3	0	0
G776-E0332	GDT776_H3_CONTROL	G776-C0284	f116r	f116	f116r.34	3	4	raiin	shek	H3	aiin	S|B|3	0	0
G776-E0333	GDT776_H4_CONTROL	G776-C0285	f116r	f116	f116r.35	5	6	lchey	olkey	H4	chey	S|B|3	0	0
G776-E0334	GDT776_H3_CONTROL	G776-C0286	f116r	f116	f116r.36	2	3	rain	shey	H3	ain	S|B|3	0	0
G776-E0335	GDT776_H4_CONTROL	G776-C0287	f116r	f116	f116r.36	5	6	lkain	l	H4	kain	S|B|3	0	0
G776-E0336	GDT776_H4_CONTROL	G776-C0288	f116r	f116	f116r.37	7	8	lkeey	olkeey	H4	keey	S|B|3	0	0
G776-E0337	GDT776_H4_CONTROL	G776-C0289	f116r	f116	f116r.37	9	10	lchey	qoky	H4	chey	S|B|3	0	0
G776-E0338	GDT776_H4_CONTROL	G776-C0290	f116r	f116	f116r.37	11	12	lshedy	cheam	H4	shedy	S|B|3	0	0
G776-E0339	GDT776_H3_CONTROL	G776-C0291	f116r	f116	f116r.38	10	11	raiin	shy	H3	aiin	S|B|3	0	0
G776-E0340	GDT776_H3_CONTROL	G776-C0292	f116r	f116	f116r.43	7	8	rain	cphan	H3	ain	S|B|3	0	0
G776-E0341	GDT776_TARGET_MEDIAL	G776-T0049	f116r	f116	f116r.44	5	6	ol	lcheor	TARGET_OL	NONE	S|B|3	0	0
G776-E0342	GDT776_H4_CONTROL	G776-C0293	f116r	f116	f116r.44	6	7	lcheor	chky	H4	cheor	S|B|3	0	0
G776-E0343	GDT776_H3_CONTROL	G776-C0294	f116r	f116	f116r.44	8	9	raiin	chey	H3	aiin	S|B|3	0	0
G776-E0344	GDT776_TARGET_MEDIAL	G776-T0050	f116r	f116	f116r.49	11	12	ol	lkan	TARGET_OL	NONE	S|B|3	0	0
G776-E0345	GDT776_H4_CONTROL	G776-C0295	f116r	f116	f116r.5	11	12	lol	rol	H4	ol	S|B|3	0	0
G776-E0346	GDT776_H3_CONTROL	G776-C0296	f116r	f116	f116r.5	12	13	rol	oly	H3	ol	S|B|3	0	0
G776-E0347	GDT776_TARGET_MEDIAL	G776-T0051	f116r	f116	f116r.6	2	3	ol	lchedy	TARGET_OL	NONE	S|B|3	0	0
G776-E0348	GDT776_H4_CONTROL	G776-C0297	f116r	f116	f116r.6	3	4	lchedy	chedy	H4	chedy	S|B|3	0	0
G776-E0349	GDT776_H4_CONTROL	G776-C0298	f116r	f116	f116r.9	2	3	lchey	qokeedy	H4	chey	S|B|3	0	0
G776-E0350	GDT776_TARGET_MEDIAL	G776-T0052	f15v	f15	f15v.8	3	4	ol	oiin	TARGET_OL	NONE	H|A|1	0	0
G776-E0351	GDT776_TARGET_MEDIAL	G776-T0053	f17v	f17	f17v.12	5	6	ol	chor	TARGET_OL	NONE	H|A|1	0	0
G776-E0352	GDT776_TARGET_MEDIAL	G776-T0054	f17v	f17	f17v.18	3	4	ol	chol	TARGET_OL	NONE	H|A|1	0	0
G776-E0353	GDT776_TARGET_MEDIAL	G776-T0055	f17v	f17	f17v.8	3	4	ol	dy	TARGET_OL	NONE	H|A|1	0	0
G776-E0354	GDT776_TARGET_MEDIAL	G776-T0056	f18r	f18	f18r.10	4	5	ol	ydaiin	TARGET_OL	NONE	H|A|1	0	0
G776-E0355	GDT776_TARGET_MEDIAL	G776-T0057	f20r	f20	f20r.4	2	3	ol	teey	TARGET_OL	NONE	H|A|1	0	0
G776-E0356	GDT776_TARGET_MEDIAL	G776-T0058	f22r	f22	f22r.7	6	7	ol	otchy	TARGET_OL	NONE	H|A|1	0	0
G776-E0357	GDT776_H4_CONTROL	G776-C0299	f23r	f23	f23r.2	8	9	lolchor	daiin	H4	olchor	H|A|1	0	0
G776-E0358	GDT776_TARGET_MEDIAL	G776-T0059	f23r	f23	f23r.5	8	9	ol	ol	TARGET_OL	NONE	H|A|1	0	0
G776-E0359	GDT776_TARGET_MEDIAL	G776-T0060	f23r	f23	f23r.5	9	10	ol	dol	TARGET_OL	NONE	H|A|1	0	0
G776-E0360	GDT776_TARGET_MEDIAL	G776-T0061	f23r	f23	f23r.7	9	10	ol	daiin	TARGET_OL	NONE	H|A|1	0	0
G776-E0361	GDT776_TARGET_MEDIAL	G776-T0062	f23v	f23	f23v.1	8	9	ol	chcphy	TARGET_OL	NONE	H|A|1	0	0
G776-E0362	GDT776_TARGET_MEDIAL	G776-T0063	f24r	f24	f24r.13	2	3	ol	s	TARGET_OL	NONE	H|A|1	0	0
G776-E0363	GDT776_TARGET_MEDIAL	G776-T0064	f24r	f24	f24r.15	3	4	ol	dal	TARGET_OL	NONE	H|A|1	0	0
G776-E0364	GDT776_H4_CONTROL	G776-C0300	f27r	f27	f27r.7	6	7	ly	chals	H4	y	H|A|1	0	0
G776-E0365	GDT776_H4_CONTROL	G776-C0301	f2v	f2	f2v.3	3	4	lshy	chol	H4	shy	H|A|1	0	0
G776-E0366	GDT776_H3_CONTROL	G776-C0302	f30r	f30	f30r.6	5	6	ro	raiin	H3	o	H|A|1	0	0
G776-E0367	GDT776_H3_CONTROL	G776-C0303	f30r	f30	f30r.6	6	7	raiin	dor	H3	aiin	H|A|1	0	0
G776-E0368	GDT776_TARGET_MEDIAL	G776-T0065	f30r	f30	f30r.8	2	3	ol	chesey	TARGET_OL	NONE	H|A|1	0	0
G776-E0369	GDT776_TARGET_MEDIAL	G776-T0066	f32r	f32	f32r.7	3	4	ol	dair	TARGET_OL	NONE	H|A|1	0	0
G776-E0370	GDT776_TARGET_MEDIAL	G776-T0067	f33r	f33	f33r.5	5	6	ol	kor	TARGET_OL	NONE	H|B|2	0	0
G776-E0371	GDT776_H4_CONTROL	G776-C0304	f34r	f34	f34r.13	2	3	lor	ochey	H4	or	H|B|2	0	0
G776-E0372	GDT776_TARGET_MEDIAL	G776-T0068	f34r	f34	f34r.14	5	6	ol	al	TARGET_OL	NONE	H|B|2	0	0
G776-E0373	GDT776_TARGET_MEDIAL	G776-T0069	f34r	f34	f34r.5	4	5	ol	okes	TARGET_OL	NONE	H|B|2	0	0
G776-E0374	GDT776_H4_CONTROL	G776-C0305	f34v	f34	f34v.2	8	9	loees	ykar	H4	oees	H|B|2	0	0
G776-E0375	GDT776_H4_CONTROL	G776-C0306	f34v	f34	f34v.6	8	9	lr	ar	H4	r	H|B|2	0	0
G776-E0376	GDT776_H4_CONTROL	G776-C0307	f35r	f35	f35r.11	6	7	lchal	dal	H4	chal	H|A|1	0	0
G776-E0377	GDT776_H4_CONTROL	G776-C0308	f35r	f35	f35r.13	4	5	lshy	lodaly	H4	shy	H|A|1	0	0
G776-E0378	GDT776_H4_CONTROL	G776-C0309	f39v	f39	f39v.13	5	6	lchdy	okaiin	H4	chdy	H|B|2	0	0
G776-E0379	GDT776_TARGET_MEDIAL	G776-T0070	f39v	f39	f39v.5	10	11	ol	kor	TARGET_OL	NONE	H|B|2	0	0
G776-E0380	GDT776_TARGET_MEDIAL	G776-T0071	f40r	f40	f40r.5	5	6	ol	chedy	TARGET_OL	NONE	H|B|2	0	0
G776-E0381	GDT776_TARGET_MEDIAL	G776-T0072	f40r	f40	f40r.9	2	3	ol	olaiin	TARGET_OL	NONE	H|B|2	0	0
G776-E0382	GDT776_H4_CONTROL	G776-C0310	f41r	f41	f41r.8	5	6	lchdy	qokedy	H4	chdy	H|B|5	0	0
G776-E0383	GDT776_TARGET_MEDIAL	G776-T0073	f41v	f41	f41v.6	2	3	ol	cheos	TARGET_OL	NONE	H|B|5	0	0
G776-E0384	GDT776_TARGET_MEDIAL	G776-T0074	f42v	f42	f42v.12	3	4	ol	chaiin	TARGET_OL	NONE	H|A|1	0	0
G776-E0385	GDT776_H4_CONTROL	G776-C0311	f46r	f46	f46r.13	8	9	lain	y	H4	ain	H|B|2	0	0
G776-E0386	GDT776_H4_CONTROL	G776-C0312	f48v	f48	f48v.1	4	5	los	aiin	H4	os	H|B|5	0	0
G776-E0387	GDT776_H4_CONTROL	G776-C0313	f48v	f48	f48v.9	7	8	loldy	lol	H4	oldy	H|B|5	0	0
G776-E0388	GDT776_H3_CONTROL	G776-C0314	f49v	f49	f49v.32	3	4	rcheey	otchodar	H3	cheey	H|A|1	0	0
G776-E0389	GDT776_TARGET_MEDIAL	G776-T0075	f4r	f4	f4r.1	4	5	ol	sheey	TARGET_OL	NONE	H|A|1	0	0
G776-E0390	GDT776_TARGET_MEDIAL	G776-T0076	f55v	f55	f55v.3	9	10	ol	kar	TARGET_OL	NONE	H|B|2	0	0
