semantic_delta_card_id	source_comparison_card_id	target_matrix_cell_id	target_action_recipe	target_register	support_recipe	support_register	support_register_relation	support_channel	alignment_mode	support_depth	aligned_shared_tokens	aligned_shared_portable_values_de	target_only_positions	target_only_tokens	target_only_portable_values_de	target_only_owner_values_de	carrier_only_positions	carrier_only_tokens	carrier_only_portable_values_de	carrier_only_owner_values_de	delta_operation	sentence_effect_de	source_inherited_argument_root	source_template	selected_old_clause_de	target_current_default_phrase_de	token_effect_checks	token_effect_checks_passed	semantic_phrase_delta_consistent	source_roundtrip_exact	target_phrase_changed	target_evidence_status_retained	working_root_meaning_changed	surface_prediction_made	occurrence_prediction_made	guard
G504-D34	G502-F34	G498-M202	S+AL+Y	HERBAL	S+AL	BIOLOGICAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	S+AL	WÄHLEN · ZIELORT	3	Y	POSTEN	PFLANZENPOSTEN	NONE	NONE	NONE	NONE	EXPLICITIZE_INHERITED_POST	Der schon sprachlich geerbte Posten wird im Rezept ausdrücklich gesetzt.	Y	ACTION_RELATION	Wähle den Stationsposten [wie zuvor]; zur Zielstation.	Wähle den Pflanzenposten; zur Zielstelle.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D35	G502-F35	G498-M201	S+AL+Y	SOURCE_SECTION_T	S+AL	BIOLOGICAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	S+AL	WÄHLEN · ZIELORT	3	Y	POSTEN	LAUFENDER EINTRAG	NONE	NONE	NONE	NONE	EXPLICITIZE_INHERITED_POST	Der schon sprachlich geerbte Posten wird im Rezept ausdrücklich gesetzt.	Y	ACTION_RELATION	Wähle den Stationsposten [wie zuvor]; zur Zielstation.	Wähle den laufenden Eintrag; zur Zielspalte.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D36	G502-F36	G498-M192	SH+AL+Y	HERBAL	SH+AL	BIOLOGICAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	SH+AL	HALTEN · ZIELORT	3	Y	POSTEN	PFLANZENPOSTEN	NONE	NONE	NONE	NONE	EXPLICITIZE_INHERITED_POST	Der schon sprachlich geerbte Posten wird im Rezept ausdrücklich gesetzt.	Y	ACTION_RELATION	Halte den Stationsposten [wie zuvor]; zur Zielstation.	Halte den Pflanzenposten; zur Zielstelle.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D37	G502-F37	G498-M191	SH+AL+Y	SOURCE_SECTION_T	SH+AL	BIOLOGICAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	SH+AL	HALTEN · ZIELORT	3	Y	POSTEN	LAUFENDER EINTRAG	NONE	NONE	NONE	NONE	EXPLICITIZE_INHERITED_POST	Der schon sprachlich geerbte Posten wird im Rezept ausdrücklich gesetzt.	Y	ACTION_RELATION	Halte den Stationsposten [wie zuvor]; zur Zielstation.	Halte den laufenden Eintrag fest; zur Zielspalte.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D38	G502-F38	G498-M222	P+AL+Y	HERBAL	P+Y	BIOLOGICAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	P+Y	EINSETZEN · POSTEN	2	AL	ZIELORT	ZIELSTELLE	NONE	NONE	NONE	NONE	ADD_DESTINATION	Der Zielsatz ergänzt genau die owner-lokale Zielangabe.	NONE	ACTION_ARGUMENT	Setze den Stationsposten ein.	Setze den Pflanzenposten ein; zur Zielstelle.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D39	G502-F39	G498-M221	P+AL+Y	SOURCE_SECTION_T	P+Y	BIOLOGICAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	P+Y	EINSETZEN · POSTEN	2	AL	ZIELORT	ZIELSPALTE	NONE	NONE	NONE	NONE	ADD_DESTINATION	Der Zielsatz ergänzt genau die owner-lokale Zielangabe.	NONE	ACTION_ARGUMENT	Setze den Stationsposten ein.	Setze den laufenden Eintrag ein; zur Zielspalte.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D40	G502-F40	G498-M404	P+OR+Y	CELESTIAL	P+Y	BIOLOGICAL	CROSS_REGISTER	CROSS_NEAR_ACTION_RECIPE	EXACT_PARTIAL_RECIPE_EXTENSION	CROSS_REGISTER_NORMALIZED_DELTA	P+Y	EINSETZEN · POSTEN	2	OR	EINHEIT	POSITIONSEINHEIT	NONE	NONE	NONE	NONE	ADD_UNIT_ARGUMENT	Der Zielsatz ergänzt die owner-lokale Einheit als zweites Argument.	NONE	ACTION_ARGUMENT	Setze den Stationsposten ein.	Setze die Positionseinheit und den Positionsposten ein.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D41	G502-F41	G498-M495	CH+P	PHARMA	CH+P+OL	PHARMA	SAME_REGISTER	ORDERED_PAIR_TARGET_REGISTER	ORDERED_PAIR_CARRIER_ALIGNMENT	PAIR_BACKBONE_FRAME_EDIT	CH+P	NEHMEN · EINSETZEN	NONE	NONE	NONE	NONE	3	OL	FORTSETZEN	ANSATZ FORTSETZEN	PAIR_DROP_CONTINUATION	Das alte Handlungspaar bleibt; nur die fremde Fortsetzungsangabe fällt weg.	Y	MULTI_ACTION	Weiter nimm den Drogenposten [wie zuvor] und setze den Drogenposten [wie zuvor] ein.	Nimm das zuvor Genannte und setze es ein.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D42	G502-F42	G498-M491	CH+P	SOURCE_SECTION_T	CH+P+AR	SOURCE_SECTION_T	SAME_REGISTER	ORDERED_PAIR_TARGET_REGISTER	ORDERED_PAIR_CARRIER_ALIGNMENT	PAIR_BACKBONE_FRAME_EDIT	CH+P	NEHMEN · EINSETZEN	NONE	NONE	NONE	NONE	3	AR	AUSGANG	AUSGANGSZEILE	PAIR_DROP_ORIGIN	Das alte Handlungspaar bleibt; nur die fremde Ausgangsangabe fällt weg.	AIIN	MULTI_ACTION	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	Entnimm das zuvor Genannte und setze es ein.	1	1	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D43	G502-F43	G498-M460	CH+CH	PHARMA	CH+OR+CH+Y	HERBAL	CROSS_REGISTER	ORDERED_PAIR_OTHER_REGISTER	ORDERED_PAIR_CARRIER_ALIGNMENT	PAIR_BACKBONE_FRAME_EDIT	CH+CH	NEHMEN · NEHMEN	NONE	NONE	NONE	NONE	2,4	OR+Y	EINHEIT · POSTEN	ARBEITSEINHEIT · PFLANZENPOSTEN	PAIR_CONTEXTUALIZE_REPEAT_ARGUMENTS	Das wiederholte Handlungspaar bleibt; fremde Einheit und Posten werden zum Vorbezug.	NONE	MULTI_ACTION	Nimm die Arbeitseinheit und den Pflanzenposten und nimm die Arbeitseinheit und den Pflanzenposten.	Nimm das zuvor Genannte zweimal.	2	2	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D44	G502-F44	G498-M456	CH+CH	SOURCE_SECTION_T	CH+OR+CH+Y	HERBAL	CROSS_REGISTER	ORDERED_PAIR_OTHER_REGISTER	ORDERED_PAIR_CARRIER_ALIGNMENT	PAIR_BACKBONE_FRAME_EDIT	CH+CH	NEHMEN · NEHMEN	NONE	NONE	NONE	NONE	2,4	OR+Y	EINHEIT · POSTEN	ARBEITSEINHEIT · PFLANZENPOSTEN	PAIR_CONTEXTUALIZE_REPEAT_ARGUMENTS	Das wiederholte Handlungspaar bleibt; fremde Einheit und Posten werden zum Vorbezug.	NONE	MULTI_ACTION	Nimm die Arbeitseinheit und den Pflanzenposten und nimm die Arbeitseinheit und den Pflanzenposten.	Entnimm das zuvor Genannte zweimal.	2	2	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D45	G502-F45	G498-M465	CH+SH	PHARMA	CH+OL+D_ADDR+SH+Y	HERBAL	CROSS_REGISTER	ORDERED_PAIR_OTHER_REGISTER	ORDERED_PAIR_CARRIER_ALIGNMENT	PAIR_BACKBONE_FRAME_EDIT	CH+SH	NEHMEN · HALTEN	NONE	NONE	NONE	NONE	2,3,5	OL+D_ADDR+Y	FORTSETZEN · HIER · POSTEN	PFLANZENBEHANDLUNG FORTSETZEN · HIER · PFLANZENPOSTEN	PAIR_CONTEXTUALIZE_AND_DROP_ADDRESS	Das Handlungspaar bleibt; Fortsetzung, Adresse und fremder Posten werden nicht übertragen.	NONE	MULTI_ACTION	Weiter nimm den Pflanzenposten und halte den Pflanzenposten; an der bezeichneten Stelle.	Nimm das zuvor Genannte und halte es.	3	3	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
G504-D46	G502-F46	G498-M461	CH+SH	SOURCE_SECTION_T	CH+OL+D_ADDR+SH+Y	HERBAL	CROSS_REGISTER	ORDERED_PAIR_OTHER_REGISTER	ORDERED_PAIR_CARRIER_ALIGNMENT	PAIR_BACKBONE_FRAME_EDIT	CH+SH	NEHMEN · HALTEN	NONE	NONE	NONE	NONE	2,3,5	OL+D_ADDR+Y	FORTSETZEN · HIER · POSTEN	PFLANZENBEHANDLUNG FORTSETZEN · HIER · PFLANZENPOSTEN	PAIR_CONTEXTUALIZE_AND_DROP_ADDRESS	Das Handlungspaar bleibt; Fortsetzung, Adresse und fremder Posten werden nicht übertragen.	NONE	MULTI_ACTION	Weiter nimm den Pflanzenposten und halte den Pflanzenposten; an der bezeichneten Stelle.	Entnimm das zuvor Genannte und halte es fest.	3	3	YES	YES	NO	COMPOSED_WORKING	NO	NO	NO	EDITORIAL_SEMANTIC_DELTA_ONLY__NO_TARGET_OBSERVATION_OR_SURFACE_PREDICTION
