component_recipe	register	event_count	owner_count	context_state_key_count	distinct_clause_count	context_required	naive_first_event_id	naive_first_clause_mismatch_count	safe_context_free_reading_de
CH+E+T+E+Y	CELESTIAL	1	1	1	1	NO	G407-E1188	0	Nimm den Posten; stelle den Posten ein auf Grad I und auf Grad I.
CH+E+T+Y+R+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2796	0	Nimm den Posten und den Posten; stelle den Posten und den Posten ein; markiere den Posten und den Posten auf Grad I.
CH+E+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2721	0	Nimm den Posten auf Grad I.
CH+E+Y	HERBAL	3	3	1	1	NO	G407-E0223	0	Nimm den Posten auf Grad I.
CH+E+Y	PHARMA	1	1	1	1	NO	G407-E3850	0	Nimm den Posten auf Grad I.
CH+EE+CH+K+O+DY	HERBAL	1	1	1	1	NO	G407-E0847	0	Nimm; nimm; gib auf Grad II als Ausführung; schließe den Schritt.
CH+EE+D_ADDR+Y	BIOLOGICAL	9	5	1	1	NO	G407-E2082	0	Nimm den Posten auf Grad II hier.
CH+EE+D_ADDR+Y	CELESTIAL	1	1	1	1	NO	G407-E1197	0	Nimm den Posten auf Grad II hier.
CH+EE+D_ADDR+Y	PHARMA	2	2	1	1	NO	G407-E3991	0	Nimm den Posten auf Grad II hier.
CH+EE+LOCAL_CHAR_B	BIOLOGICAL	1	1	1	1	NO	G407-E3538	0	Nimm auf Grad II mit der lokalen Variante.
CH+EE+LOCAL_CHAR_B	PHARMA	1	1	1	1	NO	G407-E3839	0	Nimm auf Grad II mit der lokalen Variante.
CH+EE+O+D_ADDR+AM_ADDR	HERBAL	1	1	1	1	NO	G407-E0681	0	Nimm auf Grad II als Ausführung hier und hier.
CH+EE+O+D_ADDR+Y	PHARMA	1	1	1	1	NO	G407-E4280	0	Nimm den Posten auf Grad II als Ausführung hier.
CH+EE+OR	CELESTIAL	1	1	1	1	NO	G407-E1307	0	Nimm die Einheit auf Grad II.
CH+EE+OR	PHARMA	1	1	1	1	NO	G407-E3821	0	Nimm die Einheit auf Grad II.
CH+EE+T+EE+Y	CELESTIAL	1	1	1	1	NO	G407-E1041	0	Nimm den Posten; stelle den Posten ein auf Grad II und auf Grad II.
CH+EE+T+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2594	0	Nimm den Posten; stelle den Posten ein auf Grad II.
CH+K	BIOLOGICAL	1	1	1	1	NO	G407-E1988	0	Nimm; gib.
CH+K+AIIN	CELESTIAL	2	1	1	1	NO	G407-E1245	0	Nimm den Wert; gib den Wert.
CH+K+AIIN	PHARMA	1	1	1	1	NO	G407-E4394	0	Nimm den Wert; gib den Wert.
CH+K+AIN	BIOLOGICAL	3	3	1	1	NO	G407-E1907	0	Nimm den Anteil; gib den Anteil.
CH+K+AIN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0130	0	Nimm den Anteil; gib den Anteil.
CH+K+AIR	BIOLOGICAL	1	1	1	1	NO	G407-E1986	0	Nimm; gib entlang der Bahn.
CH+K+AL	BIOLOGICAL	2	2	2	2	YES	G407-E1677	1	Nimm; gib am Zielort.
CH+K+AL	CELESTIAL	1	1	1	1	NO	G407-E1244	0	Nimm; gib am Zielort.
CH+K+AM_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E1522	0	Nimm; gib hier.
CH+K+AR	BIOLOGICAL	2	1	2	2	YES	G407-E1796	1	Nimm; gib vom Ausgang.
CH+K+AR	CELESTIAL	1	1	1	1	NO	G407-E1331	0	Nimm; gib vom Ausgang.
CH+K+AR	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0012	0	Nimm; gib vom Ausgang.
CH+K+CH+Y+K+OL+Y	CELESTIAL	1	1	1	1	NO	G407-E1058	0	Weiter: Nimm den Posten und den Posten; gib den Posten und den Posten; nimm den Posten und den Posten; gib den Posten und den Posten.
CH+K+E+D_ADDR+Y	BIOLOGICAL	2	2	1	1	NO	G407-E3245	0	Nimm den Posten; gib den Posten auf Grad I hier.
CH+K+E+OL	CELESTIAL	1	1	1	1	NO	G407-E1161	0	Weiter: Nimm; gib auf Grad I.
CH+K+E+OR	PHARMA	1	1	1	1	NO	G407-E3943	0	Nimm die Einheit; gib die Einheit auf Grad I.
CH+K+E+Y	BIOLOGICAL	5	3	1	1	NO	G407-E1462	0	Nimm den Posten; gib den Posten auf Grad I.
CH+K+E+Y	CELESTIAL	1	1	1	1	NO	G407-E1200	0	Nimm den Posten; gib den Posten auf Grad I.
CH+K+E+Y	HERBAL	2	1	1	1	NO	G407-E0732	0	Nimm den Posten; gib den Posten auf Grad I.
CH+K+E+Y	PHARMA	3	3	1	1	NO	G407-E3902	0	Nimm den Posten; gib den Posten auf Grad I.
CH+K+E+Y	SOURCE_SECTION_T	2	1	1	1	NO	G407-E0089	0	Nimm den Posten; gib den Posten auf Grad I.
CH+K+EE+AL	CELESTIAL	1	1	1	1	NO	G407-E1129	0	Nimm; gib am Zielort auf Grad II.
CH+K+EE+DY	BIOLOGICAL	2	2	2	2	YES	G407-E1438	1	Nimm; gib auf Grad II; schließe den Schritt.
CH+K+EE+K+AIIN	CELESTIAL	1	1	1	1	NO	G407-E1131	0	Nimm den Wert; gib den Wert; gib den Wert auf Grad II.
CH+K+EE+Y	BIOLOGICAL	5	5	1	1	NO	G407-E1690	0	Nimm den Posten; gib den Posten auf Grad II.
CH+K+EE+Y	HERBAL	1	1	1	1	NO	G407-E0780	0	Nimm den Posten; gib den Posten auf Grad II.
CH+K+O	HERBAL	1	1	1	1	NO	G407-E0503	0	Nimm; gib als Ausführung.
CH+K+O	PHARMA	1	1	1	1	NO	G407-E4284	0	Nimm; gib als Ausführung.
CH+K+O+DY	HERBAL	1	1	1	1	NO	G407-E0457	0	Nimm; gib als Ausführung; schließe den Schritt.
CH+K+O+D_ADDR+Y	CELESTIAL	1	1	1	1	NO	G407-E0967	0	Nimm den Posten; gib den Posten als Ausführung hier.
CH+K+O+Y	CELESTIAL	1	1	1	1	NO	G407-E1302	0	Nimm den Posten; gib den Posten als Ausführung.
CH+K+OL	CELESTIAL	1	1	1	1	NO	G407-E1415	0	Weiter: Nimm; gib.
CH+K+OL	HERBAL	2	1	2	2	YES	G407-E0572	1	Weiter: Nimm; gib.
CH+K+OL	PHARMA	2	2	2	2	YES	G407-E3967	1	Weiter: Nimm; gib.
CH+K+OR	BIOLOGICAL	1	1	1	1	NO	G407-E1875	0	Nimm die Einheit; gib die Einheit.
CH+K+OR	HERBAL	2	2	1	1	NO	G407-E0617	0	Nimm die Einheit; gib die Einheit.
CH+K+Y	BIOLOGICAL	20	10	1	1	NO	G407-E1491	0	Nimm den Posten; gib den Posten.
CH+K+Y	CELESTIAL	1	1	1	1	NO	G407-E1218	0	Nimm den Posten; gib den Posten.
CH+K+Y	HERBAL	5	5	1	1	NO	G407-E0248	0	Nimm den Posten; gib den Posten.
CH+K+Y	PHARMA	3	2	1	1	NO	G407-E3952	0	Nimm den Posten; gib den Posten.
CH+K+Y+D_ADDR+S	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0144	0	Nimm den Posten; gib den Posten; wähle den Posten hier.
CH+L	BIOLOGICAL	1	1	1	1	NO	G407-E2658	0	Nimm über die Verbindung.
CH+L+CH+P+SH+EE+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2697	0	Nimm den Posten; nimm den Posten; setze den Posten ein; halte den Posten über die Verbindung auf Grad II.
CH+LOCAL_CHAR_F+AIIN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0045	0	Nimm den Wert mit der lokalen Variante.
CH+LOCAL_CHAR_F+O+AIIN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0053	0	Nimm den Wert als Ausführung mit der lokalen Variante.
CH+LOCAL_CHAR_F+OL	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0067	0	Weiter: Nimm mit der lokalen Variante.
CH+LOCAL_CHAR_F+OL+DY	HERBAL	1	1	1	1	NO	G407-E0407	0	Weiter: Nimm mit der lokalen Variante; schließe den Schritt.
CH+LOCAL_CHAR_F+Y	HERBAL	2	2	1	1	NO	G407-E0294	0	Nimm den Posten mit der lokalen Variante.
CH+O+CH+LOCAL_CHAR_F+E+Y	HERBAL	1	1	1	1	NO	G407-E0606	0	Nimm den Posten; nimm den Posten auf Grad I als Ausführung mit der lokalen Variante.
CH+O+CH+LOCAL_CHAR_F+Y	BIOLOGICAL	1	1	1	1	NO	G407-E1834	0	Nimm den Posten; nimm den Posten als Ausführung mit der lokalen Variante.
CH+O+CH+LOCAL_CHAR_F+Y	CELESTIAL	1	1	1	1	NO	G407-E0923	0	Nimm den Posten; nimm den Posten als Ausführung mit der lokalen Variante.
CH+O+CH+T+AR	CELESTIAL	1	1	1	1	NO	G407-E1308	0	Nimm; nimm; stelle vom Ausgang ein als Ausführung.
CH+O+CH+T+E+Y	PHARMA	1	1	1	1	NO	G407-E4007	0	Nimm den Posten; nimm den Posten; stelle den Posten ein auf Grad I als Ausführung.
CH+O+CH+T+EEE+Y	CELESTIAL	1	1	1	1	NO	G407-E1035	0	Nimm den Posten; nimm den Posten; stelle den Posten ein auf Grad III als Ausführung.
CH+O+CH+T+Y	HERBAL	1	1	1	1	NO	G407-E0237	0	Nimm den Posten; nimm den Posten; stelle den Posten ein als Ausführung.
CH+O+CH+T+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0059	0	Nimm den Posten; nimm den Posten; stelle den Posten ein als Ausführung.
CH+O+D_ADDR	CELESTIAL	1	1	1	1	NO	G407-E1045	0	Nimm als Ausführung hier.
CH+O+D_ADDR+AIIN	BIOLOGICAL	1	1	1	1	NO	G407-E2092	0	Nimm den Wert als Ausführung hier.
CH+O+D_ADDR+AIIN	HERBAL	1	1	1	1	NO	G407-E0291	0	Nimm den Wert als Ausführung hier.
CH+O+D_ADDR+AIIN	PHARMA	2	2	1	1	NO	G407-E4078	0	Nimm den Wert als Ausführung hier.
CH+O+D_ADDR+AIIN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0125	0	Nimm den Wert als Ausführung hier.
CH+O+D_ADDR+AIN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0101	0	Nimm den Anteil als Ausführung hier.
CH+O+D_ADDR+L	HERBAL	1	1	1	1	NO	G407-E0348	0	Nimm über die Verbindung als Ausführung hier.
CH+O+D_ADDR+Y	HERBAL	4	3	1	1	NO	G407-E0358	0	Nimm den Posten als Ausführung hier.
CH+O+D_ADDR+Y	PHARMA	4	4	1	1	NO	G407-E3912	0	Nimm den Posten als Ausführung hier.
CH+O+E+R	CELESTIAL	1	1	1	1	NO	G407-E0987	0	Nimm; markiere auf Grad I als Ausführung.
CH+O+EE+A_ADDR	CELESTIAL	1	1	1	1	NO	G407-E0989	0	Nimm auf Grad II als Ausführung hier.
CH+O+P	HERBAL	1	1	1	1	NO	G407-E0449	0	Nimm; setze ein als Ausführung.
CH+O+P+CH+AL	HERBAL	1	1	1	1	NO	G407-E0220	0	Nimm; setze ein; nimm am Zielort als Ausführung.
CH+O+P+CHD+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3253	0	Nimm den Posten; setze den Posten ein; bearbeite den Posten als Ausführung.
CH+O+S	CELESTIAL	2	1	1	1	NO	G407-E0969	0	Nimm; wähle als Ausführung.
CH+O+S	HERBAL	1	1	1	1	NO	G407-E0866	0	Nimm; wähle als Ausführung.
CH+O+S	PHARMA	2	1	1	1	NO	G407-E4202	0	Nimm; wähle als Ausführung.
CH+O+S+AL+S	PHARMA	1	1	1	1	NO	G407-E3867	0	Nimm; wähle; wähle am Zielort als Ausführung.
CH+OL+D_ADDR+SH+Y	HERBAL	1	1	1	1	NO	G407-E0494	0	Weiter: Nimm den Posten; halte den Posten hier.
CH+OR	HERBAL	14	6	1	1	NO	G407-E0260	0	Nimm die Einheit.
CH+OR	PHARMA	7	5	1	1	NO	G407-E3864	0	Nimm die Einheit.
CH+OR	SOURCE_SECTION_T	2	2	1	1	NO	G407-E0063	0	Nimm die Einheit.
CH+OR+CH+Y	HERBAL	2	2	1	1	NO	G407-E0218	0	Nimm die Einheit und den Posten; nimm die Einheit und den Posten.
CH+OR+OL+S+AL	PHARMA	1	1	1	1	NO	G407-E3881	0	Weiter: Nimm die Einheit; wähle die Einheit am Zielort.
CH+OR+SH+E+DY	BIOLOGICAL	1	1	1	1	NO	G407-E1963	0	Nimm die Einheit; halte die Einheit auf Grad I; schließe den Schritt.
CH+OT+AM_ADDR	CELESTIAL	1	1	1	1	NO	G407-E1168	0	Danach: Nimm hier.
CH+OT+AM_ADDR	PHARMA	1	1	1	1	NO	G407-E4000	0	Danach: Nimm hier.
CH+OT+CH+E+Y	HERBAL	1	1	1	1	NO	G407-E0851	0	Danach: Nimm den Posten; nimm den Posten auf Grad I.
CH+OT+E+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0213	0	Danach: Nimm den Posten auf Grad I.
CH+OT+EE+Y	CELESTIAL	2	2	1	1	NO	G407-E1030	0	Danach: Nimm den Posten auf Grad II.
CH+OT+O+M_LOCAL	HERBAL	1	1	1	1	NO	G407-E0520	0	Danach: Nimm als Ausführung hier.
CH+OT+OL	HERBAL	1	1	1	1	NO	G407-E0877	0	Danach und Weiter: Nimm.
CH+OT+Y	CELESTIAL	1	1	1	1	NO	G407-E1405	0	Danach: Nimm den Posten.
CH+OT+Y	HERBAL	2	2	1	1	NO	G407-E0329	0	Danach: Nimm den Posten.
CH+OT+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0212	0	Danach: Nimm den Posten.
CH+P+AL	BIOLOGICAL	1	1	1	1	NO	G407-E3331	0	Nimm; setze am Zielort ein.
CH+P+AL+DY	HERBAL	1	1	1	1	NO	G407-E0483	0	Nimm; setze am Zielort ein; schließe den Schritt.
CH+P+AR	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0044	0	Nimm; setze vom Ausgang ein.
CH+P+CH+Y	CELESTIAL	1	1	1	1	NO	G407-E1082	0	Nimm den Posten; setze den Posten ein; nimm den Posten.
CH+P+E+AL+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0140	0	Nimm den Posten; setze den Posten am Zielort ein auf Grad I.
CH+P+E+DY	BIOLOGICAL	1	1	1	1	NO	G407-E3002	0	Nimm; setze ein auf Grad I; schließe den Schritt.
CH+P+E+O+DY	PHARMA	1	1	1	1	NO	G407-E4017	0	Nimm; setze ein auf Grad I als Ausführung; schließe den Schritt.
CH+P+E+S+AIIN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0073	0	Nimm den Wert; setze den Wert ein; wähle den Wert auf Grad I.
CH+P+E+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2531	0	Nimm den Posten; setze den Posten ein auf Grad I.
CH+P+E+Y	PHARMA	1	1	1	1	NO	G407-E4111	0	Nimm den Posten; setze den Posten ein auf Grad I.
CH+P+E+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0075	0	Nimm den Posten; setze den Posten ein auf Grad I.
CH+P+EEE+D_ADDR+OL	PHARMA	1	1	1	1	NO	G407-E4197	0	Weiter: Nimm; setze ein auf Grad III hier.
CH+P+O	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0160	0	Nimm; setze ein als Ausführung.
CH+P+O+D_ADDR+AIIN+L+S	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0092	0	Nimm den Wert; setze den Wert ein; wähle den Wert über die Verbindung als Ausführung hier.
CH+P+O+D_ADDR+AL	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0078	0	Nimm; setze am Zielort ein als Ausführung hier.
CH+P+O+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0049	0	Nimm den Posten; setze den Posten ein als Ausführung.
CH+P+OL	CELESTIAL	1	1	1	1	NO	G407-E1031	0	Weiter: Nimm; setze ein.
CH+P+OL	PHARMA	1	1	1	1	NO	G407-E3844	0	Weiter: Nimm; setze ein.
CH+P+OR	CELESTIAL	1	1	1	1	NO	G407-E1043	0	Nimm die Einheit; setze die Einheit ein.
CH+P+OR	HERBAL	1	1	1	1	NO	G407-E0482	0	Nimm die Einheit; setze die Einheit ein.
CH+P+SH+EE+DY	BIOLOGICAL	1	1	1	1	NO	G407-E2209	0	Nimm; setze ein; halte auf Grad II; schließe den Schritt.
CH+P+Y	HERBAL	1	1	1	1	NO	G407-E0311	0	Nimm den Posten; setze den Posten ein.
CH+P+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0091	0	Nimm den Posten; setze den Posten ein.
CH+R	BIOLOGICAL	1	1	1	1	NO	G407-E2689	0	Nimm; markiere.
CH+S	CELESTIAL	1	1	1	1	NO	G407-E1291	0	Nimm; wähle.
CH+S+DY	BIOLOGICAL	1	1	1	1	NO	G407-E1716	0	Nimm; wähle; schließe den Schritt.
CH+T	HERBAL	1	1	1	1	NO	G407-E0273	0	Nimm; stelle ein.
CH+T+AIIN	HERBAL	2	2	1	1	NO	G407-E0261	0	Nimm den Wert; stelle den Wert ein.
CH+T+AIIN	SOURCE_SECTION_T	2	1	1	1	NO	G407-E0016	0	Nimm den Wert; stelle den Wert ein.
CH+T+AL	BIOLOGICAL	2	1	1	1	NO	G407-E3543	0	Nimm; stelle am Zielort ein.
CH+T+AL	HERBAL	3	2	2	2	YES	G407-E0578	2	Nimm; stelle am Zielort ein.
CH+T+AL	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0173	0	Nimm; stelle am Zielort ein.
CH+T+AR	BIOLOGICAL	1	1	1	1	NO	G407-E1847	0	Nimm; stelle vom Ausgang ein.
CH+T+AR	HERBAL	2	2	2	2	YES	G407-E0514	1	Nimm; stelle vom Ausgang ein.
CH+T+AR	SOURCE_SECTION_T	3	2	2	2	YES	G407-E0019	1	Nimm; stelle vom Ausgang ein.
CH+T+CH+OR	HERBAL	1	1	1	1	NO	G407-E0251	0	Nimm die Einheit; stelle die Einheit ein; nimm die Einheit.
CH+T+D_ADDR+Y+S	BIOLOGICAL	1	1	1	1	NO	G407-E2882	0	Nimm den Posten; stelle den Posten ein; wähle den Posten hier.
CH+T+E+O+D_ADDR	HERBAL	1	1	1	1	NO	G407-E0659	0	Nimm; stelle ein auf Grad I als Ausführung hier.
CH+T+E+O+S	CELESTIAL	1	1	1	1	NO	G407-E1372	0	Nimm; stelle ein; wähle auf Grad I als Ausführung.
CH+T+E+O+Y	PHARMA	1	1	1	1	NO	G407-E4087	0	Nimm den Posten; stelle den Posten ein auf Grad I als Ausführung.
CH+T+E+OL	PHARMA	1	1	1	1	NO	G407-E3797	0	Weiter: Nimm; stelle ein auf Grad I.
CH+T+E+S	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0028	0	Nimm; stelle ein; wähle auf Grad I.
CH+T+E+Y	BIOLOGICAL	2	2	1	1	NO	G407-E1938	0	Nimm den Posten; stelle den Posten ein auf Grad I.
CH+T+E+Y	CELESTIAL	1	1	1	1	NO	G407-E1138	0	Nimm den Posten; stelle den Posten ein auf Grad I.
CH+T+E+Y	HERBAL	1	1	1	1	NO	G407-E0485	0	Nimm den Posten; stelle den Posten ein auf Grad I.
CH+T+E+Y	PHARMA	1	1	1	1	NO	G407-E4366	0	Nimm den Posten; stelle den Posten ein auf Grad I.
CH+T+E+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0093	0	Nimm den Posten; stelle den Posten ein auf Grad I.
CH+T+EE+Y	CELESTIAL	1	1	1	1	NO	G407-E1029	0	Nimm den Posten; stelle den Posten ein auf Grad II.
CH+T+LOCAL_CHAR_I+AR	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0035	0	Nimm; stelle vom Ausgang ein mit der lokalen Variante.
CH+T+O	HERBAL	2	2	1	1	NO	G407-E0247	0	Nimm; stelle ein als Ausführung.
CH+T+O+AR+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0027	0	Nimm den Posten; stelle den Posten vom Ausgang ein als Ausführung.
CH+T+O+OR	HERBAL	1	1	1	1	NO	G407-E0224	0	Nimm die Einheit; stelle die Einheit ein als Ausführung.
CH+T+O+S	CELESTIAL	1	1	1	1	NO	G407-E1110	0	Nimm; stelle ein; wähle als Ausführung.
CH+T+OL	BIOLOGICAL	1	1	1	1	NO	G407-E3211	0	Weiter: Nimm; stelle ein.
CH+T+OL	HERBAL	3	2	2	2	YES	G407-E0554	1	Weiter: Nimm; stelle ein.
CH+T+OL	PHARMA	1	1	1	1	NO	G407-E3885	0	Weiter: Nimm; stelle ein.
CH+T+OL	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0187	0	Weiter: Nimm; stelle ein.
CH+T+OL+D_ADDR+AR	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0189	0	Weiter: Nimm; stelle vom Ausgang ein hier.
CH+T+OL+S	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0151	0	Weiter: Nimm; stelle ein; wähle.
CH+T+OR	HERBAL	2	2	1	1	NO	G407-E0295	0	Nimm die Einheit; stelle die Einheit ein.
CH+T+OR	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0208	0	Nimm die Einheit; stelle die Einheit ein.
CH+T+R+E+S	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0007	0	Nimm; stelle ein; markiere; wähle auf Grad I.
CH+T+Y	BIOLOGICAL	5	4	1	1	NO	G407-E1635	0	Nimm den Posten; stelle den Posten ein.
CH+T+Y	HERBAL	11	5	1	1	NO	G407-E0226	0	Nimm den Posten; stelle den Posten ein.
CH+T+Y	SOURCE_SECTION_T	3	2	1	1	NO	G407-E0105	0	Nimm den Posten; stelle den Posten ein.
CH+T+Y+D_ADDR	HERBAL	1	1	1	1	NO	G407-E0301	0	Nimm den Posten; stelle den Posten ein hier.
CH+Y+K+E+Y	HERBAL	1	1	1	1	NO	G407-E0811	0	Nimm den Posten und den Posten; gib den Posten und den Posten auf Grad I.
CH+Y+P+CH+AM_ADDR	HERBAL	1	1	1	1	NO	G407-E0506	0	Nimm den Posten; setze den Posten ein; nimm den Posten hier.
CHD	BIOLOGICAL	2	2	2	2	YES	G407-E2428	1	Bearbeite.
CHD+AIIN	BIOLOGICAL	5	2	1	1	NO	G407-E2424	0	Bearbeite den Wert.
CHD+AIIN	CELESTIAL	2	2	1	1	NO	G407-E0961	0	Bearbeite den Wert.
CHD+AIIN	HERBAL	1	1	1	1	NO	G407-E4549	0	Bearbeite den Wert.
CHD+AIN	BIOLOGICAL	2	2	1	1	NO	G407-E1894	0	Bearbeite den Anteil.
CHD+AIN	HERBAL	1	1	1	1	NO	G407-E4548	0	Bearbeite den Anteil.
CHD+AIN	PHARMA	1	1	1	1	NO	G407-E4207	0	Bearbeite den Anteil.
CHD+AIR	BIOLOGICAL	1	1	1	1	NO	G407-E3650	0	Bearbeite entlang der Bahn.
CHD+AL	BIOLOGICAL	1	1	1	1	NO	G407-E3775	0	Bearbeite am Zielort.
CHD+AL	CELESTIAL	1	1	1	1	NO	G407-E1144	0	Bearbeite am Zielort.
CHD+AM_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E1882	0	Bearbeite hier.
CHD+AM_ADDR	HERBAL	1	1	1	1	NO	G407-E4513	0	Bearbeite hier.
CHD+AR	BIOLOGICAL	3	2	3	3	YES	G407-E2852	2	Bearbeite vom Ausgang.
CHD+DY	BIOLOGICAL	3	2	1	1	NO	G407-E2993	0	Bearbeite; schließe den Schritt.
CHD+DY	HERBAL	1	1	1	1	NO	G407-E4506	0	Bearbeite; schließe den Schritt.
CHD+OL	BIOLOGICAL	2	2	1	1	NO	G407-E2372	0	Weiter: Bearbeite.
CHD+OR	BIOLOGICAL	1	1	1	1	NO	G407-E2359	0	Bearbeite die Einheit.
CHD+Y	BIOLOGICAL	96	19	1	1	NO	G407-E1429	0	Bearbeite den Posten.
CHD+Y	CELESTIAL	2	1	1	1	NO	G407-E1408	0	Bearbeite den Posten.
CHD+Y	HERBAL	7	3	1	1	NO	G407-E0707	0	Bearbeite den Posten.
CHD+Y	PHARMA	1	1	1	1	NO	G407-E4075	0	Bearbeite den Posten.
CHD+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0102	0	Bearbeite den Posten.
CHD+Y+K+AIN	HERBAL	1	1	1	1	NO	G407-E4456	0	Bearbeite den Posten und den Anteil; gib den Posten und den Anteil.
CHD+Y+K+AR	BIOLOGICAL	1	1	1	1	NO	G407-E1437	0	Bearbeite den Posten; gib den Posten vom Ausgang.
CHD+Y+L	BIOLOGICAL	1	1	1	1	NO	G407-E2365	0	Bearbeite den Posten über die Verbindung.
CHD+Y+OK+AM_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E1630	0	Bearbeite den Posten; setze den Posten hier.
CHD+Y+T+Y	HERBAL	1	1	1	1	NO	G407-E4412	0	Bearbeite den Posten und den Posten; stelle den Posten und den Posten ein.
DA+AM_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E3303	0	Auf der zweiten Stufe hier.
DA+AM_ADDR	PHARMA	4	4	4	4	YES	G407-E4019	3	Auf der zweiten Stufe hier.
DA+CH+K+Y	BIOLOGICAL	1	1	1	1	NO	G407-E1449	0	Nimm den Posten; gib den Posten auf der zweiten Stufe.
DA+D_ADDR+AIIN	CELESTIAL	1	1	1	1	NO	G407-E0991	0	Wert auf der zweiten Stufe hier.
DA+IIN	BIOLOGICAL	2	2	2	2	YES	G407-E2643	1	Auf der zweiten Stufe und auf der bezeichneten Stufe.
DA+IIN	HERBAL	1	1	1	1	NO	G407-E0517	0	Auf der zweiten Stufe und auf der bezeichneten Stufe.
DA+IIN	PHARMA	1	1	1	1	NO	G407-E4343	0	Auf der zweiten Stufe und auf der bezeichneten Stufe.
DA+IIN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0159	0	Auf der zweiten Stufe und auf der bezeichneten Stufe.
DA+IIN+DY	BIOLOGICAL	1	1	1	1	NO	G407-E3011	0	Auf der zweiten Stufe und auf der bezeichneten Stufe; schließe den Schritt.
DA+IIN+M_LOCAL+D_ADDR	PHARMA	1	1	1	1	NO	G407-E4040	0	Auf der zweiten Stufe und auf der bezeichneten Stufe hier und hier.
DA+LOCAL_CHAR_G	BIOLOGICAL	1	1	1	1	NO	G407-E2700	0	Auf der zweiten Stufe mit der lokalen Variante.
DA+R+A_ADDR+AM_ADDR	CELESTIAL	1	1	1	1	NO	G407-E1053	0	Markiere auf der zweiten Stufe hier und hier.
DA+R+A_ADDR+AM_ADDR	HERBAL	1	1	1	1	NO	G407-E0444	0	Markiere auf der zweiten Stufe hier und hier.
DA+R+Y	BIOLOGICAL	2	1	1	1	NO	G407-E2586	0	Markiere den Posten auf der zweiten Stufe.
DA+R+Y	CELESTIAL	1	1	1	1	NO	G407-E1057	0	Markiere den Posten auf der zweiten Stufe.
DA+R+Y	HERBAL	2	2	1	1	NO	G407-E0576	0	Markiere den Posten auf der zweiten Stufe.
DA+S	HERBAL	1	1	1	1	NO	G407-E0505	0	Wähle auf der zweiten Stufe.
D_ADDR	BIOLOGICAL	2	2	2	2	YES	G407-E2669	1	Hier.
D_ADDR	CELESTIAL	1	1	1	1	NO	G407-E1248	0	Hier.
D_ADDR	HERBAL	6	4	5	5	YES	G407-E0346	5	Hier.
D_ADDR	SOURCE_SECTION_T	2	1	2	2	YES	G407-E0096	1	Hier.
D_ADDR+AIIN+Y	HERBAL	1	1	1	1	NO	G407-E0733	0	Wert des Postens hier.
D_ADDR+AIIN+Y	PHARMA	1	1	1	1	NO	G407-E4221	0	Wert des Postens hier.
D_ADDR+AIN+AL+DY	PHARMA	1	1	1	1	NO	G407-E4140	0	Anteil am Zielort hier; schließe den Schritt.
D_ADDR+AIR	HERBAL	4	4	3	3	YES	G407-E0275	3	Entlang der Bahn hier.
