unified_index	register	page	unit_or_locus	visible_owner	source_id	desired_value_de	writing_layer	recipe_or_key	writer_action	resulting_visible_surface	result_status
236	PROSE	f83r	B3-S004	obere offene Fächer-Randstation	E236	bemessen	PURE_COMPOSITION	OK+AIIN	Build OK+AIIN; WRITE_REGISTERED_CANONICAL_CARD	qokaiin	GENERATED_OR_COPIED_EXACTLY
237	PROSE	f83r	B3-S004	obere offene Fächer-Randstation	E237	danach dorthin	PURE_COMPOSITION	OT+AL	Build OT+AL; WRITE_REGISTERED_CANONICAL_CARD	qotal	GENERATED_OR_COPIED_EXACTLY
238	PROSE	f83r	B3-S004	obere offene Fächer-Randstation	E238	davon	PURE_COMPOSITION	AR[SUBTYPE=SOURCE_ORIGIN]	Build AR[SUBTYPE=SOURCE_ORIGIN]; WRITE_REGISTERED_CANONICAL_CARD	dar	GENERATED_OR_COPIED_EXACTLY
239	PROSE	f83r	B3-S005	mittlere runde Gefäß-Randstation	E239	überführen; Schluss	PURE_COMPOSITION	CHED_TRANSFER[LICENSED_CLOSE=YES]	Build CHED_TRANSFER[LICENSED_CLOSE=YES]; WRITE_REGISTERED_CANONICAL_CARD	schedy	GENERATED_OR_COPIED_EXACTLY
240	PROSE	f83r	B3-S006	mittlere runde Gefäß-Randstation	E240	Postentransfer	PURE_COMPOSITION	Y+CHED_TRANSFER[SUBTYPE=EXPANDED_TRANSFER_FORM]	Build Y+CHED_TRANSFER[SUBTYPE=EXPANDED_TRANSFER_FORM]; WRITE_REGISTERED_CANONICAL_CARD	chedchy	GENERATED_OR_COPIED_EXACTLY
241	PROSE	f83r	B3-S006	mittlere runde Gefäß-Randstation	E241	dorthin einsetzen	PURE_COMPOSITION	OK+AL	Build OK+AL; WRITE_REGISTERED_CANONICAL_CARD	qokal	GENERATED_OR_COPIED_EXACTLY
242	PROSE	f83r	B3-S006	mittlere runde Gefäß-Randstation	E242	weiterführen; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OL+DY+CHED_TRANSFER	Build OL+DY+CHED_TRANSFER; WRITE_REGISTERED_CANONICAL_CARD	olchedy	GENERATED_OR_COPIED_EXACTLY
243	PROSE	f83r	B3-S007	mittlere runde Gefäß-Randstation	E243	bemessen	PURE_COMPOSITION	OK+AIIN	Build OK+AIIN; WRITE_REGISTERED_CANONICAL_CARD	qokaiin	GENERATED_OR_COPIED_EXACTLY
244	PROSE	f83r	B3-S007	mittlere runde Gefäß-Randstation	E244	überführen	PURE_COMPOSITION	Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]	Build Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]; WRITE_REGISTERED_CANONICAL_CARD	chedy	GENERATED_OR_COPIED_EXACTLY
245	PROSE	f83r	B3-S007	mittlere runde Gefäß-Randstation	E245	lange einwirken; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OK+E_GRADE+DY[GRADE=EE_LONG]	Build OK+E_GRADE+DY[GRADE=EE_LONG]; WRITE_REGISTERED_CANONICAL_CARD	qokeedy	GENERATED_OR_COPIED_EXACTLY
246	PROSE	f83r	B3-S008	mittlere runde Gefäß-Randstation	E246	abführen; Schluss	PURE_COMPOSITION	L+CHED_TRANSFER[LICENSED_CLOSE=YES]	Build L+CHED_TRANSFER[LICENSED_CLOSE=YES]; WRITE_REGISTERED_CANONICAL_CARD	lchedy	GENERATED_OR_COPIED_EXACTLY
247	PROSE	f83r	B3-S009	mittlere runde Gefäß-Randstation	E247	einsetzen	PURE_COMPOSITION	OK+Y[SUBTYPE=SET_CURRENT_ITEM]	Build OK+Y[SUBTYPE=SET_CURRENT_ITEM]; WRITE_REGISTERED_CANONICAL_CARD	qoky	GENERATED_OR_COPIED_EXACTLY
248	PROSE	f83r	B3-S010	untere korbartige Gefäß-Randstation	E248	Zielzuführung	PURE_COMPOSITION	AL+P+CHED_TRANSFER	Build AL+P+CHED_TRANSFER; WRITE_REGISTERED_CANONICAL_CARD	pchedal	GENERATED_OR_COPIED_EXACTLY
249	PROSE	f83r	B3-S010	untere korbartige Gefäß-Randstation	E249	Kurzfolge; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OT+E_GRADE+DY[GRADE=E_SHORT]	Build OT+E_GRADE+DY[GRADE=E_SHORT]; WRITE_REGISTERED_CANONICAL_CARD	otedy	GENERATED_OR_COPIED_EXACTLY
250	PROSE	f83r	B3-S011	untere korbartige Gefäß-Randstation	E250	Vorbereitungstransfer	PURE_COMPOSITION	Y+CHED_TRANSFER+CTH	Build Y+CHED_TRANSFER+CTH; WRITE_REGISTERED_CANONICAL_CARD	shecthedchy	GENERATED_OR_COPIED_EXACTLY
251	PROSE	f83r	B3-S011	untere korbartige Gefäß-Randstation	E251	einsetzen	PURE_COMPOSITION	OK+Y[SUBTYPE=SET_CURRENT_ITEM]	Build OK+Y[SUBTYPE=SET_CURRENT_ITEM]; WRITE_REGISTERED_CANONICAL_CARD	qoky	GENERATED_OR_COPIED_EXACTLY
252	PROSE	f83r	B3-S011	untere korbartige Gefäß-Randstation	E252	überführen	PURE_COMPOSITION	Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]	Build Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]; WRITE_REGISTERED_CANONICAL_CARD	chedy	GENERATED_OR_COPIED_EXACTLY
253	PROSE	f83r	B3-S011	untere korbartige Gefäß-Randstation	E253	Quellposten	PURE_COMPOSITION	AR+Y	Build AR+Y; WRITE_REGISTERED_CANONICAL_CARD	chary	GENERATED_OR_COPIED_EXACTLY
254	PROSE	f83r	B3-S012	untere korbartige Gefäß-Randstation	E254	Ansatz	PURE_COMPOSITION	OR	Build OR; WRITE_REGISTERED_CANONICAL_CARD	sor	GENERATED_OR_COPIED_EXACTLY
255	PROSE	f83r	B3-S012	untere korbartige Gefäß-Randstation	E255	kurz absetzen; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	E_GRADE+DY+SHED[GRADE=E_SHORT]	Build E_GRADE+DY+SHED[GRADE=E_SHORT]; WRITE_REGISTERED_CANONICAL_CARD	shedy	GENERATED_OR_COPIED_EXACTLY
256	PROSE	f83r	B3-S013	untere korbartige Gefäß-Randstation	E256	bemessen	PURE_COMPOSITION	OK+AIIN	Build OK+AIIN; WRITE_REGISTERED_CANONICAL_CARD	qokaiin	GENERATED_OR_COPIED_EXACTLY
257	PROSE	f83r	B3-S013	untere korbartige Gefäß-Randstation	E257	Portion	PURE_COMPOSITION	AIN[SUBTYPE=GENERAL_PORTION]	Build AIN[SUBTYPE=GENERAL_PORTION]; WRITE_REGISTERED_CANONICAL_CARD	chkain	GENERATED_OR_COPIED_EXACTLY
258	PROSE	f83r	B3-S013	untere korbartige Gefäß-Randstation	E258	kurz vorbereiten	PURE_COMPOSITION	E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH][OWNER=VISIBLE_BOUNDED_STATION]	Build E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH][OWNER=VISIBLE_BOUNDED_STATION]; WRITE_SHORT_STATION_CARD	shcthey	GENERATED_OR_COPIED_EXACTLY
259	PROSE	f83r	B3-S013	untere korbartige Gefäß-Randstation	E259	kurz einwirken; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OK+E_GRADE+DY[GRADE=E_SHORT]	Build OK+E_GRADE+DY[GRADE=E_SHORT]; WRITE_REGISTERED_CANONICAL_CARD	qokedy	GENERATED_OR_COPIED_EXACTLY
260	PROSE	f83r	B3-S014	untere korbartige Gefäß-Randstation	E260	Laufeinsatz	PURE_COMPOSITION	OK+AIR	Build OK+AIR; WRITE_REGISTERED_CANONICAL_CARD	okair	GENERATED_OR_COPIED_EXACTLY
261	PROSE	f83r	B3-S014	untere korbartige Gefäß-Randstation	E261	Langabsetzen; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	E_GRADE+DY+SHED[GRADE=EE_LONG]	Build E_GRADE+DY+SHED[GRADE=EE_LONG]; WRITE_REGISTERED_CANONICAL_CARD	sheedy	GENERATED_OR_COPIED_EXACTLY
262	PROSE	f83r	B3-S015	untere korbartige Gefäß-Randstation	E262	abführen; Schluss	PURE_COMPOSITION	L+CHED_TRANSFER[LICENSED_CLOSE=YES]	Build L+CHED_TRANSFER[LICENSED_CLOSE=YES]; WRITE_REGISTERED_CANONICAL_CARD	lchedy	GENERATED_OR_COPIED_EXACTLY
263	PROSE	f83r	B3-S016	untere korbartige Gefäß-Randstation	E263	Abzug	PURE_COMPOSITION	L+O_WITHDRAW	Build L+O_WITHDRAW; WRITE_REGISTERED_CANONICAL_CARD	lo	GENERATED_OR_COPIED_EXACTLY
264	PROSE	f83r	B3-S016	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E264	vorigen Posten überführen; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OK+DY+CHED_TRANSFER[SUBTYPE=PREVIOUS_ITEM_TRANSFER]	Build OK+DY+CHED_TRANSFER[SUBTYPE=PREVIOUS_ITEM_TRANSFER]; WRITE_REGISTERED_CANONICAL_CARD	qokchedy	GENERATED_OR_COPIED_EXACTLY
265	PROSE	f83r	B3-S017	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E265	lange einwirken; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OK+E_GRADE+DY[GRADE=EE_LONG]	Build OK+E_GRADE+DY[GRADE=EE_LONG]; WRITE_REGISTERED_CANONICAL_CARD	qokeedy	GENERATED_OR_COPIED_EXACTLY
266	PROSE	f83r	B3-S018	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E266	kurz absetzen; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	E_GRADE+DY+SHED[GRADE=E_SHORT]	Build E_GRADE+DY+SHED[GRADE=E_SHORT]; WRITE_REGISTERED_CANONICAL_CARD	shedy	GENERATED_OR_COPIED_EXACTLY
267	PROSE	f83r	B3-S019	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E267	Einsatzabsetzen; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OK+DY+SHED	Build OK+DY+SHED; WRITE_REGISTERED_CANONICAL_CARD	qokshedy	GENERATED_OR_COPIED_EXACTLY
268	PROSE	f83r	B3-S020	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E268	dorthin	PURE_COMPOSITION	AL[SUBTYPE=TARGET_ADDRESS]	Build AL[SUBTYPE=TARGET_ADDRESS]; WRITE_REGISTERED_CANONICAL_CARD	dal	GENERATED_OR_COPIED_EXACTLY
269	PROSE	f83r	B3-S020	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E269	abführen; Schluss	PURE_COMPOSITION	L+CHED_TRANSFER[LICENSED_CLOSE=YES]	Build L+CHED_TRANSFER[LICENSED_CLOSE=YES]; WRITE_REGISTERED_CANONICAL_CARD	lchedy	GENERATED_OR_COPIED_EXACTLY
270	PROSE	f83r	B3-S021	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E270	bemessen	PURE_COMPOSITION	OK+AIIN	Build OK+AIIN; WRITE_REGISTERED_CANONICAL_CARD	qokaiin	GENERATED_OR_COPIED_EXACTLY
271	PROSE	f83r	B3-S021	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E271	bereit	PURE_COMPOSITION	Y+CTH	Build Y+CTH; WRITE_REGISTERED_CANONICAL_CARD	shcthy	GENERATED_OR_COPIED_EXACTLY
272	PROSE	f83r	B3-S021	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E272	dorthin	PURE_COMPOSITION	AL[SUBTYPE=TARGET_ADDRESS]	Build AL[SUBTYPE=TARGET_ADDRESS]; WRITE_REGISTERED_CANONICAL_CARD	dal	GENERATED_OR_COPIED_EXACTLY
273	PROSE	f83r	B3-S021	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E273	dies	PURE_COMPOSITION	Y	Build Y; WRITE_REGISTERED_CANONICAL_CARD	sy	GENERATED_OR_COPIED_EXACTLY
274	PROSE	f83r	B3-S021	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E274	Sollmaß	PURE_COMPOSITION	AIIN[SUBTYPE=GENERAL_MEASURE]	Build AIIN[SUBTYPE=GENERAL_MEASURE]; WRITE_REGISTERED_CANONICAL_CARD	saiin	GENERATED_OR_COPIED_EXACTLY
275	PROSE	f83r	B3-S021	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E275	am Ziel absetzen	PURE_COMPOSITION	AL+SHED	Build AL+SHED; WRITE_REGISTERED_CANONICAL_CARD	shedal	GENERATED_OR_COPIED_EXACTLY
276	PROSE	f83r	B3-S021	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E276	Kurzvorbereitung	PURE_COMPOSITION	E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH][OWNER=UNPICTURED_TRANSITION_ZONE]	Build E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH][OWNER=UNPICTURED_TRANSITION_ZONE]; WRITE_FULL_CARRIER_CARD	shecthy	GENERATED_OR_COPIED_EXACTLY
277	PROSE	f83r	B3-S021	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E277	dies	PURE_COMPOSITION	Y	Build Y; WRITE_REGISTERED_CANONICAL_CARD	chey	GENERATED_OR_COPIED_EXACTLY
278	PROSE	f83r	B3-S021	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E278	dorthin	PURE_COMPOSITION	AL[SUBTYPE=TARGET_ADDRESS]	Build AL[SUBTYPE=TARGET_ADDRESS]; WRITE_REGISTERED_CANONICAL_CARD	tal	GENERATED_OR_COPIED_EXACTLY
279	PROSE	f83r	B3-S021	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E279	bereit	PURE_COMPOSITION	Y+CTH	Build Y+CTH; WRITE_REGISTERED_CANONICAL_CARD	shcthy	GENERATED_OR_COPIED_EXACTLY
280	PROSE	f83r	B3-S021	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E280	Zieltransfer; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	AL+DY+CHED_TRANSFER	Build AL+DY+CHED_TRANSFER; WRITE_REGISTERED_CANONICAL_CARD	dalchdy	GENERATED_OR_COPIED_EXACTLY
281	PROSE	f83r	B3-S022	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E281	Folgetransfer; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH][DOCUMENT=MAIN_OPERATING_RECORD]	Build OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH][DOCUMENT=MAIN_OPERATING_RECORD]; WRITE_EXPANDED_CHED_FORM	qotchedy	GENERATED_OR_COPIED_EXACTLY
282	PROSE	f83r	B3-S023	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E282	abführen; Schluss	PURE_COMPOSITION	L+CHED_TRANSFER[LICENSED_CLOSE=YES]	Build L+CHED_TRANSFER[LICENSED_CLOSE=YES]; WRITE_REGISTERED_CANONICAL_CARD	lchedy	GENERATED_OR_COPIED_EXACTLY
283	PROSE	f83r	B3-S024	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E283	überführen; Schluss	PURE_COMPOSITION	CHED_TRANSFER[LICENSED_CLOSE=YES]	Build CHED_TRANSFER[LICENSED_CLOSE=YES]; WRITE_REGISTERED_CANONICAL_CARD	tchedy	GENERATED_OR_COPIED_EXACTLY
284	PROSE	f83r	B3-S025	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E284	neuen Posten einsetzen; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OK+DY+CHED_TRANSFER[SUBTYPE=NEW_ITEM_TRANSFER]	Build OK+DY+CHED_TRANSFER[SUBTYPE=NEW_ITEM_TRANSFER]; WRITE_REGISTERED_CANONICAL_CARD	qokchdy	GENERATED_OR_COPIED_EXACTLY
285	PROSE	f83r	B3-S026	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E285	Quelltransfer	PURE_COMPOSITION	AR+CHED_TRANSFER	Build AR+CHED_TRANSFER; WRITE_REGISTERED_CANONICAL_CARD	cheedar	GENERATED_OR_COPIED_EXACTLY
286	PROSE	f83r	B3-S026	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E286	Sollabsetzung	PURE_COMPOSITION	AIIN[SUBTYPE=SETTLING_MEASURE]	Build AIIN[SUBTYPE=SETTLING_MEASURE]; WRITE_REGISTERED_CANONICAL_CARD	chldaiin	GENERATED_OR_COPIED_EXACTLY
287	PROSE	f83r	B3-S026	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E287	überführen	PURE_COMPOSITION	Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]	Build Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]; WRITE_REGISTERED_CANONICAL_CARD	chedy	GENERATED_OR_COPIED_EXACTLY
288	PROSE	f83r	B3-S026	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E288	Anteil zugeben	PURE_COMPOSITION	OK+AIN	Build OK+AIN; WRITE_REGISTERED_CANONICAL_CARD	qokain	GENERATED_OR_COPIED_EXACTLY
289	PROSE	f83r	B3-S026	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E289	bereit	PURE_COMPOSITION	Y+CTH	Build Y+CTH; WRITE_REGISTERED_CANONICAL_CARD	checthy	GENERATED_OR_COPIED_EXACTLY
290	PROSE	f83r	B3-S026	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	E290	Zielbereitung	PURE_COMPOSITION	AL+OR	Build AL+OR; WRITE_REGISTERED_CANONICAL_CARD	chealror	GENERATED_OR_COPIED_EXACTLY
291	PROSE	f83r	B3-S026	Hauptpaar am sichtbaren ungerichteten Bogen	E291	lange sammeln; Schluss	PURE_COMPOSITION	E_GRADE+SOLK[LICENSED_CLOSE=YES]	Build E_GRADE+SOLK[LICENSED_CLOSE=YES]; WRITE_REGISTERED_CANONICAL_CARD	solkeedy	GENERATED_OR_COPIED_EXACTLY
292	PROSE	f83r	B3-S027	Hauptpaar am sichtbaren ungerichteten Bogen	E292	lange Folgestufe; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OT+E_GRADE+DY[GRADE=EE_LONG]	Build OT+E_GRADE+DY[GRADE=EE_LONG]; WRITE_REGISTERED_CANONICAL_CARD	qoteedy	GENERATED_OR_COPIED_EXACTLY
293	PROSE	f83r	B3-S028	Hauptpaar am sichtbaren ungerichteten Bogen	E293	länger einwirken lassen	PURE_COMPOSITION	OK+E_GRADE+Y[GRADE=EE_LONG]	Build OK+E_GRADE+Y[GRADE=EE_LONG]; WRITE_REGISTERED_CANONICAL_CARD	qokeey	GENERATED_OR_COPIED_EXACTLY
294	PROSE	f83r	B3-S028	Hauptpaar am sichtbaren ungerichteten Bogen	E294	kurz einwirken; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OK+E_GRADE+DY[GRADE=E_SHORT]	Build OK+E_GRADE+DY[GRADE=E_SHORT]; WRITE_REGISTERED_CANONICAL_CARD	qokedy	GENERATED_OR_COPIED_EXACTLY
295	PROSE	f83r	B3-S029	Hauptpaar am sichtbaren ungerichteten Bogen	E295	weiter	PURE_COMPOSITION	OL[SUBTYPE=PLAIN_CONTINUATION]	Build OL[SUBTYPE=PLAIN_CONTINUATION]; WRITE_REGISTERED_CANONICAL_CARD	sol	GENERATED_OR_COPIED_EXACTLY
296	PROSE	f83r	B3-S029	Hauptpaar am sichtbaren ungerichteten Bogen	E296	Vollteil	PURE_COMPOSITION	E_GRADE+TY	Build E_GRADE+TY; WRITE_REGISTERED_CANONICAL_CARD	cheeety	GENERATED_OR_COPIED_EXACTLY
297	PROSE	f83r	B3-S029	Hauptpaar am sichtbaren ungerichteten Bogen	E297	kurz einwirken; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OK+E_GRADE+DY[GRADE=E_SHORT]	Build OK+E_GRADE+DY[GRADE=E_SHORT]; WRITE_REGISTERED_CANONICAL_CARD	qokedy	GENERATED_OR_COPIED_EXACTLY
298	PROSE	f83r	B3-S030	Hauptpaar am sichtbaren ungerichteten Bogen	E298	einsetzen	PURE_COMPOSITION	OK+Y[SUBTYPE=SET_CURRENT_ITEM]	Build OK+Y[SUBTYPE=SET_CURRENT_ITEM]; WRITE_REGISTERED_CANONICAL_CARD	qoky	GENERATED_OR_COPIED_EXACTLY
299	PROSE	f83r	B3-S030	Hauptpaar am sichtbaren ungerichteten Bogen	E299	Sollmaß	PURE_COMPOSITION	AIIN[SUBTYPE=GENERAL_MEASURE]	Build AIIN[SUBTYPE=GENERAL_MEASURE]; WRITE_REGISTERED_CANONICAL_CARD	saiin	GENERATED_OR_COPIED_EXACTLY
300	PROSE	f83r	B3-S030	Hauptpaar am sichtbaren ungerichteten Bogen	E300	Weiterlauf	PURE_COMPOSITION	AIR	Build AIR; WRITE_REGISTERED_CANONICAL_CARD	schedair	GENERATED_OR_COPIED_EXACTLY
301	PROSE	f83r	B3-S030	Hauptpaar am sichtbaren ungerichteten Bogen	E301	Folgetransfer; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH][DOCUMENT=MAIN_OPERATING_RECORD]	Build OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH][DOCUMENT=MAIN_OPERATING_RECORD]; WRITE_EXPANDED_CHED_FORM	otchedy	GENERATED_OR_COPIED_EXACTLY
302	PROSE	f83r	B3-S031	Hauptpaar am sichtbaren ungerichteten Bogen	E302	lange einwirken; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OK+E_GRADE+DY[GRADE=EE_LONG]	Build OK+E_GRADE+DY[GRADE=EE_LONG]; WRITE_REGISTERED_CANONICAL_CARD	qokeedy	GENERATED_OR_COPIED_EXACTLY
303	PROSE	f83r	B3-S032	Hauptpaar am sichtbaren ungerichteten Bogen	E303	Anteilstransfer	PURE_COMPOSITION	AIN+CHED_TRANSFER	Build AIN+CHED_TRANSFER; WRITE_REGISTERED_CANONICAL_CARD	chedain	GENERATED_OR_COPIED_EXACTLY
304	PROSE	f83r	B3-S032	Hauptpaar am sichtbaren ungerichteten Bogen	E304	überführen	PURE_COMPOSITION	Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]	Build Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]; WRITE_REGISTERED_CANONICAL_CARD	chedy	GENERATED_OR_COPIED_EXACTLY
305	PROSE	f83r	B3-S032	Hauptpaar am sichtbaren ungerichteten Bogen	E305	Kurzsoll	PURE_COMPOSITION	OT+AIIN+E_GRADE[GRADE=E_SHORT]	Build OT+AIIN+E_GRADE[GRADE=E_SHORT]; WRITE_REGISTERED_CANONICAL_CARD	qotedaiin	GENERATED_OR_COPIED_EXACTLY
306	PROSE	f83r	B3-S032	Hauptpaar am sichtbaren ungerichteten Bogen	E306	Folgemaß	PURE_COMPOSITION	OT+AIIN	Build OT+AIIN; WRITE_REGISTERED_CANONICAL_CARD	otaiin	GENERATED_OR_COPIED_EXACTLY
307	PROSE	f83r	B3-S032	Hauptpaar am sichtbaren ungerichteten Bogen	E307	Kurzfolge; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OT+E_GRADE+DY[GRADE=E_SHORT]	Build OT+E_GRADE+DY[GRADE=E_SHORT]; WRITE_REGISTERED_CANONICAL_CARD	otedy	GENERATED_OR_COPIED_EXACTLY
308	PROSE	f83r	B3-S033	Hauptpaar am sichtbaren ungerichteten Bogen	E308	abziehen; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	L+DY	Build L+DY; WRITE_REGISTERED_CANONICAL_CARD	ldy	GENERATED_OR_COPIED_EXACTLY
309	PROSE	f83r	B3-S034	Hauptpaar am sichtbaren ungerichteten Bogen	E309	Arbeitsstufe	PURE_COMPOSITION	IIN[SUBTYPE=WORKING_STAGE]	Build IIN[SUBTYPE=WORKING_STAGE]; WRITE_REGISTERED_CANONICAL_CARD	soiiin	GENERATED_OR_COPIED_EXACTLY
310	PROSE	f83r	B3-S034	Hauptpaar am sichtbaren ungerichteten Bogen	E310	bereit	PURE_COMPOSITION	Y+CTH	Build Y+CTH; WRITE_REGISTERED_CANONICAL_CARD	checthy	GENERATED_OR_COPIED_EXACTLY
311	PROSE	f83r	B3-S034	Hauptpaar am sichtbaren ungerichteten Bogen	E311	Teil	PURE_COMPOSITION	TY	Build TY; WRITE_REGISTERED_CANONICAL_CARD	chety	GENERATED_OR_COPIED_EXACTLY
312	PROSE	f83r	B3-S034	Hauptpaar am sichtbaren ungerichteten Bogen	E312	Folgemaß	PURE_COMPOSITION	OT+AIIN	Build OT+AIIN; WRITE_REGISTERED_CANONICAL_CARD	otaiin	GENERATED_OR_COPIED_EXACTLY
313	PROSE	f83r	B3-S034	Hauptpaar am sichtbaren ungerichteten Bogen	E313	Zwischenziel	PURE_COMPOSITION	AL+Y[SUBTYPE=INTERMEDIATE_TARGET]	Build AL+Y[SUBTYPE=INTERMEDIATE_TARGET]; WRITE_REGISTERED_CANONICAL_CARD	olsaly	GENERATED_OR_COPIED_EXACTLY
314	PROSE	f83r	B3-S034	Hauptpaar am sichtbaren ungerichteten Bogen	E314	kurz absetzen; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	E_GRADE+DY+SHED[GRADE=E_SHORT]	Build E_GRADE+DY+SHED[GRADE=E_SHORT]; WRITE_REGISTERED_CANONICAL_CARD	shedy	GENERATED_OR_COPIED_EXACTLY
315	PROSE	f83r	B4-S001	Hauptpaar am sichtbaren ungerichteten Bogen	E315	lange einwirken; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OK+E_GRADE+DY[GRADE=EE_LONG]	Build OK+E_GRADE+DY[GRADE=EE_LONG]; WRITE_REGISTERED_CANONICAL_CARD	qokeedy	GENERATED_OR_COPIED_EXACTLY
316	PROSE	f83r	B4-S002	Hauptpaar am sichtbaren ungerichteten Bogen	E316	Weiterposten	PURE_COMPOSITION	OL+Y	Build OL+Y; WRITE_REGISTERED_CANONICAL_CARD	qolchey	GENERATED_OR_COPIED_EXACTLY
317	PROSE	f83r	B4-S002	Hauptpaar am sichtbaren ungerichteten Bogen	E317	länger einwirken lassen	PURE_COMPOSITION	OK+E_GRADE+Y[GRADE=EE_LONG]	Build OK+E_GRADE+Y[GRADE=EE_LONG]; WRITE_REGISTERED_CANONICAL_CARD	qokeey	GENERATED_OR_COPIED_EXACTLY
318	PROSE	f83r	B4-S002	Hauptpaar am sichtbaren ungerichteten Bogen	E318	kurz einwirken; Schluss; Arbeitsschritt festsetzen	PURE_COMPOSITION	OK+E_GRADE+DY[GRADE=E_SHORT]	Build OK+E_GRADE+DY[GRADE=E_SHORT]; WRITE_REGISTERED_CANONICAL_CARD	qokedy	GENERATED_OR_COPIED_EXACTLY
319	PROSE	f83r	B4-S003	Hauptpaar am sichtbaren ungerichteten Bogen	E319	überführen	PURE_COMPOSITION	Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]	Build Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]; WRITE_REGISTERED_CANONICAL_CARD	chedy	GENERATED_OR_COPIED_EXACTLY
