contradiction_id	level	affected_units	contradiction	support_count	severity	containment	status	source
PROSE_OCCURRENCE_068	PROSE_OCCURRENCE	H1	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Zerschneiden.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E004
PROSE_OCCURRENCE_069	PROSE_OCCURRENCE	H3	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind erster Auszug.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E047
PROSE_OCCURRENCE_070	PROSE_OCCURRENCE	H2	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind glasiertes Gefäß.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E032
PROSE_OCCURRENCE_071	PROSE_OCCURRENCE	H2	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind vorheriger Posten.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E028
PROSE_OCCURRENCE_072	PROSE_OCCURRENCE	H5	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind äußere Anwendung.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E086
PROSE_OCCURRENCE_073	PROSE_OCCURRENCE	H4	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind äußere Zielstelle.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E069
PROSE_OCCURRENCE_074	PROSE_OCCURRENCE	B3	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst.	2	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E286,E287
PROSE_OCCURRENCE_075	PROSE_OCCURRENCE	B3	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	5	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E264,E266,E275,E281,E284
PROSE_OCCURRENCE_076	PROSE_OCCURRENCE	B2|B3	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; Stoff oder Zubereitung ist nicht sichtbar bestimmt.	6	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E199,E270,E273,E274,E277,E280
PROSE_OCCURRENCE_077	PROSE_OCCURRENCE	B3	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; Stoff oder Zubereitung ist nicht sichtbar bestimmt; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E276
PROSE_OCCURRENCE_078	PROSE_OCCURRENCE	B3	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; Stoff oder Zubereitung ist nicht sichtbar bestimmt; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	6	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E268,E271,E272,E278,E279,E289
PROSE_OCCURRENCE_079	PROSE_OCCURRENCE	B2|B3	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; Stoff oder Zubereitung ist nicht sichtbar bestimmt; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	3	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E198,E200,E288
PROSE_OCCURRENCE_080	PROSE_OCCURRENCE	B3	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; Stoff oder Zubereitung ist nicht sichtbar bestimmt; eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E267
PROSE_OCCURRENCE_081	PROSE_OCCURRENCE	B3	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; Stoff oder Zubereitung ist nicht sichtbar bestimmt; keine Kontur trägt einen Pfeil oder eine Flussrichtung.	2	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E269,E282
PROSE_OCCURRENCE_082	PROSE_OCCURRENCE	B2	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; Stoff oder Zubereitung ist nicht sichtbar bestimmt; keine Kontur trägt einen Pfeil oder eine Flussrichtung; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E202
PROSE_OCCURRENCE_083	PROSE_OCCURRENCE	B3	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E285
PROSE_OCCURRENCE_084	PROSE_OCCURRENCE	B3	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E265
PROSE_OCCURRENCE_085	PROSE_OCCURRENCE	B2	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E201
PROSE_OCCURRENCE_086	PROSE_OCCURRENCE	B3	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; keine Kontur trägt einen Pfeil oder eine Flussrichtung; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E290
PROSE_OCCURRENCE_087	PROSE_OCCURRENCE	B3	Selbst der lokale Bildbesitzer ist an dieser Lücke unaufgelöst; keine Kontur trägt einen Pfeil oder eine Flussrichtung; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E283
PROSE_OCCURRENCE_088	PROSE_OCCURRENCE	B1|B2|B3|B4|B5|B6	Stoff oder Zubereitung ist nicht sichtbar bestimmt.	53	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E102,E105,E106,E110,E113,E114,E116,E118
PROSE_OCCURRENCE_089	PROSE_OCCURRENCE	B1|B2|B3|B4	Stoff oder Zubereitung ist nicht sichtbar bestimmt; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	12	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E107,E142,E153,E175,E194,E205,E220,E257
PROSE_OCCURRENCE_090	PROSE_OCCURRENCE	B1|B2|B3|B4|B5	Stoff oder Zubereitung ist nicht sichtbar bestimmt; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	18	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E104,E109,E126,E152,E156,E166,E168,E172
PROSE_OCCURRENCE_091	PROSE_OCCURRENCE	B1|B2|B4	Stoff oder Zubereitung ist nicht sichtbar bestimmt; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	4	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E127,E169,E341,E352
PROSE_OCCURRENCE_092	PROSE_OCCURRENCE	B2	Stoff oder Zubereitung ist nicht sichtbar bestimmt; eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel.	1	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E225
PROSE_OCCURRENCE_093	PROSE_OCCURRENCE	B1|B2|B4	Stoff oder Zubereitung ist nicht sichtbar bestimmt; eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	7	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E112,E129,E185,E218,E315,E329,E337
PROSE_OCCURRENCE_094	PROSE_OCCURRENCE	B2|B3	Stoff oder Zubereitung ist nicht sichtbar bestimmt; eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	5	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E188,E195,E247,E251,E298
PROSE_OCCURRENCE_095	PROSE_OCCURRENCE	B2|B3|B4	Stoff oder Zubereitung ist nicht sichtbar bestimmt; keine Kontur trägt einen Pfeil oder eine Flussrichtung.	7	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E210,E235,E246,E262,E345,E346,E357
PROSE_OCCURRENCE_096	PROSE_OCCURRENCE	B2|B3|B4	Stoff oder Zubereitung ist nicht sichtbar bestimmt; keine Kontur trägt einen Pfeil oder eine Flussrichtung; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	4	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E222,E240,E300,E360
PROSE_OCCURRENCE_097	PROSE_OCCURRENCE	B1|B3|B4	Stoff oder Zubereitung ist nicht sichtbar bestimmt; keine Kontur trägt einen Pfeil oder eine Flussrichtung; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	8	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E101,E137,E138,E259,E294,E297,E318,E335
PROSE_OCCURRENCE_098	PROSE_OCCURRENCE	B1|B2|B3|B4|B5|B6	die konkrete Handlung ist nur occurrence-gebundener Exemplarwert, keine Kartenbedeutung.	22	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E117,E123,E145,E165,E178,E182,E204,E231
PROSE_OCCURRENCE_099	PROSE_OCCURRENCE	B1|B2|B3|B4|B6	die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	22	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E108,E146,E147,E150,E159,E160,E174,E177
PROSE_OCCURRENCE_100	PROSE_OCCURRENCE	B1|B2|B3|B4	eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel.	7	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E140,E143,E144,E206,E209,E261,E344
PROSE_OCCURRENCE_101	PROSE_OCCURRENCE	B3|B4	eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	3	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E245,E302,E323
PROSE_OCCURRENCE_102	PROSE_OCCURRENCE	B2|B3|B4	eine nackte Figur ist nicht automatisch Patientin oder therapeutisches Ziel; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht; Maß, Dauer, Wärme oder Zustand ist unbebilderter Quellenwert.	7	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E171,E213,E224,E226,E227,E292,E326
PROSE_OCCURRENCE_103	PROSE_OCCURRENCE	B1|B2|B3|B4|B5	keine Kontur trägt einen Pfeil oder eine Flussrichtung.	15	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E103,E141,E149,E184,E211,E212,E221,E230
PROSE_OCCURRENCE_104	PROSE_OCCURRENCE	B1|B2|B3|B4|B5|B6	keine Kontur trägt einen Pfeil oder eine Flussrichtung; die sichtbare Form beweist ihre Gefäß-, Becken- oder Leitungsfunktion nicht.	15	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::E119,E120,E128,E139,E157,E167,E173,E179
ASTRO_OCCURRENCE_001	ASTRO_OCCURRENCE	A3	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; die drei Räder sind heterogen und voneinander getrennt.	107	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::A3:G001,A3:G002,A3:G003,A3:G004,A3:G005,A3:G006,A3:G007,A3:G008
ASTRO_OCCURRENCE_002	ASTRO_OCCURRENCE	A3	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; die drei Räder sind heterogen und voneinander getrennt; Adresse und Zählrichtung sind editorisch.	33	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::A3:G108,A3:G109,A3:G110,A3:G111,A3:G112,A3:G113,A3:G114,A3:G115
ASTRO_OCCURRENCE_003	ASTRO_OCCURRENCE	A2	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; mehrere Paneele und Gesichtszentren widerlegen einen einzigen Seitenmittelpunkt.	26	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::A2:G001,A2:G002,A2:G003,A2:G004,A2:G005,A2:G006,A2:G007,A2:G008
ASTRO_OCCURRENCE_004	ASTRO_OCCURRENCE	A2	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; mehrere Paneele und Gesichtszentren widerlegen einen einzigen Seitenmittelpunkt; Adresse und Zählrichtung sind editorisch.	28	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::A2:G033,A2:G034,A2:G035,A2:G036,A2:G037,A2:G038,A2:G039,A2:G040
ASTRO_OCCURRENCE_005	ASTRO_OCCURRENCE	A2	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; mehrere Paneele und Gesichtszentren widerlegen einen einzigen Seitenmittelpunkt; selbst der genaue lokale Bildbesitzer bleibt unaufgelöst.	11	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::A2:G027,A2:G028,A2:G029,A2:G030,A2:G031,A2:G032,A2:G061,A2:G062
ASTRO_OCCURRENCE_006	ASTRO_OCCURRENCE	A1	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante.	132	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::A1:G029,A1:G030,A1:G031,A1:G032,A1:G033,A1:G034,A1:G035,A1:G036
ASTRO_OCCURRENCE_007	ASTRO_OCCURRENCE	A1	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante; Adresse und Zählrichtung sind editorisch.	45	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::A1:G001,A1:G002,A1:G003,A1:G004,A1:G005,A1:G006,A1:G007,A1:G008
ASTRO_OCCURRENCE_008	ASTRO_OCCURRENCE	A1	Kein sichtbarer Textanker identifiziert den konkreten externen Himmels- oder Kalenderwert; zwischen linkem und rechtem Rad fehlt jede gezeichnete Kante; selbst der genaue lokale Bildbesitzer bleibt unaufgelöst.	13	LOCAL	KEEP_OCCURRENCE_BOUND_EXEMPLAR_AND_STRONGEST_RIVAL	OPEN_LOCAL	V73/V74/V75_SELECTED::A1:G178,A1:G179,A1:G180,A1:G181,A1:G182,A1:G183,A1:G184,A1:G185
