state_edition_ordinal	event_id	statement_id	physical_page	register	owner_id	surface	final_context_recipe	gdt566_selected_clause_de	owner_voice_working_clause_de	owner_bound_control_clause_de	owner_voice_changed	owner_voice_equals_owner_bound	adapter_card_count	adapter_card_ids	outer_template_id	structural_template_id	state_atom_alignment	guard
471	G407-E1773	G407-S164	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	otey	OT+E+Y	Danach: gib den Posten; auf Grad I.	Danach: gib den Stationsposten; auf Grad I.	Danach im laufenden Gang führe den Stationsposten zu; auf Grad I.	YES	NO	1	GDT567-A12	GDT565-O03	GDT565-T127	1:OT=danach | 2:E=auf Grad I | 3:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
472	G407-E1774	G407-S164	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	koldy	K+OL+DY	Weiter: gib den Posten; abschließen.	Weiter: gib den Stationsposten; schließe den Schritt.	Weiter führe den Stationsposten [wie zuvor] zu; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O06	GDT565-T110	1:K=geben | 2:OL=weiter | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
473	G407-E1776	G407-S165	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	shedy	SH+E+DY	Halte den Posten; auf Grad I; abschließen.	Halte den Stationsposten; auf Grad I; schließe den Schritt.	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
474	G407-E1778	G407-S166	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	shedy	SH+E+DY	Halte den Anteil; auf Grad I; abschließen.	Halte den Stationsanteil; auf Grad I; schließe den Schritt.	Halte den Stationsanteil [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
475	G407-E1780	G407-S167	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	keedy	K+EE+DY	Gib den Anteil; auf Grad II; abschließen.	Gib den Stationsanteil; auf Grad II; schließe den Schritt.	Führe den Stationsanteil [wie zuvor] zu; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O01	GDT565-T012	1:K=geben | 2:EE=auf Grad II | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
476	G407-E1781	G407-S168	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	rshedy	R+SH+E+DY	Markiere den Anteil und halte den Anteil; auf Grad I; abschließen.	Markiere den Stationsanteil und halte den Stationsanteil; auf Grad I; schließe den Schritt.	Markiere den Stationsanteil [wie zuvor] und halte den Stationsanteil [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O01	GDT565-T034	1:R=markieren | 2:SH=halten | 3:E=auf Grad I | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
477	G407-E1782	G407-S169	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	sokeedy	S+OK+EE+DY	Wähle den Anteil und setze den Anteil; auf Grad II; abschließen.	Wähle den Stationsanteil und setze den Stationsanteil; auf Grad II; schließe den Schritt.	Wähle den Stationsanteil [wie zuvor] und setze den Stationsanteil [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O01	GDT565-T034	1:S=wählen | 2:OK=setzen | 3:EE=auf Grad II | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
478	G407-E1783	G407-S170	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qokeedy	OK+EE+DY	Setze den Anteil; auf Grad II; abschließen.	Setze den Stationsanteil; auf Grad II; schließe den Schritt.	Setze den Stationsanteil [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:EE=auf Grad II | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
479	G407-E1784	G407-S171	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	oteedy	OT+EE+DY	Danach: setze den Anteil; auf Grad II; abschließen.	Danach: setze den Stationsanteil; auf Grad II; schließe den Schritt.	Danach im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O04	GDT565-T157	1:OT=danach | 2:EE=auf Grad II | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
480	G407-E1787	G407-S172	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	keedy	K+EE+DY	Gib den Posten; auf Grad II; abschließen.	Gib den Stationsposten; auf Grad II; schließe den Schritt.	Führe den Stationsposten [wie zuvor] zu; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:K=geben | 2:EE=auf Grad II | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
481	G407-E1789	G407-S173	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	dshedy	SH+E+DY	Halte den Posten; auf Grad I; abschließen.	Halte den Stationsposten; auf Grad I; schließe den Schritt.	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
482	G407-E1790	G407-S174	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qokedy	OK+E+DY	Setze den Posten; auf Grad I; abschließen.	Setze den Stationsposten; auf Grad I; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
483	G407-E1791	G407-S175	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qokeedy	OK+EE+DY	Setze den Posten; auf Grad II; abschließen.	Setze den Stationsposten; auf Grad II; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:EE=auf Grad II | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
484	G407-E1792	G407-S176	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qoteey	OT+EE+Y	Danach: setze den Posten; auf Grad II.	Danach: setze den Stationsposten; auf Grad II.	Danach im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad II.	YES	NO	1	GDT567-A12	GDT565-O03	GDT565-T127	1:OT=danach | 2:EE=auf Grad II | 3:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
485	G407-E1793	G407-S176	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qoteedy	OT+EE+DY	Danach: setze den Posten; auf Grad II; abschließen.	Danach: setze den Stationsposten; auf Grad II; schließe den Schritt.	Danach im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O04	GDT565-T157	1:OT=danach | 2:EE=auf Grad II | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
486	G407-E1795	G407-S177	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	yshedy	Y+SH+E+DY	Halte den Posten; auf Grad I; abschließen.	Halte den Stationsposten; auf Grad I; schließe den Schritt.	Halte den Stationsposten; auf Grad I; schließe den Schritt.	YES	YES	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:Y=den Posten | 2:SH=halten | 3:E=auf Grad I | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
487	G407-E1797	G407-S178	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	oldy	OL+DY	Weiter: gib den Posten; abschließen.	Weiter: gib den Stationsposten; schließe den Schritt.	Weiter im laufenden Gang führe den Stationsposten [wie zuvor] zu; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O06	GDT565-T110	1:OL=weiter | 2:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
488	G407-E1800	G407-S179	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	otar	OT+AR	Danach: gib den Anteil; vom Ausgang.	Danach: gib den Stationsanteil; von der Ausgangsstation.	Danach im laufenden Gang führe den Stationsanteil [wie zuvor] zu; von der Ausgangsstation.	YES	NO	2	GDT567-A14|GDT567-A32	GDT565-O03	GDT565-T140	1:OT=danach | 2:AR=vom Ausgang	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
489	G407-E1801	G407-S179	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	oldy	OL+DY	Weiter: gib den Anteil; abschließen.	Weiter: gib den Stationsanteil; schließe den Schritt.	Weiter im laufenden Gang führe den Stationsanteil [wie zuvor] zu; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O06	GDT565-T110	1:OL=weiter | 2:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
490	G407-E1804	G407-S180	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	okedy	OK+E+DY	Setze den Anteil; auf Grad I; abschließen.	Setze den Stationsanteil; auf Grad I; schließe den Schritt.	Setze den Stationsanteil [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
491	G407-E1805	G407-S181	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qokedy	OK+E+DY	Setze den Anteil; auf Grad I; abschließen.	Setze den Stationsanteil; auf Grad I; schließe den Schritt.	Setze den Stationsanteil [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
492	G407-E1806	G407-S182	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	otedy	OT+E+DY	Danach: setze den Anteil; auf Grad I; abschließen.	Danach: setze den Stationsanteil; auf Grad I; schließe den Schritt.	Danach im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O04	GDT565-T157	1:OT=danach | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
493	G407-E1807	G407-S183	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	okoldy	OK+OL+DY	Weiter: setze den Anteil; abschließen.	Weiter: setze den Stationsanteil; schließe den Schritt.	Weiter setze den Stationsanteil [wie zuvor] im Stationsgang an; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O06	GDT565-T110	1:OK=setzen | 2:OL=weiter | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
494	G407-E1808	G407-S184	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	otar	OT+AR	Danach: setze den Anteil; vom Ausgang.	Danach: setze den Stationsanteil; von der Ausgangsstation.	Danach im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an; von der Ausgangsstation.	YES	NO	2	GDT567-A14|GDT567-A32	GDT565-O03	GDT565-T140	1:OT=danach | 2:AR=vom Ausgang	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
495	G407-E1809	G407-S184	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	otam	OT+AM_ADDR	Danach: setze den Anteil; hier.	Danach: setze den Stationsanteil; an der bezeichneten Stelle.	Danach im laufenden Gang setze den Stationsanteil [wie zuvor] im Stationsgang an; an der bezeichneten Stelle.	YES	NO	2	GDT567-A14|GDT567-A38	GDT565-O03	GDT565-T136	1:OT=danach | 2:AM_ADDR=hier	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
496	G407-E1810	G407-S184	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	olaiin	OL+AIIN	Weiter: setze den Wert.	Weiter: setze den Stationswert.	Weiter im laufenden Gang setze den Stationswert im Stationsgang an.	YES	NO	1	GDT567-A13	GDT565-O05	GDT565-T072	1:OL=weiter | 2:AIIN=den Wert	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
497	G407-E1814	G407-S184	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	sshedy	S+SH+E+DY	Wähle den Posten und halte den Posten; auf Grad I; abschließen.	Wähle den Stationsposten und halte den Stationsposten; auf Grad I; schließe den Schritt.	Wähle den Stationsposten [wie zuvor] und halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T034	1:S=wählen | 2:SH=halten | 3:E=auf Grad I | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
498	G407-E1817	G407-S185	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	okedy	OK+E+DY	Setze den Posten; auf Grad I; abschließen.	Setze den Stationsposten; auf Grad I; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
499	G407-E1818	G407-S186	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	sarol	S+AR+OL	Weiter: wähle den Posten; vom Ausgang.	Weiter: wähle den Stationsposten; von der Ausgangsstation.	Weiter wähle den Stationsposten [wie zuvor]; von der Ausgangsstation.	YES	NO	2	GDT567-A12|GDT567-A32	GDT565-O03	GDT565-T073	1:S=wählen | 2:AR=vom Ausgang | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
500	G407-E1819	G407-S186	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	oty	OT+Y	Danach: wähle den Posten.	Danach: wähle den Stationsposten.	Danach im laufenden Gang wähle den Stationsposten.	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T139	1:OT=danach | 2:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
501	G407-E1820	G407-S186	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	otedy	OT+E+DY	Danach: wähle den Posten; auf Grad I; abschließen.	Danach: wähle den Stationsposten; auf Grad I; schließe den Schritt.	Danach im laufenden Gang wähle den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O04	GDT565-T157	1:OT=danach | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
502	G407-E1821	G407-S187	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qotedy	OT+E+DY	Danach: wähle den Posten; auf Grad I; abschließen.	Danach: wähle den Stationsposten; auf Grad I; schließe den Schritt.	Danach im laufenden Gang wähle den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O04	GDT565-T157	1:OT=danach | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
503	G407-E1822	G407-S188	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	otedy	OT+E+DY	Danach: wähle den Posten; auf Grad I; abschließen.	Danach: wähle den Stationsposten; auf Grad I; schließe den Schritt.	Danach im laufenden Gang wähle den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O04	GDT565-T157	1:OT=danach | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
504	G407-E1825	G407-S189	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qokedy	OK+E+DY	Setze den Posten; auf Grad I; abschließen.	Setze den Stationsposten; auf Grad I; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
505	G407-E1826	G407-S190	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	sheol	SH+E+OL	Weiter: halte den Posten; auf Grad I.	Weiter: halte den Stationsposten; auf Grad I.	Weiter halte den Stationsposten [wie zuvor]; auf Grad I.	YES	NO	1	GDT567-A12	GDT565-O03	GDT565-T064	1:SH=halten | 2:E=auf Grad I | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
506	G407-E1827	G407-S190	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	qokedy	OK+E+DY	Setze den Posten; auf Grad I; abschließen.	Setze den Stationsposten; auf Grad I; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
507	G407-E1829	G407-S191	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	shedy	SH+E+DY	Halte den Anteil; auf Grad I; abschließen.	Halte den Stationsanteil; auf Grad I; schließe den Schritt.	Halte den Stationsanteil [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
508	G407-E1830	G407-S192	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	otol	OT+OL	Danach: halte den Anteil; weiterführen.	Danach: halte den Stationsanteil; weiterführen.	Danach und weiter im laufenden Gang halte den Stationsanteil [wie zuvor].	YES	NO	1	GDT567-A14	GDT565-O06	GDT565-T167	1:OT=danach | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
509	G407-E1832	G407-S192	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	olor	OL+OR	Weiter: bearbeite die Einheit.	Weiter: bearbeite die Stationseinheit.	Weiter im laufenden Gang bearbeite die Stationseinheit.	YES	NO	1	GDT567-A15	GDT565-O05	GDT565-T072	1:OL=weiter | 2:OR=die Einheit	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
510	G407-E1833	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	potchokor	P+OT+CH+OK+OR	Danach: setze die Einheit ein und nimm die Einheit und setze die Einheit.	Danach: setze die Stationseinheit ein und nimm die Stationseinheit und setze die Stationseinheit.	Danach setze die Stationseinheit ein, entnimm die Stationseinheit und setze die Stationseinheit im Stationsgang an.	YES	NO	1	GDT567-A15	GDT565-O05	GDT565-T147	1:P=einsetzen | 2:OT=danach | 3:CH=nehmen | 4:OK=setzen | 5:OR=die Einheit	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
511	G407-E1836	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	qolp	OL+P	Weiter: setze den Posten ein.	Weiter: setze den Stationsposten ein.	Weiter setze den Stationsposten [wie zuvor] ein.	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:OL=weiter | 2:P=einsetzen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
512	G407-E1845	G407-S193	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	dshedy	SH+E+DY	Halte den Posten; auf Grad I; abschließen.	Halte den Stationsposten; auf Grad I; schließe den Schritt.	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
513	G407-E1846	G407-S194	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	qotddyar	OT+D_ADDR+D_ADDR+Y+AR	Danach: halte den Posten; hier; hier; vom Ausgang.	Danach: halte den Stationsposten; an der bezeichneten Stelle; an der bezeichneten Stelle; von der Ausgangsstation.	Danach im laufenden Gang halte den Stationsposten; von der Ausgangsstation; an der bezeichneten Stelle und an der bezeichneten Stelle.	YES	NO	3	GDT567-A12|GDT567-A32|GDT567-A38	GDT565-O03	GDT565-T138	1:OT=danach | 2:D_ADDR=hier | 3:D_ADDR=hier | 4:Y=den Posten | 5:AR=vom Ausgang	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
514	G407-E1852	G407-S194	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	shedy	SH+E+DY	Halte die Einheit; auf Grad I; abschließen.	Halte die Stationseinheit; auf Grad I; schließe den Schritt.	Halte die Stationseinheit [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A15|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
515	G407-E1853	G407-S195	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	qol	OL	Weiter: halte die Einheit.	Weiter: halte die Stationseinheit.	Weiter im laufenden Gang halte die Stationseinheit [wie zuvor].	YES	NO	1	GDT567-A15	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
516	G407-E1861	G407-S195	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	okedy	OK+E+DY	Setze den Posten; auf Grad I; abschließen.	Setze den Stationsposten; auf Grad I; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
517	G407-E1863	G407-S196	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	qotedy	OT+E+DY	Danach: gib den Posten; auf Grad I; abschließen.	Danach: gib den Stationsposten; auf Grad I; schließe den Schritt.	Danach im laufenden Gang führe den Stationsposten [wie zuvor] zu; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O04	GDT565-T157	1:OT=danach | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
518	G407-E1864	G407-S197	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	otedy	OT+E+DY	Danach: gib den Posten; auf Grad I; abschließen.	Danach: gib den Stationsposten; auf Grad I; schließe den Schritt.	Danach im laufenden Gang führe den Stationsposten [wie zuvor] zu; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O04	GDT565-T157	1:OT=danach | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
519	G407-E1865	G407-S198	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	shol	SH+OL	Weiter: halte den Posten.	Weiter: halte den Stationsposten.	Weiter halte den Stationsposten [wie zuvor].	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
520	G407-E1866	G407-S198	f76r	BIOLOGICAL	unbebilderter Textabschnitt A0	qoty	OT+Y	Danach: halte den Posten.	Danach: halte den Stationsposten.	Danach im laufenden Gang halte den Stationsposten.	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T139	1:OT=danach | 2:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
