argument_provenance_ordinal	event_id	statement_id	physical_page	register	surface	recipe	inherited_argument_root	inherited_argument_value_de	argument_source_type	argument_source_event_id	source_card_distance	gdt539_pointer_match	resolved_microphrase_de	provenance_status
89	G407-E1268	G407-S068	f72r	CELESTIAL	oteo	OT+E+O	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1267	1	NOT_STORED	Danach: nimm den Wert; auf Grad I; zur Ausführung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
90	G407-E1280	G407-S069	f72r	CELESTIAL	qoteeody	OT+EE+O+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1279	1	NOT_STORED	Danach: halte den Posten; auf Grad II; zur Ausführung; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
91	G407-E1282	G407-S070	f72r	CELESTIAL	chotal	OT+AL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1281	1	NOT_STORED	Danach: stelle den Posten ein; zum Zielort.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
92	G407-E1303	G407-S072	f72r	CELESTIAL	oteo	OT+E+O	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1302	1	NOT_STORED	Danach: gib den Posten; auf Grad I; zur Ausführung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
93	G407-E1311	G407-S072	f72r	CELESTIAL	oteedy	OT+EE+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1310	1	NOT_STORED	Danach: stelle den Posten ein; auf Grad II; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
94	G407-E1330	G407-S073	f72r	CELESTIAL	oteedy	OT+EE+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1328	2	NOT_STORED	Danach: wähle den Posten; auf Grad II; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
95	G407-E1345	G407-S074	f72r	CELESTIAL	eol	E+OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1344	1	NOT_STORED	Weiter: halte den Posten; auf Grad I.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
96	G407-E1353	G407-S077	f72r	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: halte den Posten; auf Grad I; zur Ausführung; hier; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
97	G407-E1357	G407-S077	f72r	CELESTIAL	oteos	OT+E+O+S_ADDR	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1355	2	NOT_STORED	Danach: gib den Posten; auf Grad I; zur Ausführung; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
98	G407-E1375	G407-S077	f72r	CELESTIAL	oteol	OT+E+OL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1374	1	NOT_STORED	Danach: wähle die Einheit; auf Grad I; weiterführen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
99	G407-E1379	G407-S077	f72r	CELESTIAL	eol	E+OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1378	1	NOT_STORED	Weiter: setze den Posten; auf Grad I.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
100	G407-E1391	G407-S078	f72r	CELESTIAL	eeer	EEE+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1389	2	NOT_STORED	Setze den Posten ein; auf Grad III; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
101	G407-E1399	G407-S079	f72r	CELESTIAL	oteees	OT+EEE+S_ADDR	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1398	1	NOT_STORED	Danach: nimm den Posten; auf Grad III; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
102	G407-E1403	G407-S079	f72r	CELESTIAL	otedar	OT+E+D_ADDR+AR	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1402	1	NOT_STORED	Danach: nimm den Wert; auf Grad I; hier; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
103	G407-E1404	G407-S079	f72r	CELESTIAL	olol	OL+OL	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1402	2	NOT_STORED	Weiter: nimm den Wert; nochmals weiterführen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
104	G407-E1406	G407-S079	f72r	CELESTIAL	oteol	OT+E+OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1405	1	NOT_STORED	Danach: nimm den Posten; auf Grad I; weiterführen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
105	G407-E1412	G407-S079	f72r	CELESTIAL	eedy	EE+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1410	2	NOT_STORED	Wähle den Posten; auf Grad II; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
106	G407-E1422	G407-S081	f72r	CELESTIAL	oteos	OT+E+O+S_ADDR	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1421	1	NOT_STORED	Danach: setze den Posten; auf Grad I; zur Ausführung; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
107	G407-E1430	G407-S082	f75r	BIOLOGICAL	qotar	OT+AR	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1429	1	NOT_STORED	Danach: bearbeite den Posten; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
108	G407-E1436	G407-S083	f75r	BIOLOGICAL	qoldy	OL+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1434	2	NOT_STORED	Weiter: halte den Posten; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
109	G407-E1465	G407-S086	f75r	BIOLOGICAL	ol	OL	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1464	1	NOT_STORED	Weiter: markiere den Anteil.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
110	G407-E1483	G407-S090	f75r	BIOLOGICAL	lol	L+OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1482	1	NOT_STORED	Weiter: setze den Posten; über die Verbindung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
111	G407-E1504	G407-S096	f75r	BIOLOGICAL	qotar	OT+AR	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1503	1	NOT_STORED	Danach: halte die Einheit; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
112	G407-E1528	G407-S101	f75r	BIOLOGICAL	ol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1526	2	NOT_STORED	Weiter: markiere den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
113	G407-E1551	G407-S110	f75r	BIOLOGICAL	otar	OT+AR	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1550	1	NOT_STORED	Danach: setze den Anteil; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
114	G407-E1558	G407-S110	f75r	BIOLOGICAL	sol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1557	1	NOT_STORED	Weiter: bearbeite den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
115	G407-E1581	G407-S116	f75r	BIOLOGICAL	sol	OL	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: setze den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
116	G407-E1583	G407-S117	f75r	BIOLOGICAL	qol	OL	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: halte den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
117	G407-E1585	G407-S118	f75r	BIOLOGICAL	qol	OL	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: halte den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
118	G407-E1591	G407-S119	f75r	BIOLOGICAL	qol	OL	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: halte den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
119	G407-E1612	G407-S119	f75r	BIOLOGICAL	ol	OL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1611	1	NOT_STORED	Weiter: halte die Einheit.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
120	G407-E1629	G407-S119	f75r	BIOLOGICAL	qol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1628	1	NOT_STORED	Weiter: halte den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
121	G407-E1637	G407-S119	f75r	BIOLOGICAL	ol	OL	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1636	1	NOT_STORED	Weiter: stelle die Einheit ein.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
122	G407-E1647	G407-S122	f75r	BIOLOGICAL	ol	OL	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1646	1	NOT_STORED	Weiter: markiere den Anteil.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
123	G407-E1650	G407-S122	f75r	BIOLOGICAL	ol	OL	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1649	1	NOT_STORED	Weiter: halte den Anteil.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
124	G407-E1661	G407-S124	f75r	BIOLOGICAL	otar	OT+AR	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: setze den Posten; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
125	G407-E1662	G407-S124	f75r	BIOLOGICAL	otody	OT+O+DY	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: setze den Posten; zur Ausführung; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
126	G407-E1668	G407-S126	f75r	BIOLOGICAL	sol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1667	1	NOT_STORED	Weiter: setze den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
127	G407-E1669	G407-S126	f75r	BIOLOGICAL	oldair	OL+D_ADDR+AIR	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1667	2	NOT_STORED	Weiter: setze den Posten; hier; entlang der Bahn.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
128	G407-E1671	G407-S126	f75r	BIOLOGICAL	qol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1670	1	NOT_STORED	Weiter: stelle den Posten ein.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
129	G407-E1681	G407-S129	f75r	BIOLOGICAL	ol	OL	AIIN	WERT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1680	1	NOT_STORED	Weiter: gib den Wert.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
130	G407-E1687	G407-S130	f75r	BIOLOGICAL	qotan	OT+AN	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1686	1	NOT_STORED	Danach: bearbeite den Posten; als Klasse.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
131	G407-E1701	G407-S131	f75r	BIOLOGICAL	olom	OL+O+AM_ADDR	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: setze den Posten; zur Ausführung; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
132	G407-E1710	G407-S134	f75r	BIOLOGICAL	daldy	AL+DY	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Setze den Posten; zum Zielort; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
133	G407-E1718	G407-S138	f75r	BIOLOGICAL	qotar	OT+AR	AIN	ANTEIL	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: halte den Anteil; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
134	G407-E1720	G407-S139	f75r	BIOLOGICAL	ldy	L+DY	AIN	ANTEIL	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Halte den Anteil; über die Verbindung; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
135	G407-E1737	G407-S144	f75r	BIOLOGICAL	otar	OT+AR	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1735	2	NOT_STORED	Danach: setze den Posten; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
136	G407-E1738	G407-S144	f75r	BIOLOGICAL	ol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1735	3	NOT_STORED	Weiter: setze den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
137	G407-E1748	G407-S146	f75r	BIOLOGICAL	oldy	OL+DY	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1747	1	NOT_STORED	Weiter: setze den Anteil; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
138	G407-E1749	G407-S147	f75r	BIOLOGICAL	sol	OL	AIN	ANTEIL	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: setze den Anteil.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
139	G407-E1754	G407-S149	f75r	BIOLOGICAL	otar	OT+AR	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1752	2	NOT_STORED	Danach: setze den Posten; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
140	G407-E1755	G407-S149	f75r	BIOLOGICAL	dardardy	D_ADDR+AR+D_ADDR+AR+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1752	3	NOT_STORED	Setze den Posten; hier; vom Ausgang; hier; vom Ausgang; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
141	G407-E1762	G407-S154	f75r	BIOLOGICAL	lol	L+OL	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: bearbeite den Posten; über die Verbindung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
142	G407-E1768	G407-S159	f75r	BIOLOGICAL	ldy	L+DY	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Setze den Posten; über die Verbindung; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
143	G407-E1784	G407-S171	f75r	BIOLOGICAL	oteedy	OT+EE+DY	AIN	ANTEIL	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: setze den Anteil; auf Grad II; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
144	G407-E1793	G407-S176	f75r	BIOLOGICAL	qoteedy	OT+EE+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1792	1	NOT_STORED	Danach: setze den Posten; auf Grad II; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
145	G407-E1797	G407-S178	f75r	BIOLOGICAL	oldy	OL+DY	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: gib den Posten; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
146	G407-E1800	G407-S179	f75r	BIOLOGICAL	otar	OT+AR	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1798	2	NOT_STORED	Danach: gib den Anteil; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
147	G407-E1801	G407-S179	f75r	BIOLOGICAL	oldy	OL+DY	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1798	3	NOT_STORED	Weiter: gib den Anteil; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
148	G407-E1806	G407-S182	f75r	BIOLOGICAL	otedy	OT+E+DY	AIN	ANTEIL	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: setze den Anteil; auf Grad I; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
149	G407-E1808	G407-S184	f75r	BIOLOGICAL	otar	OT+AR	AIN	ANTEIL	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: setze den Anteil; vom Ausgang.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
150	G407-E1809	G407-S184	f75r	BIOLOGICAL	otam	OT+AM_ADDR	AIN	ANTEIL	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: setze den Anteil; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
151	G407-E1820	G407-S186	f75r	BIOLOGICAL	otedy	OT+E+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1819	1	NOT_STORED	Danach: wähle den Posten; auf Grad I; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
152	G407-E1821	G407-S187	f75r	BIOLOGICAL	qotedy	OT+E+DY	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: wähle den Posten; auf Grad I; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
153	G407-E1822	G407-S188	f75r	BIOLOGICAL	otedy	OT+E+DY	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: wähle den Posten; auf Grad I; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
154	G407-E1830	G407-S192	f75r	BIOLOGICAL	otol	OT+OL	AIN	ANTEIL	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: halte den Anteil; weiterführen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
155	G407-E1853	G407-S195	f76r	BIOLOGICAL	qol	OL	OR	EINHEIT	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: halte die Einheit.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
156	G407-E1863	G407-S196	f76r	BIOLOGICAL	qotedy	OT+E+DY	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1862	1	NOT_STORED	Danach: gib den Posten; auf Grad I; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
157	G407-E1864	G407-S197	f76r	BIOLOGICAL	otedy	OT+E+DY	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: gib den Posten; auf Grad I; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
158	G407-E1867	G407-S198	f76r	BIOLOGICAL	ol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1866	1	NOT_STORED	Weiter: halte den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
159	G407-E1908	G407-S208	f76r	BIOLOGICAL	oldy	OL+DY	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1907	1	NOT_STORED	Weiter: gib den Anteil; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
160	G407-E1926	G407-S213	f76r	BIOLOGICAL	oteedy	OT+EE+DY	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1925	1	NOT_STORED	Danach: halte den Anteil; auf Grad II; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
161	G407-E1928	G407-S214	f76r	BIOLOGICAL	ol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1927	1	NOT_STORED	Weiter: bearbeite den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
162	G407-E1937	G407-S215	f76r	BIOLOGICAL	qool	CARRIER_Q+O+OL	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: halte den Posten; am Beginn; zur Ausführung.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
163	G407-E1941	G407-S215	f76r	BIOLOGICAL	ol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1939	2	NOT_STORED	Weiter: halte den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
164	G407-E1974	G407-S223	f76r	BIOLOGICAL	qolair	OL+D_ADDR+AIR	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: halte den Posten; hier; entlang der Bahn.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
165	G407-E1991	G407-S224	f76r	BIOLOGICAL	chol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E1990	1	NOT_STORED	Weiter: halte den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
166	G407-E2009	G407-S232	f76r	BIOLOGICAL	otedyl	OT+E+DY+L	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Danach: bearbeite den Posten; auf Grad I; über die Verbindung; abschließen.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
167	G407-E2027	G407-S238	f76r	BIOLOGICAL	ot	OT	AIN	ANTEIL	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E2026	1	NOT_STORED	Danach: bearbeite den Anteil.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
168	G407-E2033	G407-S240	f76r	BIOLOGICAL	oleeed	OL+EEE+D_ADDR	AIN	ANTEIL	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: halte den Anteil; auf Grad III; hier.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
169	G407-E2048	G407-S245	f76r	BIOLOGICAL	qol	OL	Y	POSTEN	OWNER_CONTEXT_DEFAULT_ARGUMENT	OWNER_DEFAULT	NOT_APPLICABLE	NOT_STORED	Weiter: halte den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
170	G407-E2059	G407-S246	f76r	BIOLOGICAL	qoloin	OL+O+IIN	OR	EINHEIT	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E2058	1	NOT_STORED	Weiter: setze die Einheit; zur Ausführung; auf der Stufe.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
171	G407-E2067	G407-S247	f76r	BIOLOGICAL	qolal	OL+AL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E2066	1	NOT_STORED	Weiter: gib den Posten; zum Zielort.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
172	G407-E2090	G407-S250	f76r	BIOLOGICAL	ol	OL	Y	POSTEN	SAME_STATEMENT_VISIBLE_ARGUMENT	G407-E2088	2	NOT_STORED	Weiter: nimm den Posten.	RECONSTRUCTED_FROM_PRIOR_VISIBLE_STATE_OR_OWNER_DEFAULT
